#      mass       lower
 2.0042e-02  1.0000e+05
 2.0241e-02  1.2885e+00
 2.0770e-02  1.3829e+00
 2.1298e-02  1.4062e+00
 2.1825e-02  1.3068e+00
 2.2352e-02  1.2862e+00
 2.2878e-02  1.2677e+00
 2.3404e-02  1.2190e+00
 2.3929e-02  1.1690e+00
 2.4454e-02  1.0936e+00
 2.4979e-02  1.0238e+00
 2.5502e-02  9.7830e-01
 2.6026e-02  9.8353e-01
 2.6549e-02  9.7454e-01
 2.7071e-02  1.0098e+00
 2.7593e-02  1.1008e+00
 2.8114e-02  1.1850e+00
 2.8635e-02  1.2521e+00
 2.9156e-02  1.2856e+00
 2.9676e-02  1.2998e+00
 3.0195e-02  1.3146e+00
 3.0715e-02  1.3532e+00
 3.1236e-02  1.3828e+00
 3.1760e-02  1.2551e+00
 3.2285e-02  1.1525e+00
 3.2813e-02  9.9607e-01
 3.3342e-02  8.5421e-01
 3.3874e-02  7.6699e-01
 3.4408e-02  6.9664e-01
 3.4944e-02  6.8585e-01
 3.5482e-02  7.3794e-01
 3.6022e-02  7.6087e-01
 3.6564e-02  7.8380e-01
 3.7108e-02  7.4967e-01
 3.7655e-02  7.6957e-01
 3.8203e-02  8.4242e-01
 3.8753e-02  8.8680e-01
 3.9306e-02  9.3340e-01
 3.9861e-02  9.4180e-01
 4.0418e-02  1.0014e+00
 4.0976e-02  1.0536e+00
 4.1536e-02  1.1013e+00
 4.2096e-02  1.1162e+00
 4.2658e-02  1.0736e+00
 4.3220e-02  1.0738e+00
 4.3783e-02  1.0473e+00
 4.4347e-02  1.0137e+00
 4.4912e-02  1.0326e+00
 4.5478e-02  1.0750e+00
 4.6045e-02  1.0280e+00
 4.6613e-02  1.0092e+00
 4.7182e-02  9.0177e-01
 4.7752e-02  8.0430e-01
 4.8322e-02  6.4427e-01
 4.8894e-02  5.5836e-01
 4.9467e-02  5.1189e-01
 5.0040e-02  4.9688e-01
 5.0615e-02  5.1751e-01
 5.1187e-02  5.3659e-01
 5.1757e-02  5.5700e-01
 5.2325e-02  5.9834e-01
 5.2890e-02  6.6812e-01
 5.3453e-02  6.3575e-01
 5.4012e-02  6.4244e-01
 5.4569e-02  6.8435e-01
 5.5124e-02  7.0474e-01
 5.5676e-02  7.6788e-01
 5.6225e-02  8.6549e-01
 5.6772e-02  9.3745e-01
 5.7317e-02  9.6562e-01
 5.7859e-02  9.8162e-01
 5.8399e-02  9.7542e-01
 5.8935e-02  9.6517e-01
 5.9470e-02  9.6908e-01
 6.0002e-02  1.0049e+00
 6.0532e-02  1.0163e+00
 6.1060e-02  9.9238e-01
 6.1586e-02  9.4600e-01
 6.2112e-02  8.5724e-01
 6.2637e-02  7.3750e-01
 6.3160e-02  6.9547e-01
 6.3682e-02  6.5765e-01
 6.4204e-02  6.4786e-01
 6.4724e-02  6.4688e-01
 6.5243e-02  6.6797e-01
 6.5761e-02  6.5015e-01
 6.6277e-02  6.7931e-01
 6.6793e-02  6.6355e-01
 6.7308e-02  6.5414e-01
 6.7820e-02  6.7483e-01
 6.8333e-02  7.3309e-01
 6.8844e-02  7.6073e-01
 6.9354e-02  7.8262e-01
 6.9863e-02  7.8712e-01
 7.0372e-02  8.0378e-01
 7.0879e-02  7.0488e-01
 7.1389e-02  6.6543e-01
 7.1904e-02  6.4414e-01
 7.2421e-02  6.2384e-01
 7.2942e-02  6.3082e-01
 7.3467e-02  6.1785e-01
 7.3994e-02  5.9208e-01
 7.4525e-02  6.0001e-01
 7.5060e-02  6.2811e-01
 7.5598e-02  7.1936e-01
 7.6140e-02  8.4470e-01
 7.6685e-02  1.0152e+00
 7.7234e-02  1.1303e+00
 7.7786e-02  1.1503e+00
 7.8342e-02  1.1050e+00
 7.8902e-02  1.0177e+00
 7.9465e-02  9.7756e-01
 8.0032e-02  9.6746e-01
 8.0603e-02  8.8002e-01
 8.1175e-02  7.5763e-01
 8.1743e-02  6.2487e-01
 8.2309e-02  5.1024e-01
 8.2872e-02  4.5795e-01
 8.3432e-02  4.4123e-01
 8.3989e-02  4.5525e-01
 8.4544e-02  4.6570e-01
 8.5096e-02  5.1224e-01
 8.5644e-02  5.8651e-01
 8.6190e-02  6.5342e-01
 8.6734e-02  6.4941e-01
 8.7274e-02  6.4037e-01
 8.7812e-02  6.1757e-01
 8.8349e-02  6.2128e-01
 8.8881e-02  6.3444e-01
 8.9410e-02  6.7733e-01
 8.9938e-02  6.8629e-01
 9.0463e-02  7.3027e-01
 9.0985e-02  8.1145e-01
 9.1509e-02  8.7154e-01
 9.2034e-02  9.3052e-01
