#      mass       lower       upper
 1.0300e-03  2.4791e-05  8.0570e-01
 1.0381e-03  2.4350e-05  7.3728e-01
 1.0449e-03  2.3974e-05  7.1983e-01
 1.0459e-03  2.3918e-05  7.1333e-01
 1.0573e-03  2.3315e-05  6.3486e-01
 1.0638e-03  2.3033e-05  5.8564e-01
 1.0924e-03  2.1749e-05  5.3095e-01
 1.1048e-03  2.1165e-05  4.6519e-01
 1.1276e-03  2.0049e-05  4.3547e-01
 1.1664e-03  1.8520e-05  3.7973e-01
 1.1680e-03  1.8462e-05  3.7721e-01
 1.1700e-03  1.8390e-05  3.6951e-01
 1.1826e-03  1.7931e-05  3.5460e-01
 1.2113e-03  1.7793e-05  3.4190e-01
 1.3114e-03  1.7358e-05  2.9351e-01
 1.3578e-03  1.7152e-05  2.7571e-01
 1.4255e-03  1.7077e-05  2.6113e-01
 1.5453e-03  1.6954e-05  2.3315e-01
 1.5590e-03  1.6940e-05  2.3021e-01
 1.5961e-03  1.6941e-05  2.2416e-01
 1.6445e-03  1.6942e-05  2.1696e-01
 1.7898e-03  1.6947e-05  1.9370e-01
 1.8693e-03  1.6983e-05  1.8520e-01
 1.8849e-03  1.6991e-05  1.8290e-01
 1.9606e-03  1.7024e-05  1.7123e-01
 2.0550e-03  1.7065e-05  1.6499e-01
 2.1541e-03  1.7124e-05  1.5811e-01
 2.3035e-03  1.7208e-05  1.4711e-01
 2.3595e-03  1.7240e-05  1.4292e-01
 2.4577e-03  1.7304e-05  1.3724e-01
 2.4638e-03  1.7308e-05  1.3688e-01
 2.7092e-03  1.7464e-05  1.2256e-01
 2.8003e-03  1.7527e-05  1.1878e-01
 2.8455e-03  1.7556e-05  1.1685e-01
 3.1105e-03  1.7726e-05  1.0531e-01
 3.1878e-03  1.7778e-05  1.0317e-01
 3.5391e-03  1.8001e-05  9.2816e-02
 3.5713e-03  1.8021e-05  9.1828e-02
 3.6260e-03  1.8057e-05  9.0457e-02
 3.6282e-03  1.8059e-05  9.0405e-02
 4.1004e-03  1.8347e-05  7.8484e-02
 4.3736e-03  1.8512e-05  7.3727e-02
 4.3875e-03  1.8520e-05  7.3484e-02
 4.6826e-03  1.8688e-05  6.8126e-02
 4.7079e-03  1.8702e-05  6.7647e-02
 4.7383e-03  1.8719e-05  6.7038e-02
 4.9258e-03  1.8822e-05  6.3150e-02
 5.4054e-03  1.9083e-05  5.8938e-02
 5.4412e-03  1.9102e-05  5.8565e-02
 6.0340e-03  1.9410e-05  5.2233e-02
 6.2063e-03  1.9494e-05  5.0243e-02
 6.7141e-03  1.9744e-05  4.6519e-02
 6.8441e-03  1.9808e-05  4.5545e-02
 7.1258e-03  1.9938e-05  4.3357e-02
 7.7594e-03  2.0230e-05  3.9936e-02
 7.9145e-03  2.0297e-05  3.9052e-02
 8.1814e-03  2.0413e-05  3.7577e-02
 8.3236e-03  2.0475e-05  3.6952e-02
 8.7930e-03  2.0677e-05  3.4886e-02
 9.3937e-03  2.0920e-05  3.2049e-02
 1.0197e-02  2.1237e-05  2.9569e-02
 1.0265e-02  2.1262e-05  2.9351e-02
 1.0785e-02  2.1457e-05  2.7665e-02
 1.1278e-02  2.1642e-05  2.6526e-02
 1.1802e-02  2.1828e-05  2.5258e-02
 1.2383e-02  2.2031e-05  2.3876e-02
 1.2686e-02  2.2138e-05  2.3314e-02
 1.2765e-02  2.2165e-05  2.3171e-02
 1.4218e-02  2.2646e-05  2.0356e-02
 1.5621e-02  2.3084e-05  1.8520e-02
 1.5974e-02  2.3193e-05  1.7864e-02
 1.6317e-02  2.3299e-05  1.7563e-02
 1.6324e-02  2.3301e-05  1.7556e-02
 1.6329e-02  2.3302e-05  1.7551e-02
 1.6372e-02  2.3315e-05  1.7510e-02
 1.7747e-02  2.3718e-05  1.6111e-02
 1.8456e-02  2.3922e-05  1.5400e-02
 1.8743e-02  2.4002e-05  1.5102e-02
 1.9242e-02  2.4135e-05  1.4711e-02
 2.0858e-02  2.4561e-05  1.3419e-02
 2.1520e-02  2.4728e-05  1.2851e-02
 2.2411e-02  2.4947e-05  1.2370e-02
 2.3621e-02  2.5227e-05  1.1685e-02
 2.4708e-02  2.5476e-05  1.1053e-02
 2.6631e-02  2.5906e-05  1.0236e-02
 2.7037e-02  2.5994e-05  1.0056e-02
 2.8369e-02  2.6277e-05  9.4910e-03
 2.9000e-02  2.6409e-05  9.2816e-03
 3.0072e-02  2.6632e-05  8.9292e-03
 3.2571e-02  2.7137e-05  8.0474e-03
 3.5430e-02  2.7698e-05  7.3727e-03
