#      mass       lower       upper
 1.0300e-03  8.8577e-03  1.3767e+01
 1.0448e-03  8.7228e-03  1.1657e+01
 1.0567e-03  8.6129e-03  1.1170e+01
 1.0733e-03  8.4573e-03  9.2595e+00
 1.1073e-03  8.1293e-03  8.2074e+00
 1.1169e-03  8.0334e-03  7.3552e+00
 1.1821e-03  7.3555e-03  5.8569e+00
 1.1826e-03  7.3505e-03  5.8427e+00
 1.1830e-03  7.3505e-03  5.8393e+00
 1.1834e-03  7.3508e-03  5.8362e+00
 1.1926e-03  7.3555e-03  5.7687e+00
 1.3305e-03  7.4207e-03  4.6410e+00
 1.3496e-03  7.4296e-03  4.5170e+00
 1.3578e-03  7.4355e-03  4.4632e+00
 1.3683e-03  7.4510e-03  4.3987e+00
 1.4284e-03  7.5284e-03  4.0113e+00
 1.5590e-03  7.6943e-03  3.6869e+00
 1.5591e-03  7.6943e-03  3.6864e+00
 1.6647e-03  7.8535e-03  3.2664e+00
 1.7117e-03  7.9236e-03  3.1916e+00
 1.7898e-03  8.0430e-03  3.0634e+00
 1.8652e-03  8.1573e-03  2.9282e+00
 1.9150e-03  8.2317e-03  2.8400e+00
 2.0550e-03  8.4279e-03  2.5755e+00
 2.1589e-03  8.5296e-03  2.4476e+00
 2.2527e-03  8.6232e-03  2.3260e+00
 2.3595e-03  8.7287e-03  2.1868e+00
 2.4332e-03  8.7972e-03  2.1220e+00
 2.6412e-03  8.9941e-03  1.9274e+00
 2.7092e-03  9.0575e-03  1.8667e+00
 2.7360e-03  9.0811e-03  1.8476e+00
 2.7403e-03  9.0848e-03  1.8446e+00
 2.9334e-03  9.2595e-03  1.7090e+00
 3.0838e-03  9.3937e-03  1.5955e+00
 3.1105e-03  9.4180e-03  1.5745e+00
 3.3307e-03  9.6090e-03  1.4676e+00
 3.4676e-03  9.7255e-03  1.3991e+00
 3.5713e-03  9.8162e-03  1.3449e+00
 3.7300e-03  9.9503e-03  1.2533e+00
 3.8948e-03  1.0088e-02  1.2128e+00
 4.0797e-03  1.0247e-02  1.1657e+00
 4.1004e-03  1.0264e-02  1.1580e+00
 4.3629e-03  1.0512e-02  1.0385e+00
 4.3763e-03  1.0525e-02  1.0320e+00
 4.7079e-03  1.0843e-02  9.6562e-01
 4.8763e-03  1.0994e-02  9.2772e-01
 4.8839e-03  1.1002e-02  9.2595e-01
 5.4054e-03  1.1482e-02  8.0393e-01
 5.4442e-03  1.1519e-02  7.9435e-01
 5.5478e-03  1.1624e-02  7.6810e-01
 5.5811e-03  1.1657e-02  7.6427e-01
 5.8232e-03  1.1905e-02  7.3553e-01
 6.0573e-03  1.2139e-02  6.9664e-01
 6.2063e-03  1.2300e-02  6.7073e-01
 6.7008e-03  1.2916e-02  6.1484e-01
 6.9533e-03  1.3252e-02  5.8425e-01
 7.1258e-03  1.3477e-02  5.6327e-01
 7.3893e-03  1.3814e-02  5.4014e-01
 7.8591e-03  1.4466e-02  4.9625e-01
 8.0144e-03  1.4676e-02  4.8345e-01
 8.1281e-03  1.4837e-02  4.7387e-01
 8.1814e-03  1.4920e-02  4.6930e-01
 8.2082e-03  1.4962e-02  4.6662e-01
 8.2582e-03  1.5041e-02  4.6408e-01
 8.9099e-03  1.6028e-02  4.2004e-01
 9.3937e-03  1.6834e-02  3.8409e-01
 9.7001e-03  1.7415e-02  3.6865e-01
 1.0286e-02  1.8476e-02  3.3919e-01
 1.0584e-02  1.9064e-02  3.2319e-01
 1.0785e-02  1.9498e-02  3.1194e-01
 1.1291e-02  2.0653e-02  2.9283e-01
 1.1460e-02  2.1023e-02  2.8663e-01
 1.2383e-02  2.3025e-02  2.5003e-01
 1.2423e-02  2.3137e-02  2.4892e-01
 1.2468e-02  2.3260e-02  2.4765e-01
 1.2992e-02  2.4957e-02  2.3260e-01
 1.3314e-02  2.5948e-02  2.2359e-01
 1.4218e-02  2.8398e-02  1.9617e-01
 1.4371e-02  2.8765e-02  1.9129e-01
 1.4430e-02  2.8922e-02  1.8937e-01
 1.4567e-02  2.9281e-02  1.8725e-01
 1.4727e-02  2.9778e-02  1.8476e-01
 1.5476e-02  3.2004e-02  1.6766e-01
 1.6256e-02  3.5800e-02  1.4777e-01
 1.6300e-02  3.6002e-02  1.4676e-01
 1.6324e-02  3.6109e-02  1.4612e-01
 1.6411e-02  3.6541e-02  1.4453e-01
 1.6457e-02  3.6865e-02  1.4367e-01
 1.7340e-02  4.1966e-02  1.2621e-01
 1.7778e-02  4.5276e-02  1.1657e-01
 1.7936e-02  4.6409e-02  1.1016e-01
 1.7971e-02  4.6778e-02  1.0868e-01
 1.8175e-02  4.8852e-02  1.0506e-01
 1.8743e-02  5.5607e-02  9.4247e-02
 1.8818e-02  5.6766e-02  9.2595e-02
 1.8844e-02  5.7153e-02  9.1769e-02
 1.8881e-02  5.7714e-02  9.0553e-02
 1.8911e-02  5.8425e-02  8.9557e-02
 1.9132e-02  1.0000e+05  1.0000e+05
 1.9137e-02  7.3554e-02  8.1705e-02
