#      mass       lower       upper
 1.0300e-03  7.2029e-02  4.4752e+01
 1.0465e-03  7.1770e-02  3.7040e+01
 1.0485e-03  7.1739e-02  3.6782e+01
 1.0595e-03  7.1722e-02  3.5333e+01
 1.0753e-03  7.1698e-02  2.9421e+01
 1.1099e-03  7.1645e-02  2.5977e+01
 1.1187e-03  7.1632e-02  2.3370e+01
 1.1826e-03  7.1535e-02  1.8577e+01
 1.1830e-03  7.1546e-02  1.8564e+01
 1.1860e-03  7.1622e-02  1.8476e+01
 1.2011e-03  7.2013e-02  1.8105e+01
 1.2712e-03  7.3905e-02  1.6282e+01
 1.3245e-03  7.5321e-02  1.4746e+01
 1.3385e-03  7.5689e-02  1.4447e+01
 1.3578e-03  7.6213e-02  1.4026e+01
 1.4880e-03  7.9870e-02  1.2375e+01
 1.5357e-03  8.1182e-02  1.1713e+01
 1.5590e-03  8.1823e-02  1.1429e+01
 1.6524e-03  8.4441e-02  1.0608e+01
 1.6683e-03  8.4883e-02  1.0461e+01
 1.7898e-03  8.8208e-02  9.4770e+00
 1.8188e-03  8.9012e-02  9.3037e+00
 1.8332e-03  8.9403e-02  9.2226e+00
 1.9661e-03  9.3037e-02  8.4374e+00
 2.0319e-03  9.4814e-02  8.0201e+00
 2.0550e-03  9.5434e-02  7.8683e+00
 2.1700e-03  9.8582e-02  7.3905e+00
 2.2499e-03  1.0071e-01  7.0603e+00
 2.3595e-03  1.0362e-01  6.5807e+00
 2.4899e-03  1.0709e-01  6.2053e+00
 2.5997e-03  1.0999e-01  5.8702e+00
 2.7092e-03  1.1281e-01  5.5342e+00
 2.7538e-03  1.1399e-01  5.4444e+00
 2.8743e-03  1.1713e-01  5.1941e+00
 3.0432e-03  1.2148e-01  4.8217e+00
 3.0988e-03  1.2291e-01  4.6926e+00
 3.1105e-03  1.2321e-01  4.6688e+00
 3.1139e-03  1.2330e-01  4.6631e+00
 3.3605e-03  1.2964e-01  4.2453e+00
 3.5713e-03  1.3499e-01  3.8524e+00
 3.6125e-03  1.3607e-01  3.7755e+00
 3.6905e-03  1.3810e-01  3.7039e+00
 4.0646e-03  1.4746e-01  3.2240e+00
 4.0900e-03  1.4809e-01  3.1889e+00
 4.1004e-03  1.4836e-01  3.1743e+00
 4.3535e-03  1.5487e-01  2.9421e+00
 4.5055e-03  1.5866e-01  2.8023e+00
 4.7079e-03  1.6385e-01  2.6043e+00
 4.9586e-03  1.7026e-01  2.4363e+00
 5.0989e-03  1.7400e-01  2.3370e+00
 5.4054e-03  1.8189e-01  2.1189e+00
 5.4508e-03  1.8307e-01  2.0967e+00
 5.5461e-03  1.8565e-01  2.0495e+00
 5.9132e-03  1.9568e-01  1.8564e+00
 5.9806e-03  1.9747e-01  1.8213e+00
 6.2063e-03  2.0401e-01  1.6985e+00
 6.5471e-03  2.1377e-01  1.5672e+00
 6.7713e-03  2.2099e-01  1.4746e+00
 7.1258e-03  2.3193e-01  1.3285e+00
 7.1792e-03  2.3370e-01  1.3129e+00
 7.6361e-03  2.5062e-01  1.1713e+00
 7.7626e-03  2.5511e-01  1.1334e+00
 8.1814e-03  2.7394e-01  9.9769e-01
 8.3806e-03  2.8266e-01  9.4999e-01
 8.4597e-03  2.8718e-01  9.3037e-01
 8.5856e-03  2.9422e-01  8.9801e-01
 8.9197e-03  3.1584e-01  8.0563e-01
 8.9598e-03  3.1834e-01  7.9471e-01
 9.1563e-03  3.3838e-01  7.3905e-01
 9.1891e-03  3.4162e-01  7.1243e-01
 9.3937e-03  3.6111e-01  6.5414e-01
 9.4508e-03  3.6667e-01  6.3842e-01
 9.4739e-03  3.7040e-01  6.3194e-01
 9.6277e-03  4.1036e-01  5.8703e-01
 9.7002e-03  4.2792e-01  5.5643e-01
 9.7456e-03  4.3855e-01  5.3639e-01
 9.7692e-03  1.0000e+05  1.0000e+05
