#      mass       lower
 2.1410e-01  1.2784e-03
 2.1420e-01  1.2155e-03
 2.1430e-01  9.2673e-04
 2.1450e-01  8.4391e-04
 2.1460e-01  7.9378e-04
 2.1470e-01  9.4196e-04
 2.1490e-01  1.1817e-03
 2.1500e-01  1.4173e-03
 2.1520e-01  1.5166e-03
 2.1530e-01  1.3572e-03
 2.1550e-01  1.3452e-03
 2.1560e-01  1.1351e-03
 2.1580e-01  1.0897e-03
 2.1590e-01  1.1072e-03
 2.1610e-01  1.1736e-03
 2.1620e-01  1.1937e-03
 2.1640e-01  1.4556e-03
 2.1660e-01  1.2973e-03
 2.1670e-01  1.2665e-03
 2.1690e-01  1.3305e-03
 2.1710e-01  1.4023e-03
 2.1730e-01  1.4771e-03
 2.1750e-01  1.6517e-03
 2.1770e-01  1.2995e-03
 2.1780e-01  1.0257e-03
 2.1800e-01  1.2278e-03
 2.1820e-01  1.0371e-03
 2.1840e-01  9.7440e-04
 2.1860e-01  9.6160e-04
 2.1880e-01  1.1725e-03
 2.1910e-01  1.4163e-03
 2.1930e-01  1.5725e-03
 2.1950e-01  1.6409e-03
 2.1970e-01  1.6495e-03
 2.1990e-01  1.6511e-03
 2.2010e-01  1.6498e-03
 2.2040e-01  1.7024e-03
 2.2060e-01  1.7219e-03
 2.2080e-01  1.6142e-03
 2.2110e-01  1.6186e-03
 2.2130e-01  1.6050e-03
 2.2160e-01  1.5124e-03
 2.2180e-01  1.2155e-03
 2.2200e-01  1.4806e-03
 2.2230e-01  1.2600e-03
 2.2260e-01  1.5858e-03
 2.2280e-01  1.5925e-03
 2.2310e-01  1.4728e-03
 2.2330e-01  1.4478e-03
 2.2360e-01  1.3215e-03
 2.2390e-01  1.2763e-03
 2.2410e-01  1.2638e-03
 2.2440e-01  1.3711e-03
 2.2470e-01  1.4068e-03
 2.2500e-01  1.5860e-03
 2.2530e-01  1.7374e-03
 2.2560e-01  1.8385e-03
 2.2590e-01  1.7028e-03
 2.2620e-01  1.5288e-03
 2.2650e-01  1.5653e-03
 2.2680e-01  1.2853e-03
 2.2710e-01  1.2840e-03
 2.2740e-01  1.3833e-03
 2.2770e-01  1.6163e-03
 2.2800e-01  1.4609e-03
 2.2830e-01  1.6115e-03
 2.2860e-01  1.8599e-03
 2.2900e-01  2.0472e-03
 2.2930e-01  1.8935e-03
 2.2960e-01  1.8457e-03
 2.3000e-01  1.7395e-03
 2.3030e-01  1.6698e-03
 2.3060e-01  1.6254e-03
 2.3100e-01  1.6316e-03
 2.3130e-01  1.7213e-03
 2.3170e-01  1.7715e-03
 2.3200e-01  1.7042e-03
 2.3240e-01  1.6475e-03
 2.3270e-01  1.3393e-03
 2.3310e-01  1.2667e-03
 2.3350e-01  1.2798e-03
 2.3380e-01  1.4315e-03
 2.3420e-01  1.6039e-03
 2.3460e-01  1.7631e-03
 2.3500e-01  1.9678e-03
 2.3530e-01  1.8247e-03
 2.3570e-01  1.8426e-03
 2.3610e-01  1.7353e-03
 2.3650e-01  2.0276e-03
 2.3690e-01  2.0620e-03
 2.3730e-01  2.0055e-03
 2.3770e-01  1.7068e-03
 2.3810e-01  1.6812e-03
 2.3850e-01  1.8680e-03
 2.3890e-01  1.9522e-03
 2.3930e-01  1.6898e-03
 2.3980e-01  1.5892e-03
 2.4020e-01  1.5886e-03
 2.4060e-01  1.6366e-03
 2.4100e-01  1.9010e-03
 2.4150e-01  1.8223e-03
 2.4190e-01  1.7202e-03
 2.4230e-01  1.3690e-03
 2.4280e-01  1.5200e-03
 2.4320e-01  1.4291e-03
 2.4370e-01  1.5769e-03
 2.4410e-01  1.8697e-03
 2.4460e-01  1.9965e-03
 2.4500e-01  2.2484e-03
 2.4550e-01  2.1675e-03
 2.4600e-01  2.1641e-03
 2.4640e-01  1.9224e-03
 2.4690e-01  2.1621e-03
 2.4740e-01  2.0216e-03
 2.4780e-01  1.6772e-03
 2.4830e-01  1.9245e-03
 2.4880e-01  1.9411e-03
 2.4930e-01  1.4916e-03
 2.4980e-01  1.4209e-03
 2.5030e-01  1.3880e-03
 2.5080e-01  1.4394e-03
 2.5130e-01  1.7726e-03
 2.5180e-01  1.8104e-03
 2.5230e-01  1.6699e-03
 2.5280e-01  1.5689e-03
 2.5330e-01  1.5090e-03
 2.5380e-01  1.6511e-03
 2.5430e-01  1.8365e-03
 2.5480e-01  2.2157e-03
 2.5540e-01  2.0454e-03
 2.5590e-01  1.9685e-03
 2.5640e-01  1.9318e-03
 2.5700e-01  2.0355e-03
 2.5750e-01  1.6501e-03
 2.5800e-01  1.9616e-03
 2.5860e-01  1.5855e-03
 2.5910e-01  1.7994e-03
 2.5970e-01  1.9053e-03
 2.6020e-01  1.9836e-03
 2.6080e-01  1.9809e-03
 2.6130e-01  1.9467e-03
 2.6190e-01  1.9360e-03
 2.6250e-01  2.1808e-03
 2.6300e-01  2.1694e-03
 2.6360e-01  2.1462e-03
 2.6420e-01  1.7675e-03
 2.6480e-01  1.4265e-03
 2.6530e-01  1.5098e-03
 2.6590e-01  1.5569e-03
 2.6650e-01  2.1157e-03
 2.6710e-01  2.6341e-03
 2.6770e-01  2.3678e-03
 2.6830e-01  2.2106e-03
 2.6890e-01  1.6274e-03
 2.6950e-01  1.5464e-03
 2.7010e-01  1.6960e-03
 2.7070e-01  1.5269e-03
 2.7130e-01  2.0292e-03
 2.7190e-01  2.0752e-03
 2.7260e-01  2.2035e-03
 2.7320e-01  2.2089e-03
 2.7380e-01  2.3092e-03
 2.7440e-01  2.0663e-03
 2.7510e-01  1.9062e-03
 2.7570e-01  1.8340e-03
 2.7630e-01  1.5861e-03
 2.7700e-01  1.4913e-03
 2.7760e-01  1.3631e-03
 2.7830e-01  1.3254e-03
 2.7890e-01  1.8823e-03
 2.7960e-01  2.1683e-03
 2.8020e-01  2.3968e-03
 2.8090e-01  2.8851e-03
 2.8160e-01  2.8581e-03
 2.8220e-01  2.4150e-03
 2.8290e-01  2.1350e-03
 2.8360e-01  1.4591e-03
 2.8420e-01  1.3943e-03
 2.8490e-01  1.5546e-03
 2.8560e-01  1.7458e-03
 2.8630e-01  2.1220e-03
 2.8700e-01  2.4604e-03
 2.8770e-01  2.7801e-03
 2.8830e-01  2.4200e-03
 2.8900e-01  2.4610e-03
 2.8970e-01  2.1789e-03
 2.9040e-01  2.3995e-03
 2.9120e-01  1.8593e-03
 2.9190e-01  1.3726e-03
 2.9260e-01  1.3181e-03
 2.9330e-01  1.4455e-03
 2.9400e-01  1.9249e-03
 2.9470e-01  2.5518e-03
 2.9540e-01  2.9051e-03
 2.9620e-01  2.3424e-03
 2.9690e-01  2.5006e-03
 2.9760e-01  1.9956e-03
 2.9840e-01  1.8319e-03
 2.9910e-01  1.6920e-03
 2.9990e-01  1.3227e-03
 3.0060e-01  1.5890e-03
 3.0140e-01  1.8833e-03
 3.0210e-01  2.3957e-03
 3.0290e-01  2.5906e-03
