#      mass       lower
 8.9907e-03  5.4674e-03
 9.0814e-03  4.9717e-03
 9.1546e-03  5.1958e-03
 9.2284e-03  5.3630e-03
 9.3215e-03  5.0356e-03
 9.3967e-03  5.0649e-03
 9.4724e-03  4.8941e-03
 9.5488e-03  4.8269e-03
 9.6258e-03  4.5369e-03
 9.7034e-03  4.1853e-03
 9.8013e-03  4.3581e-03
 9.8803e-03  4.0926e-03
 9.9599e-03  4.1385e-03
 1.0040e-02  4.1330e-03
 1.0121e-02  3.7055e-03
 1.0182e-02  3.9922e-03
 1.0264e-02  3.3088e-03
 1.0347e-02  3.6161e-03
 1.0431e-02  3.5791e-03
 1.0515e-02  4.1406e-03
 1.0599e-02  4.2246e-03
 1.0663e-02  4.2534e-03
 1.0749e-02  4.0626e-03
 1.0836e-02  4.0861e-03
 1.0923e-02  4.0373e-03
 1.1034e-02  4.1405e-03
 1.1123e-02  4.2131e-03
 1.1235e-02  4.0165e-03
 1.1325e-02  4.0041e-03
 1.1440e-02  3.9065e-03
 1.1532e-02  3.9013e-03
 1.1625e-02  3.6572e-03
 1.1742e-02  3.4710e-03
 1.1837e-02  3.6308e-03
 1.1932e-02  3.8286e-03
 1.2028e-02  3.9729e-03
 1.2125e-02  3.8116e-03
 1.2223e-02  3.8132e-03
 1.2322e-02  3.7208e-03
 1.2421e-02  3.2596e-03
 1.2521e-02  3.3854e-03
 1.2622e-02  3.2393e-03
 1.2724e-02  3.2320e-03
 1.2827e-02  3.3092e-03
 1.2930e-02  3.6290e-03
 1.3034e-02  3.5035e-03
 1.3139e-02  3.6258e-03
 1.3245e-02  3.3419e-03
 1.3325e-02  3.4930e-03
 1.3433e-02  3.2627e-03
 1.3541e-02  2.6781e-03
 1.3623e-02  2.9530e-03
 1.3733e-02  2.8130e-03
 1.3843e-02  3.2399e-03
 1.3927e-02  3.4015e-03
 1.4039e-02  3.6774e-03
 1.4124e-02  3.5442e-03
 1.4238e-02  3.5807e-03
 1.4324e-02  3.4113e-03
 1.4439e-02  3.5589e-03
 1.4527e-02  3.3995e-03
 1.4644e-02  3.0861e-03
 1.4762e-02  3.2340e-03
 1.4881e-02  3.5910e-03
 1.5001e-02  3.8342e-03
 1.5122e-02  3.6949e-03
 1.5244e-02  3.7164e-03
 1.5366e-02  3.6007e-03
 1.5459e-02  3.6123e-03
 1.5584e-02  3.2969e-03
 1.5710e-02  2.9611e-03
 1.5836e-02  2.9257e-03
 1.5964e-02  3.1743e-03
 1.6060e-02  3.2914e-03
 1.6190e-02  3.1352e-03
 1.6320e-02  3.0950e-03
 1.6419e-02  3.2378e-03
 1.6551e-02  3.2106e-03
 1.6685e-02  3.0257e-03
 1.6786e-02  3.1373e-03
 1.6921e-02  3.3767e-03
 1.7023e-02  3.2719e-03
 1.7160e-02  3.1899e-03
 1.7264e-02  3.7706e-03
 1.7403e-02  3.6532e-03
 1.7508e-02  3.4740e-03
 1.7649e-02  3.3929e-03
 1.7756e-02  3.4252e-03
 1.7863e-02  3.1969e-03
 1.8007e-02  2.8586e-03
 1.8116e-02  2.9272e-03
 1.8226e-02  2.9524e-03
 1.8336e-02  3.0260e-03
 1.8483e-02  2.7990e-03
 1.8595e-02  3.1841e-03
 1.8745e-02  3.2515e-03
 1.8896e-02  3.1954e-03
 1.9048e-02  3.4609e-03
 1.9164e-02  3.3265e-03
 1.9318e-02  3.2985e-03
 1.9435e-02  2.8261e-03
 1.9591e-02  3.1523e-03
 1.9749e-02  2.9106e-03
 1.9869e-02  2.6924e-03
 2.0029e-02  2.7081e-03
 2.0150e-02  2.5389e-03
 2.0312e-02  2.5332e-03
 2.0435e-02  2.3164e-03
 2.0558e-02  2.3510e-03
 2.0724e-02  2.5035e-03
 2.0849e-02  2.3978e-03
 2.0975e-02  2.1946e-03
 2.1144e-02  2.4347e-03
 2.1272e-02  2.2826e-03
 2.1401e-02  2.1153e-03
 2.1573e-02  2.1505e-03
 2.1704e-02  2.5899e-03
 2.1835e-02  2.9940e-03
 2.1967e-02  2.9010e-03
 2.2099e-02  2.9681e-03
 2.2233e-02  3.1893e-03
 2.2412e-02  3.1935e-03
 2.2593e-02  2.6827e-03
 2.2729e-02  2.2924e-03
 2.2912e-02  2.3140e-03
 2.3051e-02  2.3569e-03
 2.3237e-02  2.1569e-03
 2.3377e-02  2.1011e-03
 2.3518e-02  2.2158e-03
 2.3708e-02  2.2207e-03
 2.3851e-02  2.1769e-03
 2.3995e-02  2.0981e-03
 2.4189e-02  2.2561e-03
 2.4335e-02  2.2960e-03
 2.4482e-02  2.4825e-03
 2.4679e-02  2.7665e-03
 2.4828e-02  2.6782e-03
 2.4978e-02  2.7352e-03
 2.5129e-02  2.6338e-03
 2.5281e-02  2.7116e-03
 2.5433e-02  2.5129e-03
 2.5638e-02  2.5821e-03
 2.5793e-02  2.5244e-03
 2.5949e-02  2.5712e-03
 2.6106e-02  2.4343e-03
 2.6264e-02  2.3524e-03
 2.6475e-02  2.2150e-03
 2.6635e-02  2.1046e-03
 2.6796e-02  2.0140e-03
