#      mass       lower       upper
 1.0300e-03  7.2857e-04  2.4338e+00
 1.0416e-03  7.1313e-04  2.3425e+00
 1.0513e-03  7.0006e-04  2.2639e+00
 1.0692e-03  6.7523e-04  1.8607e+00
 1.1016e-03  6.2769e-04  1.6635e+00
 1.1125e-03  6.1083e-04  1.4780e+00
 1.1180e-03  6.0227e-04  1.3460e+00
 1.1266e-03  5.8843e-04  1.3236e+00
 1.1807e-03  5.2654e-04  1.1740e+00
 1.1826e-03  5.2427e-04  1.1667e+00
 1.2905e-03  5.0871e-04  1.0046e+00
 1.3333e-03  5.0310e-04  9.3259e-01
 1.3578e-03  4.9987e-04  9.0192e-01
 1.4317e-03  4.9702e-04  8.0924e-01
 1.5079e-03  4.9407e-04  7.7326e-01
 1.5590e-03  4.9225e-04  7.4812e-01
 1.5728e-03  4.9218e-04  7.4082e-01
 1.7371e-03  4.9129e-04  6.5620e-01
 1.7898e-03  4.9105e-04  6.2666e-01
 1.8447e-03  4.9153e-04  6.0792e-01
 1.9001e-03  4.9198e-04  5.8841e-01
 2.0550e-03  4.9323e-04  5.3367e-01
 2.2756e-03  4.9651e-04  4.8259e-01
 2.3368e-03  4.9735e-04  4.6741e-01
 2.3482e-03  4.9750e-04  4.6367e-01
 2.3595e-03  4.9766e-04  4.6186e-01
 2.4043e-03  4.9844e-04  4.5301e-01
 2.5962e-03  5.0178e-04  4.1628e-01
 2.7092e-03  5.0365e-04  3.9307e-01
 2.7578e-03  5.0455e-04  3.8244e-01
 2.8688e-03  5.0658e-04  3.7127e-01
 2.9582e-03  5.0821e-04  3.5897e-01
 3.1105e-03  5.1086e-04  3.3696e-01
 3.2421e-03  5.1327e-04  3.1600e-01
 3.3674e-03  5.1555e-04  3.0759e-01
 3.5499e-03  5.1871e-04  2.9491e-01
 3.5713e-03  5.1909e-04  2.9276e-01
 3.6126e-03  5.1982e-04  2.8931e-01
 3.8301e-03  5.2367e-04  2.7206e-01
 4.1004e-03  5.2822e-04  2.4897e-01
 4.3584e-03  5.3261e-04  2.3426e-01
 4.4417e-03  5.3402e-04  2.2946e-01
 4.7079e-03  5.3823e-04  2.1343e-01
 4.9458e-03  5.4202e-04  2.0423e-01
 5.3852e-03  5.4878e-04  1.8607e-01
 5.4054e-03  5.4909e-04  1.8522e-01
 5.6153e-03  5.5225e-04  1.7500e-01
 5.7928e-03  5.5483e-04  1.6587e-01
 6.2063e-03  5.6081e-04  1.5709e-01
 6.3720e-03  5.6313e-04  1.5314e-01
 6.5899e-03  5.6611e-04  1.4780e-01
 7.1258e-03  5.7338e-04  1.3427e-01
 7.2272e-03  5.7473e-04  1.3261e-01
 8.1046e-03  5.8583e-04  1.1740e-01
 8.1427e-03  5.8630e-04  1.1648e-01
 8.1814e-03  5.8679e-04  1.1601e-01
 8.1940e-03  5.8694e-04  1.1583e-01
 8.3146e-03  5.8843e-04  1.1403e-01
 8.3488e-03  5.8884e-04  1.1351e-01
 9.2853e-03  5.9993e-04  9.9953e-02
 9.3937e-03  6.0118e-04  9.8265e-02
 9.5456e-03  6.0313e-04  9.5788e-02
 9.8769e-03  6.0736e-04  9.3259e-02
 1.0501e-02  6.1525e-04  8.6653e-02
 1.0785e-02  6.1878e-04  8.3468e-02
 1.1852e-02  6.3303e-04  7.5593e-02
