#      mass       lower
 2.0042e-02  1.0000e+05
 2.0241e-02  7.4846e-02
 2.0770e-02  8.0328e-02
 2.1298e-02  8.1681e-02
 2.1825e-02  7.5904e-02
 2.2352e-02  7.4709e-02
 2.2878e-02  7.3634e-02
 2.3404e-02  7.0808e-02
 2.3929e-02  6.7900e-02
 2.4454e-02  6.3523e-02
 2.4979e-02  5.9467e-02
 2.5502e-02  5.6825e-02
 2.6026e-02  5.7129e-02
 2.6549e-02  5.6607e-02
 2.7071e-02  5.8654e-02
 2.7593e-02  6.3938e-02
 2.8114e-02  6.8829e-02
 2.8635e-02  7.2726e-02
 2.9156e-02  7.4675e-02
 2.9676e-02  7.5497e-02
 3.0195e-02  7.6362e-02
 3.0715e-02  7.8602e-02
 3.1236e-02  8.0319e-02
 3.1760e-02  7.2906e-02
 3.2285e-02  6.6945e-02
 3.2813e-02  5.7857e-02
 3.3342e-02  4.9618e-02
 3.3874e-02  4.4551e-02
 3.4408e-02  4.0465e-02
 3.4944e-02  3.9838e-02
 3.5482e-02  4.2864e-02
 3.6022e-02  4.4196e-02
 3.6564e-02  4.5528e-02
 3.7108e-02  4.3545e-02
 3.7655e-02  4.4701e-02
 3.8203e-02  4.8932e-02
 3.8753e-02  5.1511e-02
 3.9306e-02  5.4217e-02
 3.9861e-02  5.4705e-02
 4.0418e-02  5.8170e-02
 4.0976e-02  6.1198e-02
 4.1536e-02  6.3973e-02
 4.2096e-02  6.4838e-02
 4.2658e-02  6.2358e-02
 4.3220e-02  6.2371e-02
 4.3783e-02  6.0834e-02
 4.4347e-02  5.8881e-02
 4.4912e-02  5.9977e-02
 4.5478e-02  6.2440e-02
 4.6045e-02  5.9712e-02
 4.6613e-02  5.8620e-02
 4.7182e-02  5.2380e-02
 4.7752e-02  4.6718e-02
 4.8322e-02  3.7423e-02
 4.8894e-02  3.2433e-02
 4.9467e-02  2.9733e-02
 5.0040e-02  2.8861e-02
 5.0615e-02  3.0060e-02
 5.1187e-02  3.1168e-02
 5.1757e-02  3.2354e-02
 5.2325e-02  3.4755e-02
 5.2890e-02  3.8808e-02
 5.3453e-02  3.6928e-02
 5.4012e-02  3.7317e-02
 5.4569e-02  3.9751e-02
 5.5124e-02  4.0936e-02
 5.5676e-02  4.4603e-02
 5.6225e-02  5.0273e-02
 5.6772e-02  5.4453e-02
 5.7317e-02  5.6089e-02
 5.7859e-02  5.7018e-02
 5.8399e-02  5.6658e-02
 5.8935e-02  5.6063e-02
 5.9470e-02  5.6290e-02
 6.0002e-02  5.8371e-02
 6.0532e-02  5.9031e-02
 6.1060e-02  5.7643e-02
 6.1586e-02  5.4949e-02
 6.2112e-02  4.9793e-02
 6.2637e-02  4.2838e-02
 6.3160e-02  4.0397e-02
 6.3682e-02  3.8200e-02
 6.4204e-02  3.7631e-02
 6.4724e-02  3.7574e-02
 6.5243e-02  3.8799e-02
 6.5761e-02  3.7764e-02
 6.6277e-02  3.9458e-02
 6.6793e-02  3.8543e-02
 6.7308e-02  3.7996e-02
 6.7820e-02  3.9198e-02
 6.8333e-02  4.2582e-02
 6.8844e-02  4.4187e-02
 6.9354e-02  4.5459e-02
 6.9863e-02  4.5721e-02
 7.0372e-02  4.6688e-02
 7.0879e-02  4.0943e-02
 7.1389e-02  3.8652e-02
 7.1904e-02  3.7415e-02
 7.2421e-02  3.6236e-02
 7.2942e-02  3.6642e-02
 7.3467e-02  3.5888e-02
 7.3994e-02  3.4391e-02
 7.4525e-02  3.4852e-02
 7.5060e-02  3.6484e-02
 7.5598e-02  4.1784e-02
 7.6140e-02  4.9065e-02
 7.6685e-02  5.8966e-02
 7.7234e-02  6.5651e-02
 7.7786e-02  6.6816e-02
 7.8342e-02  6.4183e-02
 7.8902e-02  5.9116e-02
 7.9465e-02  5.6782e-02
 8.0032e-02  5.6196e-02
 8.0603e-02  5.1117e-02
 8.1175e-02  4.4007e-02
 8.1743e-02  3.6296e-02
 8.2309e-02  2.9638e-02
 8.2872e-02  2.6600e-02
 8.3432e-02  2.5629e-02
 8.3989e-02  2.6443e-02
 8.4544e-02  2.7050e-02
 8.5096e-02  2.9754e-02
 8.5644e-02  3.4068e-02
 8.6190e-02  3.7954e-02
 8.6734e-02  3.7722e-02
 8.7274e-02  3.7196e-02
 8.7812e-02  3.5872e-02
 8.8349e-02  3.6087e-02
 8.8881e-02  3.6852e-02
 8.9410e-02  3.9343e-02
 8.9938e-02  3.9864e-02
 9.0463e-02  4.2418e-02
 9.0985e-02  4.7134e-02
 9.1509e-02  5.0624e-02
 9.2034e-02  5.4050e-02
 9.2561e-02  5.4864e-02
 9.3089e-02  5.2692e-02
 9.3617e-02  4.8363e-02
 9.4148e-02  4.3245e-02
 9.4679e-02  3.8274e-02
 9.5213e-02  3.6185e-02
 9.5747e-02  3.7623e-02
 9.6282e-02  4.1014e-02
 9.6819e-02  4.4530e-02
 9.7358e-02  4.7990e-02
 9.7896e-02  4.9669e-02
 9.8438e-02  4.8817e-02
 9.8979e-02  4.9254e-02
 9.9523e-02  4.7583e-02
 1.0007e-01  4.2412e-02
 1.0061e-01  3.8835e-02
 1.0116e-01  3.3303e-02
 1.0171e-01  2.7915e-02
 1.0226e-01  2.5112e-02
 1.0281e-01  2.4224e-02
 1.0336e-01  2.4322e-02
 1.0391e-01  2.5437e-02
 1.0446e-01  2.6189e-02
 1.0501e-01  2.7260e-02
 1.0556e-01  2.8514e-02
 1.0612e-01  3.0330e-02
 1.0667e-01  3.3128e-02
 1.0722e-01  3.5453e-02
 1.0778e-01  3.6416e-02
 1.0833e-01  3.6667e-02
 1.0889e-01  3.6492e-02
 1.0945e-01  3.5323e-02
 1.1000e-01  3.3225e-02
 1.1056e-01  3.1666e-02
 1.1112e-01  3.0169e-02
 1.1168e-01  3.0334e-02
 1.1224e-01  3.0866e-02
 1.1280e-01  3.2358e-02
 1.1336e-01  3.3295e-02
 1.1392e-01  3.3304e-02
 1.1449e-01  3.2635e-02
 1.1505e-01  3.2012e-02
 1.1561e-01  3.2625e-02
 1.1618e-01  3.3274e-02
 1.1674e-01  3.2017e-02
 1.1731e-01  3.0255e-02
 1.1788e-01  2.8288e-02
 1.1844e-01  2.6934e-02
 1.1901e-01  2.6640e-02
 1.1958e-01  2.7042e-02
 1.2015e-01  2.8382e-02
 1.2072e-01  3.0466e-02
 1.2129e-01  3.2858e-02
 1.2186e-01  3.7031e-02
 1.2243e-01  4.0344e-02
 1.2301e-01  4.3327e-02
 1.2358e-01  4.5819e-02
 1.2415e-01  4.6718e-02
 1.2473e-01  4.5776e-02
 1.2530e-01  4.4453e-02
 1.2588e-01  4.2772e-02
 1.2645e-01  4.0097e-02
 1.2703e-01  3.8853e-02
 1.2761e-01  3.7388e-02
 1.2819e-01  3.6718e-02
 1.2877e-01  3.5477e-02
 1.2935e-01  3.4869e-02
 1.2993e-01  3.5498e-02
 1.3051e-01  3.7389e-02
 1.3109e-01  4.0945e-02
 1.3167e-01  4.3613e-02
 1.3225e-01  4.5147e-02
 1.3284e-01  4.4586e-02
 1.3342e-01  4.2710e-02
 1.3401e-01  4.1307e-02
 1.3459e-01  4.2103e-02
 1.3518e-01  4.2166e-02
 1.3577e-01  4.1399e-02
 1.3635e-01  3.9686e-02
 1.3694e-01  3.7483e-02
 1.3753e-01  3.6155e-02
 1.3812e-01  3.6586e-02
 1.3871e-01  3.7456e-02
 1.3930e-01  3.7425e-02
 1.3990e-01  3.5858e-02
 1.4049e-01  3.2638e-02
 1.4108e-01  2.9742e-02
 1.4167e-01  2.7267e-02
 1.4227e-01  2.4620e-02
 1.4286e-01  2.2639e-02
 1.4346e-01  2.1783e-02
 1.4406e-01  2.1565e-02
 1.4465e-01  2.2239e-02
 1.4525e-01  2.3586e-02
 1.4585e-01  2.4937e-02
 1.4645e-01  2.6709e-02
 1.4705e-01  2.9251e-02
 1.4765e-01  3.2237e-02
 1.4825e-01  3.4539e-02
 1.4885e-01  3.5144e-02
 1.4946e-01  3.2326e-02
 1.5006e-01  2.8007e-02
 1.5067e-01  2.4485e-02
 1.5127e-01  2.4178e-02
 1.5188e-01  2.6184e-02
 1.5248e-01  2.9498e-02
 1.5309e-01  3.2541e-02
 1.5370e-01  3.2565e-02
 1.5431e-01  3.2466e-02
 1.5492e-01  3.2810e-02
 1.5553e-01  3.4901e-02
 1.5614e-01  3.8041e-02
 1.5675e-01  4.1542e-02
 1.5736e-01  4.4341e-02
 1.5797e-01  4.5085e-02
 1.5859e-01  4.3623e-02
 1.5920e-01  4.1463e-02
 1.5981e-01  3.9112e-02
 1.6043e-01  3.7772e-02
 1.6105e-01  3.5050e-02
 1.6166e-01  3.1617e-02
 1.6228e-01  2.9440e-02
 1.6290e-01  2.8180e-02
 1.6352e-01  2.6771e-02
 1.6414e-01  2.5349e-02
 1.6476e-01  2.4640e-02
 1.6538e-01  2.3811e-02
 1.6600e-01  2.4164e-02
 1.6662e-01  2.4750e-02
 1.6725e-01  2.5296e-02
 1.6787e-01  2.6820e-02
 1.6850e-01  2.8172e-02
 1.6912e-01  3.0617e-02
 1.6975e-01  3.3819e-02
 1.7038e-01  3.7283e-02
 1.7100e-01  4.0981e-02
 1.7163e-01  4.4166e-02
 1.7226e-01  4.7010e-02
 1.7289e-01  4.7767e-02
 1.7352e-01  4.7684e-02
 1.7415e-01  4.6176e-02
 1.7479e-01  4.4902e-02
 1.7542e-01  4.4136e-02
 1.7605e-01  4.4137e-02
 1.7669e-01  4.4117e-02
 1.7732e-01  4.4041e-02
 1.7795e-01  4.0991e-02
 1.7859e-01  3.7976e-02
 1.7923e-01  3.5047e-02
 1.7987e-01  3.1754e-02
 1.8050e-01  2.9845e-02
 1.8114e-01  2.8633e-02
 1.8178e-01  2.8108e-02
 1.8243e-01  2.7853e-02
 1.8307e-01  2.6681e-02
 1.8371e-01  2.5558e-02
 1.8435e-01  2.5149e-02
 1.8500e-01  2.4679e-02
 1.8564e-01  2.4207e-02
 1.8628e-01  2.3601e-02
 1.8693e-01  2.3092e-02
 1.8758e-01  2.2746e-02
 1.8823e-01  2.3149e-02
 1.8887e-01  2.4917e-02
 1.8952e-01  2.7448e-02
 1.9017e-01  3.1494e-02
 1.9082e-01  3.3260e-02
 1.9147e-01  3.1772e-02
 1.9213e-01  2.8532e-02
 1.9278e-01  2.6745e-02
 1.9343e-01  2.7073e-02
 1.9409e-01  2.8717e-02
 1.9474e-01  3.0402e-02
 1.9540e-01  3.1626e-02
 1.9605e-01  3.2238e-02
 1.9671e-01  3.2261e-02
 1.9737e-01  3.2566e-02
 1.9803e-01  3.3832e-02
 1.9869e-01  3.5887e-02
 1.9935e-01  3.6707e-02
 2.0001e-01  3.8152e-02
 2.0067e-01  4.0704e-02
 2.0133e-01  4.3799e-02
 2.0199e-01  4.5509e-02
 2.0266e-01  4.5092e-02
 2.0332e-01  4.3236e-02
 2.0399e-01  4.1114e-02
 2.0465e-01  3.9281e-02
 2.0531e-01  3.8826e-02
 2.0598e-01  3.8873e-02
 2.0664e-01  3.8239e-02
 2.0731e-01  3.6545e-02
 2.0797e-01  3.4602e-02
 2.0864e-01  3.4499e-02
 2.0930e-01  3.5386e-02
 2.0997e-01  3.8883e-02
 2.1063e-01  4.2094e-02
 2.1130e-01  4.3899e-02
 2.1197e-01  4.1851e-02
 2.1263e-01  3.9626e-02
 2.1271e-01  2.4583e-02
 2.1274e-01  2.2699e-02
 2.1277e-01  2.1070e-02
 2.1280e-01  2.0455e-02
 2.1284e-01  1.9845e-02
 2.1287e-01  1.9743e-02
 2.1291e-01  1.9852e-02
 2.1295e-01  2.0534e-02
 2.1300e-01  2.1568e-02
 2.1305e-01  2.2539e-02
 2.1311e-01  2.3269e-02
 2.1316e-01  2.3400e-02
 2.1321e-01  2.2822e-02
 2.1327e-01  2.2075e-02
