#      mass       lower       upper
 1.0300e-03  1.4400e-08  4.6800e-04
 1.0381e-03  1.4144e-08  4.2825e-04
 1.0449e-03  1.3926e-08  4.1812e-04
 1.0459e-03  1.3893e-08  4.1435e-04
 1.0573e-03  1.3543e-08  3.6876e-04
 1.0638e-03  1.3379e-08  3.4018e-04
 1.0924e-03  1.2633e-08  3.0841e-04
 1.1048e-03  1.2294e-08  2.7021e-04
 1.1276e-03  1.1646e-08  2.5294e-04
 1.1664e-03  1.0757e-08  2.2057e-04
 1.1680e-03  1.0724e-08  2.1911e-04
 1.1700e-03  1.0682e-08  2.1463e-04
 1.1826e-03  1.0416e-08  2.0597e-04
 1.2113e-03  1.0335e-08  1.9859e-04
 1.3114e-03  1.0082e-08  1.7049e-04
 1.3578e-03  9.9629e-09  1.6015e-04
 1.4255e-03  9.9192e-09  1.5168e-04
 1.5453e-03  9.8477e-09  1.3543e-04
 1.5590e-03  9.8396e-09  1.3372e-04
 1.5961e-03  9.8404e-09  1.3021e-04
 1.6445e-03  9.8409e-09  1.2602e-04
 1.7898e-03  9.8439e-09  1.1251e-04
 1.8693e-03  9.8649e-09  1.0757e-04
 1.8849e-03  9.8691e-09  1.0624e-04
 1.9606e-03  9.8884e-09  9.9462e-05
 2.0550e-03  9.9124e-09  9.5835e-05
 2.1541e-03  9.9467e-09  9.1839e-05
 2.3035e-03  9.9955e-09  8.5450e-05
 2.3595e-03  1.0014e-08  8.3017e-05
 2.4577e-03  1.0051e-08  7.9720e-05
 2.4638e-03  1.0053e-08  7.9510e-05
 2.7092e-03  1.0144e-08  7.1189e-05
 2.8003e-03  1.0180e-08  6.8992e-05
 2.8455e-03  1.0198e-08  6.7874e-05
 3.1105e-03  1.0297e-08  6.1168e-05
 3.1878e-03  1.0327e-08  5.9926e-05
 3.5391e-03  1.0456e-08  5.3913e-05
 3.5713e-03  1.0468e-08  5.3339e-05
 3.6260e-03  1.0489e-08  5.2543e-05
 3.6282e-03  1.0490e-08  5.2513e-05
 4.1004e-03  1.0657e-08  4.5588e-05
 4.3736e-03  1.0753e-08  4.2825e-05
 4.3875e-03  1.0757e-08  4.2684e-05
 4.6826e-03  1.0855e-08  3.9572e-05
 4.7079e-03  1.0863e-08  3.9293e-05
 4.7383e-03  1.0873e-08  3.8940e-05
 4.9258e-03  1.0933e-08  3.6681e-05
 5.4054e-03  1.1085e-08  3.4235e-05
 5.4412e-03  1.1096e-08  3.4018e-05
 6.0340e-03  1.1274e-08  3.0340e-05
 6.2063e-03  1.1323e-08  2.9184e-05
 6.7141e-03  1.1469e-08  2.7021e-05
 6.8441e-03  1.1505e-08  2.6455e-05
 7.1258e-03  1.1581e-08  2.5184e-05
 7.7594e-03  1.1750e-08  2.3197e-05
 7.9145e-03  1.1790e-08  2.2684e-05
 8.1814e-03  1.1857e-08  2.1827e-05
 8.3236e-03  1.1893e-08  2.1464e-05
 8.7930e-03  1.2010e-08  2.0264e-05
 9.3937e-03  1.2151e-08  1.8616e-05
 1.0197e-02  1.2335e-08  1.7176e-05
 1.0265e-02  1.2350e-08  1.7049e-05
 1.0785e-02  1.2464e-08  1.6069e-05
 1.1278e-02  1.2571e-08  1.5408e-05
 1.1802e-02  1.2679e-08  1.4671e-05
 1.2383e-02  1.2797e-08  1.3869e-05
 1.2686e-02  1.2859e-08  1.3542e-05
