#      mass       lower       upper
 1.0300e-03  5.1451e-04  7.9968e-01
 1.0448e-03  5.0667e-04  6.7711e-01
 1.0567e-03  5.0029e-04  6.4881e-01
 1.0733e-03  4.9125e-04  5.3785e-01
 1.1073e-03  4.7219e-04  4.7673e-01
 1.1169e-03  4.6663e-04  4.2723e-01
 1.1821e-03  4.2725e-04  3.4020e-01
 1.1826e-03  4.2696e-04  3.3937e-01
 1.1830e-03  4.2696e-04  3.3918e-01
 1.1834e-03  4.2697e-04  3.3900e-01
 1.1926e-03  4.2725e-04  3.3508e-01
 1.3305e-03  4.3104e-04  2.6957e-01
 1.3496e-03  4.3155e-04  2.6237e-01
 1.3578e-03  4.3190e-04  2.5925e-01
 1.3683e-03  4.3279e-04  2.5550e-01
 1.4284e-03  4.3729e-04  2.3300e-01
 1.5590e-03  4.4693e-04  2.1416e-01
 1.5591e-03  4.4693e-04  2.1413e-01
 1.6647e-03  4.5618e-04  1.8973e-01
 1.7117e-03  4.6025e-04  1.8539e-01
 1.7898e-03  4.6718e-04  1.7794e-01
 1.8652e-03  4.7382e-04  1.7009e-01
 1.9150e-03  4.7815e-04  1.6496e-01
 2.0550e-03  4.8954e-04  1.4960e-01
 2.1589e-03  4.9545e-04  1.4217e-01
 2.2527e-03  5.0089e-04  1.3511e-01
 2.3595e-03  5.0701e-04  1.2702e-01
 2.4332e-03  5.1099e-04  1.2326e-01
 2.6412e-03  5.2243e-04  1.1195e-01
 2.7092e-03  5.2611e-04  1.0843e-01
 2.7360e-03  5.2748e-04  1.0732e-01
 2.7403e-03  5.2770e-04  1.0715e-01
 2.9334e-03  5.3785e-04  9.9270e-02
 3.0838e-03  5.4564e-04  9.2674e-02
 3.1105e-03  5.4705e-04  9.1454e-02
 3.3307e-03  5.5814e-04  8.5244e-02
 3.4676e-03  5.6491e-04  8.1266e-02
 3.5713e-03  5.7018e-04  7.8122e-02
 3.7300e-03  5.7797e-04  7.2799e-02
 3.8948e-03  5.8598e-04  7.0444e-02
 4.0797e-03  5.9519e-04  6.7711e-02
 4.1004e-03  5.9622e-04  6.7262e-02
 4.3629e-03  6.1061e-04  6.0324e-02
 4.3763e-03  6.1133e-04  5.9947e-02
 4.7079e-03  6.2983e-04  5.6089e-02
 4.8763e-03  6.3861e-04  5.3887e-02
 4.8839e-03  6.3904e-04  5.3785e-02
 5.4054e-03  6.6696e-04  4.6697e-02
 5.4442e-03  6.6911e-04  4.6140e-02
 5.5478e-03  6.7519e-04  4.4616e-02
 5.5811e-03  6.7711e-04  4.4393e-02
 5.8232e-03  6.9150e-04  4.2724e-02
 6.0573e-03  7.0508e-04  4.0465e-02
 6.2063e-03  7.1446e-04  3.8960e-02
 6.7008e-03  7.5022e-04  3.5713e-02
 6.9533e-03  7.6975e-04  3.3937e-02
 7.1258e-03  7.8285e-04  3.2718e-02
 7.3893e-03  8.0238e-04  3.1374e-02
 7.8591e-03  8.4028e-04  2.8825e-02
 8.0144e-03  8.5244e-04  2.8082e-02
 8.1281e-03  8.6182e-04  2.7525e-02
 8.1814e-03  8.6666e-04  2.7260e-02
 8.2082e-03  8.6910e-04  2.7104e-02
 8.2582e-03  8.7364e-04  2.6957e-02
 8.9099e-03  9.3098e-04  2.4398e-02
 9.3937e-03  9.7779e-04  2.2310e-02
 9.7001e-03  1.0116e-03  2.1413e-02
 1.0286e-02  1.0732e-03  1.9702e-02
 1.0584e-02  1.1073e-03  1.8773e-02
 1.0785e-02  1.1326e-03  1.8119e-02
 1.1291e-02  1.1996e-03  1.7009e-02
 1.1460e-02  1.2211e-03  1.6649e-02
 1.2383e-02  1.3374e-03  1.4523e-02
 1.2423e-02  1.3439e-03  1.4459e-02
 1.2468e-02  1.3511e-03  1.4385e-02
 1.2992e-02  1.4496e-03  1.3511e-02
 1.3314e-02  1.5072e-03  1.2987e-02
 1.4218e-02  1.6495e-03  1.1395e-02
 1.4371e-02  1.6708e-03  1.1112e-02
 1.4430e-02  1.6800e-03  1.1000e-02
 1.4567e-02  1.7008e-03  1.0877e-02
 1.4727e-02  1.7297e-03  1.0732e-02
 1.5476e-02  1.8590e-03  9.7385e-03
 1.6256e-02  2.0795e-03  8.5831e-03
 1.6300e-02  2.0912e-03  8.5244e-03
 1.6324e-02  2.0974e-03  8.4876e-03
 1.6411e-02  2.1225e-03  8.3951e-03
 1.6457e-02  2.1413e-03  8.3450e-03
 1.7340e-02  2.4376e-03  7.3309e-03
 1.7778e-02  2.6299e-03  6.7711e-03
 1.7936e-02  2.6957e-03  6.3990e-03
 1.7971e-02  2.7171e-03  6.3129e-03
 1.8175e-02  2.8376e-03  6.1026e-03
 1.8743e-02  3.2300e-03  5.4744e-03
 1.8818e-02  3.2973e-03  5.3785e-03
 1.8844e-02  3.3197e-03  5.3305e-03
 1.8881e-02  3.3524e-03  5.2598e-03
 1.8911e-02  3.3937e-03  5.2020e-03
 1.9132e-02  1.0000e+05  1.0000e+05
 1.9137e-02  1.0000e+05  1.0000e+05
