#      mass       lower       upper
 1.0300e-03  4.1838e-02  2.5995e+01
 1.0465e-03  4.1688e-02  2.1515e+01
 1.0485e-03  4.1670e-02  2.1365e+01
 1.0595e-03  4.1660e-02  2.0523e+01
 1.0753e-03  4.1646e-02  1.7090e+01
 1.1099e-03  4.1616e-02  1.5089e+01
 1.1187e-03  4.1608e-02  1.3574e+01
 1.1826e-03  4.1552e-02  1.0790e+01
 1.1830e-03  4.1558e-02  1.0783e+01
 1.1860e-03  4.1602e-02  1.0732e+01
 1.2011e-03  4.1829e-02  1.0516e+01
 1.2712e-03  4.2928e-02  9.4576e+00
 1.3245e-03  4.3751e-02  8.5651e+00
 1.3385e-03  4.3965e-02  8.3917e+00
 1.3578e-03  4.4269e-02  8.1471e+00
 1.4880e-03  4.6393e-02  7.1878e+00
 1.5357e-03  4.7155e-02  6.8037e+00
 1.5590e-03  4.7528e-02  6.6384e+00
 1.6524e-03  4.9048e-02  6.1617e+00
 1.6683e-03  4.9305e-02  6.0765e+00
 1.7898e-03  5.1236e-02  5.5048e+00
 1.8188e-03  5.1703e-02  5.4041e+00
 1.8332e-03  5.1930e-02  5.3570e+00
 1.9661e-03  5.4041e-02  4.9009e+00
 2.0319e-03  5.5074e-02  4.6586e+00
 2.0550e-03  5.5433e-02  4.5703e+00
 2.1700e-03  5.7262e-02  4.2928e+00
 2.2499e-03  5.8500e-02  4.1011e+00
 2.3595e-03  6.0187e-02  3.8224e+00
 2.4899e-03  6.2204e-02  3.6044e+00
 2.5997e-03  6.3891e-02  3.4098e+00
 2.7092e-03  6.5527e-02  3.2146e+00
 2.7538e-03  6.6213e-02  3.1624e+00
 2.8743e-03  6.8037e-02  3.0171e+00
 3.0432e-03  7.0564e-02  2.8007e+00
 3.0988e-03  7.1394e-02  2.7257e+00
 3.1105e-03  7.1570e-02  2.7119e+00
 3.1139e-03  7.1621e-02  2.7086e+00
 3.3605e-03  7.5300e-02  2.4659e+00
 3.5713e-03  7.8409e-02  2.2377e+00
 3.6125e-03  7.9039e-02  2.1931e+00
 3.6905e-03  8.0216e-02  2.1515e+00
 4.0646e-03  8.5651e-02  1.8727e+00
 4.0900e-03  8.6019e-02  1.8523e+00
 4.1004e-03  8.6173e-02  1.8438e+00
 4.3535e-03  8.9959e-02  1.7090e+00
 4.5055e-03  9.2160e-02  1.6277e+00
 4.7079e-03  9.5175e-02  1.5127e+00
 4.9586e-03  9.8897e-02  1.4151e+00
 5.0989e-03  1.0107e-01  1.3575e+00
 5.4054e-03  1.0565e-01  1.2308e+00
 5.4508e-03  1.0634e-01  1.2179e+00
 5.5461e-03  1.0783e-01  1.1905e+00
 5.9132e-03  1.1366e-01  1.0783e+00
 5.9806e-03  1.1470e-01  1.0579e+00
 6.2063e-03  1.1850e-01  9.8657e-01
 6.5471e-03  1.2417e-01  9.1034e-01
 6.7713e-03  1.2836e-01  8.5651e-01
 7.1258e-03  1.3472e-01  7.7167e-01
 7.1792e-03  1.3575e-01  7.6264e-01
 7.6361e-03  1.4558e-01  6.8037e-01
 7.7626e-03  1.4818e-01  6.5836e-01
 8.1814e-03  1.5912e-01  5.7951e-01
 8.3806e-03  1.6418e-01  5.5181e-01
 8.4597e-03  1.6681e-01  5.4041e-01
 8.5856e-03  1.7090e-01  5.2161e-01
 8.9197e-03  1.8346e-01  4.6795e-01
 8.9598e-03  1.8491e-01  4.6162e-01
 9.1563e-03  1.9655e-01  4.2928e-01
 9.1891e-03  1.9843e-01  4.1382e-01
 9.3937e-03  2.0976e-01  3.7996e-01
 9.4508e-03  2.1298e-01  3.7083e-01
 9.4739e-03  2.1515e-01  3.6707e-01
 9.6277e-03  2.3836e-01  3.4098e-01
 9.7002e-03  2.4856e-01  3.2321e-01
 9.7456e-03  2.5473e-01  3.1157e-01
 9.7692e-03  1.0000e+05  1.0000e+05
