#      mass       lower
 2.1410e-01  9.6104e-04
 2.1420e-01  9.1531e-04
 2.1430e-01  7.0151e-04
 2.1450e-01  6.3974e-04
 2.1460e-01  6.0218e-04
 2.1470e-01  7.1335e-04
 2.1490e-01  8.9203e-04
 2.1500e-01  1.0657e-03
 2.1520e-01  1.1388e-03
 2.1530e-01  1.0224e-03
 2.1550e-01  1.0139e-03
 2.1560e-01  8.5842e-04
 2.1580e-01  8.2479e-04
 2.1590e-01  8.3797e-04
 2.1610e-01  8.8765e-04
 2.1620e-01  9.0269e-04
 2.1640e-01  1.0969e-03
 2.1660e-01  9.8015e-04
 2.1670e-01  9.5737e-04
 2.1690e-01  1.0051e-03
 2.1710e-01  1.0586e-03
 2.1730e-01  1.1141e-03
 2.1750e-01  1.2429e-03
 2.1770e-01  9.8275e-04
 2.1780e-01  7.7803e-04
 2.1800e-01  9.2947e-04
 2.1820e-01  7.8670e-04
 2.1840e-01  7.3960e-04
 2.1860e-01  7.3000e-04
 2.1880e-01  8.8851e-04
 2.1910e-01  1.0706e-03
 2.1930e-01  1.1866e-03
 2.1950e-01  1.2373e-03
 2.1970e-01  1.2437e-03
 2.1990e-01  1.2451e-03
 2.2010e-01  1.2442e-03
 2.2040e-01  1.2833e-03
 2.2060e-01  1.2978e-03
 2.2080e-01  1.2184e-03
 2.2110e-01  1.2218e-03
 2.2130e-01  1.2118e-03
 2.2160e-01  1.1432e-03
 2.2180e-01  9.2154e-04
 2.2200e-01  1.1197e-03
 2.2230e-01  9.5496e-04
 2.2260e-01  1.1981e-03
 2.2280e-01  1.2032e-03
 2.2310e-01  1.1142e-03
 2.2330e-01  1.0956e-03
 2.2360e-01  1.0013e-03
 2.2390e-01  9.6742e-04
 2.2410e-01  9.5808e-04
 2.2440e-01  1.0385e-03
 2.2470e-01  1.0652e-03
 2.2500e-01  1.1989e-03
 2.2530e-01  1.3112e-03
 2.2560e-01  1.3859e-03
 2.2590e-01  1.2857e-03
 2.2620e-01  1.1564e-03
 2.2650e-01  1.1837e-03
 2.2680e-01  9.7444e-04
 2.2710e-01  9.7343e-04
 2.2740e-01  1.0479e-03
 2.2770e-01  1.2217e-03
 2.2800e-01  1.1060e-03
 2.2830e-01  1.2182e-03
 2.2860e-01  1.4021e-03
 2.2900e-01  1.5398e-03
 2.2930e-01  1.4269e-03
 2.2960e-01  1.3917e-03
 2.3000e-01  1.3132e-03
 2.3030e-01  1.2616e-03
 2.3060e-01  1.2286e-03
 2.3100e-01  1.2332e-03
 2.3130e-01  1.2998e-03
 2.3170e-01  1.3369e-03
 2.3200e-01  1.2871e-03
 2.3240e-01  1.2450e-03
 2.3270e-01  1.0150e-03
 2.3310e-01  9.6052e-04
 2.3350e-01  9.7038e-04
 2.3380e-01  1.0840e-03
 2.3420e-01  1.2125e-03
 2.3460e-01  1.3305e-03
 2.3500e-01  1.4814e-03
 2.3530e-01  1.3760e-03
 2.3570e-01  1.3892e-03
 2.3610e-01  1.3098e-03
 2.3650e-01  1.5250e-03
 2.3690e-01  1.5501e-03
 2.3730e-01  1.5086e-03
 2.3770e-01  1.2885e-03
 2.3810e-01  1.2696e-03
 2.3850e-01  1.4074e-03
 2.3890e-01  1.4693e-03
 2.3930e-01  1.2758e-03
 2.3980e-01  1.2011e-03
 2.4020e-01  1.2006e-03
 2.4060e-01  1.2362e-03
 2.4100e-01  1.4313e-03
 2.4150e-01  1.3733e-03
 2.4190e-01  1.2979e-03
 2.4230e-01  1.0367e-03
 2.4280e-01  1.1492e-03
 2.4320e-01  1.0815e-03
 2.4370e-01  1.1915e-03
 2.4410e-01  1.4076e-03
 2.4460e-01  1.5003e-03
 2.4500e-01  1.6830e-03
 2.4550e-01  1.6244e-03
 2.4600e-01  1.6217e-03
 2.4640e-01  1.4456e-03
 2.4690e-01  1.6199e-03
 2.4740e-01  1.5177e-03
 2.4780e-01  1.2650e-03
 2.4830e-01  1.4466e-03
 2.4880e-01  1.4585e-03
 2.4930e-01  1.1272e-03
 2.4980e-01  1.0746e-03
 2.5030e-01  1.0500e-03
 2.5080e-01  1.0883e-03
 2.5130e-01  1.3345e-03
 2.5180e-01  1.3620e-03
 2.5230e-01  1.2586e-03
 2.5280e-01  1.1840e-03
 2.5330e-01  1.1395e-03
 2.5380e-01  1.2444e-03
 2.5430e-01  1.3804e-03
 2.5480e-01  1.6546e-03
 2.5540e-01  1.5318e-03
 2.5590e-01  1.4759e-03
 2.5640e-01  1.4490e-03
 2.5700e-01  1.5238e-03
 2.5750e-01  1.2428e-03
 2.5800e-01  1.4700e-03
 2.5860e-01  1.1950e-03
 2.5910e-01  1.3517e-03
 2.5970e-01  1.4284e-03
 2.6020e-01  1.4849e-03
 2.6080e-01  1.4826e-03
 2.6130e-01  1.4577e-03
 2.6190e-01  1.4497e-03
 2.6250e-01  1.6249e-03
 2.6300e-01  1.6165e-03
 2.6360e-01  1.5996e-03
 2.6420e-01  1.3266e-03
 2.6480e-01  1.0763e-03
 2.6530e-01  1.1376e-03
 2.6590e-01  1.1721e-03
 2.6650e-01  1.5760e-03
 2.6710e-01  1.9370e-03
 2.6770e-01  1.7526e-03
 2.6830e-01  1.6419e-03
 2.6890e-01  1.2229e-03
 2.6950e-01  1.1635e-03
 2.7010e-01  1.2725e-03
 2.7070e-01  1.1488e-03
 2.7130e-01  1.5114e-03
 2.7190e-01  1.5437e-03
 2.7260e-01  1.6335e-03
 2.7320e-01  1.6368e-03
 2.7380e-01  1.7061e-03
 2.7440e-01  1.5356e-03
 2.7510e-01  1.4216e-03
 2.7570e-01  1.3696e-03
 2.7630e-01  1.1904e-03
 2.7700e-01  1.1210e-03
 2.7760e-01  1.0269e-03
 2.7830e-01  9.9896e-04
 2.7890e-01  1.4023e-03
 2.7960e-01  1.6029e-03
 2.8020e-01  1.7593e-03
 2.8090e-01  2.0816e-03
 2.8160e-01  2.0627e-03
 2.8220e-01  1.7692e-03
 2.8290e-01  1.5769e-03
 2.8360e-01  1.0956e-03
 2.8420e-01  1.0482e-03
 2.8490e-01  1.1645e-03
 2.8560e-01  1.3015e-03
 2.8630e-01  1.5648e-03
