#      mass       lower
 8.9907e-03  4.2690e-04
 9.0814e-03  3.8669e-04
 9.1546e-03  4.0505e-04
 9.2284e-03  4.1889e-04
 9.3215e-03  3.9232e-04
 9.3967e-03  3.9486e-04
 9.4724e-03  3.8109e-04
 9.5488e-03  3.7576e-04
 9.6258e-03  3.5240e-04
 9.7034e-03  3.2424e-04
 9.8013e-03  3.3822e-04
 9.8803e-03  3.1701e-04
 9.9599e-03  3.2077e-04
 1.0040e-02  3.2042e-04
 1.0121e-02  2.8636e-04
 1.0182e-02  3.0929e-04
 1.0264e-02  2.5505e-04
 1.0347e-02  2.7944e-04
 1.0431e-02  2.7656e-04
 1.0515e-02  3.2158e-04
 1.0599e-02  3.2847e-04
 1.0663e-02  3.3089e-04
 1.0749e-02  3.1556e-04
 1.0836e-02  3.1756e-04
 1.0923e-02  3.1371e-04
 1.1034e-02  3.2221e-04
 1.1123e-02  3.2822e-04
 1.1235e-02  3.1239e-04
 1.1325e-02  3.1149e-04
 1.1440e-02  3.0372e-04
 1.1532e-02  3.0340e-04
 1.1625e-02  2.8378e-04
 1.1742e-02  2.6894e-04
 1.1837e-02  2.8184e-04
 1.1932e-02  2.9793e-04
 1.2028e-02  3.0978e-04
 1.2125e-02  2.9675e-04
 1.2223e-02  2.9699e-04
 1.2322e-02  2.8959e-04
 1.2421e-02  2.5249e-04
 1.2521e-02  2.6266e-04
 1.2622e-02  2.5101e-04
 1.2724e-02  2.5049e-04
 1.2827e-02  2.5676e-04
 1.2930e-02  2.8273e-04
 1.3034e-02  2.7263e-04
 1.3139e-02  2.8268e-04
 1.3245e-02  2.5971e-04
 1.3325e-02  2.7203e-04
 1.3433e-02  2.5346e-04
 1.3541e-02  2.0678e-04
 1.3623e-02  2.2870e-04
 1.3733e-02  2.1758e-04
 1.3843e-02  2.5192e-04
 1.3927e-02  2.6512e-04
 1.4039e-02  2.8788e-04
 1.4124e-02  2.7699e-04
 1.4238e-02  2.8012e-04
 1.4324e-02  2.6628e-04
 1.4439e-02  2.7853e-04
 1.4527e-02  2.6550e-04
 1.4644e-02  2.4004e-04
 1.4762e-02  2.5215e-04
 1.4881e-02  2.8168e-04
 1.5001e-02  3.0219e-04
 1.5122e-02  2.9064e-04
 1.5244e-02  2.9260e-04
 1.5366e-02  2.8305e-04
 1.5459e-02  2.8413e-04
 1.5584e-02  2.5802e-04
 1.5710e-02  2.3060e-04
 1.5836e-02  2.2781e-04
 1.5964e-02  2.4824e-04
