#      mass       lower       upper
 1.0300e-03  4.2319e-06  1.4137e-02
 1.0416e-03  4.1423e-06  1.3607e-02
 1.0513e-03  4.0664e-06  1.3150e-02
 1.0692e-03  3.9221e-06  1.0808e-02
 1.1016e-03  3.6460e-06  9.6627e-03
 1.1125e-03  3.5480e-06  8.5852e-03
 1.1180e-03  3.4983e-06  7.8182e-03
 1.1266e-03  3.4179e-06  7.6885e-03
 1.1807e-03  3.0584e-06  6.8195e-03
 1.1826e-03  3.0453e-06  6.7767e-03
 1.2905e-03  2.9549e-06  5.8354e-03
 1.3333e-03  2.9223e-06  5.4170e-03
 1.3578e-03  2.9035e-06  5.2388e-03
 1.4317e-03  2.8870e-06  4.7005e-03
 1.5079e-03  2.8698e-06  4.4915e-03
 1.5590e-03  2.8593e-06  4.3455e-03
 1.5728e-03  2.8589e-06  4.3031e-03
 1.7371e-03  2.8537e-06  3.8116e-03
 1.7898e-03  2.8523e-06  3.6400e-03
 1.8447e-03  2.8551e-06  3.5311e-03
 1.9001e-03  2.8577e-06  3.4178e-03
 2.0550e-03  2.8650e-06  3.0999e-03
 2.2756e-03  2.8840e-06  2.8031e-03
 2.3368e-03  2.8889e-06  2.7150e-03
 2.3482e-03  2.8898e-06  2.6933e-03
 2.3595e-03  2.8907e-06  2.6828e-03
 2.4043e-03  2.8952e-06  2.6313e-03
 2.5962e-03  2.9146e-06  2.4180e-03
 2.7092e-03  2.9255e-06  2.2832e-03
 2.7578e-03  2.9307e-06  2.2214e-03
 2.8688e-03  2.9425e-06  2.1566e-03
 2.9582e-03  2.9520e-06  2.0851e-03
 3.1105e-03  2.9674e-06  1.9573e-03
 3.2421e-03  2.9813e-06  1.8355e-03
 3.3674e-03  2.9946e-06  1.7866e-03
 3.5499e-03  3.0130e-06  1.7130e-03
 3.5713e-03  3.0152e-06  1.7005e-03
 3.6126e-03  3.0194e-06  1.6805e-03
 3.8301e-03  3.0418e-06  1.5803e-03
 4.1004e-03  3.0682e-06  1.4462e-03
 4.3584e-03  3.0937e-06  1.3607e-03
 4.4417e-03  3.1019e-06  1.3328e-03
 4.7079e-03  3.1263e-06  1.2397e-03
 4.9458e-03  3.1484e-06  1.1863e-03
 5.3852e-03  3.1876e-06  1.0808e-03
 5.4054e-03  3.1894e-06  1.0759e-03
 5.6153e-03  3.2078e-06  1.0165e-03
 5.7928e-03  3.2228e-06  9.6349e-04
 6.2063e-03  3.2575e-06  9.1244e-04
 6.3720e-03  3.2710e-06  8.8953e-04
 6.5899e-03  3.2883e-06  8.5852e-04
 7.1258e-03  3.3305e-06  7.7990e-04
 7.2272e-03  3.3383e-06  7.7030e-04
 8.1046e-03  3.4028e-06  6.8195e-04
 8.1427e-03  3.4056e-06  6.7656e-04
 8.1814e-03  3.4084e-06  6.7386e-04
 8.1940e-03  3.4093e-06  6.7279e-04
 8.3146e-03  3.4179e-06  6.6234e-04
 8.3488e-03  3.4203e-06  6.5934e-04
 9.2853e-03  3.4847e-06  5.8059e-04
 9.3937e-03  3.4920e-06  5.7078e-04
 9.5456e-03  3.5033e-06  5.5639e-04
 9.8769e-03  3.5279e-06  5.4170e-04
 1.0501e-02  3.5737e-06  5.0333e-04
 1.0785e-02  3.5942e-06  4.8483e-04
 1.1852e-02  3.6770e-06  4.3909e-04
 1.2045e-02  3.6917e-06  4.3031e-04
 1.2383e-02  3.7173e-06  4.1500e-04
 1.3234e-02  3.7815e-06  3.8518e-04
 1.3361e-02  3.7910e-06  3.8106e-04
 1.4218e-02  3.8546e-06  3.5196e-04
 1.4612e-02  3.8838e-06  3.4179e-04
 1.5046e-02  3.9157e-06  3.3077e-04
 1.6324e-02  4.0087e-06  2.9590e-04
 1.6922e-02  4.0525e-06  2.8496e-04
 1.7628e-02  4.1039e-06  2.7150e-04
 1.8743e-02  4.1838e-06  2.4963e-04
 2.0369e-02  4.3031e-06  2.2776e-04
 2.1205e-02  4.3626e-06  2.1566e-04
 2.1319e-02  4.3708e-06  2.1405e-04
 2.1520e-02  4.3853e-06  2.1122e-04
 2.1842e-02  4.4110e-06  2.0761e-04
 2.2566e-02  4.4654e-06  1.9925e-04
 2.4708e-02  4.6222e-06  1.7648e-04
 2.5349e-02  4.6718e-06  1.7130e-04
 2.6662e-02  4.7720e-06  1.6087e-04
 2.8369e-02  4.9044e-06  1.4618e-04
 2.9741e-02  5.0072e-06  1.3819e-04
 3.0092e-02  5.0350e-06  1.3607e-04
 3.2571e-02  5.2294e-06  1.2102e-04
 3.3112e-02  5.2705e-06  1.1879e-04
 3.4978e-02  5.4170e-06  1.1074e-04
 3.5565e-02  5.4650e-06  1.0808e-04
 3.7397e-02  5.6119e-06  9.9878e-05
 3.8985e-02  5.7523e-06  9.2015e-05
 4.0768e-02  5.9056e-06  8.7968e-05
 4.1667e-02  5.9896e-06  8.5852e-05
 4.2938e-02  6.1061e-06  8.1535e-05
 4.5006e-02  6.3056e-06  7.6619e-05
 4.8251e-02  6.6427e-06  6.8195e-05
 4.9299e-02  6.7480e-06  6.5442e-05
 4.9516e-02  6.7699e-06  6.5065e-05
 4.9978e-02  6.8195e-06  6.4251e-05
 5.4293e-02  7.3099e-06  5.6084e-05
 5.5221e-02  7.4289e-06  5.4170e-05
 5.6603e-02  7.6028e-06  5.1442e-05
 5.9260e-02  7.9531e-06  4.7558e-05
 6.2092e-02  8.3839e-06  4.3031e-05
 6.3467e-02  8.5852e-06  4.1070e-05
 6.4345e-02  8.7291e-06  3.9767e-05
 6.4990e-02  8.8542e-06  3.8783e-05
 6.6855e-02  9.2563e-06  3.5832e-05
 6.8927e-02  9.6833e-06  3.4179e-05
 6.9192e-02  9.7364e-06  3.3894e-05
 7.3153e-02  1.0808e-05  2.9296e-05
 7.3793e-02  1.1010e-05  2.8484e-05
 7.4618e-02  1.1374e-05  2.7401e-05
 7.4892e-02  1.1500e-05  2.7151e-05
 7.5159e-02  1.1622e-05  2.6825e-05
 7.7702e-02  1.2719e-05  2.3385e-05
 7.8907e-02  1.3579e-05  2.1566e-05
 7.8948e-02  1.3607e-05  2.1501e-05
 8.0314e-02  1.5153e-05  1.9224e-05
 8.0701e-02  1.7131e-05  1.8529e-05
