#      mass       lower       upper
 1.0300e-03  1.4400e-08  1.0385e-04
 1.0381e-03  1.4144e-08  1.1233e-04
 1.0449e-03  1.3926e-08  1.1894e-04
 1.0459e-03  1.3893e-08  1.1900e-04
 1.0573e-03  1.3543e-08  1.1532e-04
 1.0638e-03  1.3379e-08  1.1020e-04
 1.0924e-03  1.2633e-08  1.1079e-04
 1.1048e-03  1.2294e-08  9.9935e-05
 1.1276e-03  1.1646e-08  9.7578e-05
 1.1664e-03  1.0757e-08  8.9362e-05
 1.1680e-03  1.0724e-08  8.8913e-05
 1.1700e-03  1.0682e-08  8.7262e-05
 1.1826e-03  1.0416e-08  8.4724e-05
 1.2113e-03  1.0335e-08  8.3518e-05
 1.3114e-03  1.0082e-08  7.5233e-05
 1.3578e-03  9.9629e-09  7.1647e-05
 1.4255e-03  9.9192e-09  6.8874e-05
 1.5453e-03  9.8477e-09  6.2532e-05
 1.5590e-03  9.8396e-09  6.1830e-05
 1.5961e-03  9.8404e-09  6.0415e-05
 1.6445e-03  9.8409e-09  5.8698e-05
 1.7898e-03  9.8439e-09  5.2823e-05
 1.8693e-03  9.8649e-09  5.0656e-05
 1.8849e-03  9.8691e-09  5.0050e-05
 1.9606e-03  9.8884e-09  4.6949e-05
 2.0550e-03  9.9124e-09  4.5330e-05
 2.1541e-03  9.9467e-09  4.3510e-05
 2.3035e-03  9.9955e-09  4.0547e-05
 2.3595e-03  1.0014e-08  3.9410e-05
 2.4577e-03  1.0051e-08  3.7868e-05
 2.4638e-03  1.0053e-08  3.7770e-05
 2.7092e-03  1.0144e-08  3.3844e-05
 2.8003e-03  1.0180e-08  3.2806e-05
 2.8455e-03  1.0198e-08  3.2277e-05
 3.1105e-03  1.0297e-08  2.9090e-05
 3.1878e-03  1.0327e-08  2.8500e-05
 3.5391e-03  1.0456e-08  2.5635e-05
 3.5713e-03  1.0468e-08  2.5361e-05
 3.6260e-03  1.0489e-08  2.4981e-05
 3.6282e-03  1.0490e-08  2.4966e-05
 4.1004e-03  1.0657e-08  2.1659e-05
 4.3736e-03  1.0753e-08  2.0338e-05
 4.3875e-03  1.0757e-08  2.0271e-05
 4.6826e-03  1.0855e-08  1.8783e-05
 4.7079e-03  1.0863e-08  1.8650e-05
 4.7383e-03  1.0873e-08  1.8481e-05
 4.9258e-03  1.0933e-08  1.7401e-05
 5.4054e-03  1.1085e-08  1.6232e-05
 5.4412e-03  1.1096e-08  1.6128e-05
 6.0340e-03  1.1274e-08  1.4370e-05
 6.2063e-03  1.1324e-08  1.3818e-05
 6.7141e-03  1.1469e-08  1.2785e-05
 6.8441e-03  1.1506e-08  1.2514e-05
 7.1258e-03  1.1581e-08  1.1908e-05
 7.7594e-03  1.1751e-08  1.0959e-05
 7.9145e-03  1.1790e-08  1.0714e-05
 8.1814e-03  1.1857e-08  1.0305e-05
 8.3236e-03  1.1893e-08  1.0132e-05
 8.7930e-03  1.2011e-08  9.5595e-06
 9.3937e-03  1.2151e-08  8.7740e-06
 1.0197e-02  1.2336e-08  8.0876e-06
 1.0265e-02  1.2351e-08  8.0272e-06
 1.0785e-02  1.2464e-08  7.5608e-06
 1.1278e-02  1.2571e-08  7.2457e-06
 1.1802e-02  1.2679e-08  6.8952e-06
 1.2383e-02  1.2797e-08  6.5134e-06
 1.2686e-02  1.2859e-08  6.3581e-06
 1.2765e-02  1.2875e-08  6.3186e-06
 1.4218e-02  1.3154e-08  5.5415e-06
 1.5621e-02  1.3409e-08  5.0347e-06
 1.5974e-02  1.3473e-08  4.8539e-06
 1.6317e-02  1.3534e-08  4.7709e-06
 1.6324e-02  1.3535e-08  4.7691e-06
 1.6329e-02  1.3536e-08  4.7677e-06
 1.6372e-02  1.3543e-08  4.7563e-06
 1.7747e-02  1.3777e-08  4.3708e-06
 1.8456e-02  1.3896e-08  4.1748e-06
 1.8743e-02  1.3943e-08  4.0931e-06
 1.9242e-02  1.4020e-08  3.9853e-06
 2.0858e-02  1.4268e-08  3.6297e-06
 2.1520e-02  1.4365e-08  3.4737e-06
 2.2411e-02  1.4492e-08  3.3415e-06
 2.3621e-02  1.4655e-08  3.1533e-06
 2.4708e-02  1.4800e-08  2.9796e-06
 2.6631e-02  1.5050e-08  2.7555e-06
 2.7037e-02  1.5101e-08  2.7060e-06
 2.8369e-02  1.5266e-08  2.5511e-06
 2.9000e-02  1.5343e-08  2.4937e-06
 3.0072e-02  1.5473e-08  2.3971e-06
 3.2571e-02  1.5767e-08  2.1557e-06
 3.5430e-02  1.6094e-08  1.9711e-06
 3.6240e-02  1.6185e-08  1.9175e-06
 3.7397e-02  1.6306e-08  1.8384e-06
 3.8286e-02  1.6401e-08  1.7717e-06
 3.9286e-02  1.6507e-08  1.6938e-06
 4.2938e-02  1.6888e-08  1.5736e-06
 4.3162e-02  1.6911e-08  1.5650e-06
 4.3375e-02  1.6933e-08  1.5568e-06
 4.4610e-02  1.7060e-08  1.4893e-06
 4.6241e-02  1.7221e-08  1.3954e-06
 4.8630e-02  1.7454e-08  1.3374e-06
 4.9299e-02  1.7522e-08  1.3207e-06
 5.2667e-02  1.7850e-08  1.2286e-06
