#      mass       lower       upper
 1.0300e-03  2.0618e-06  1.0984e-03
 1.0448e-03  2.0296e-06  1.1692e-03
 1.0567e-03  2.0037e-06  1.2168e-03
 1.0733e-03  1.9678e-06  1.0800e-03
 1.1073e-03  1.8913e-06  1.0378e-03
 1.1169e-03  1.8694e-06  9.4324e-04
 1.1821e-03  1.7118e-06  8.0157e-04
 1.1826e-03  1.7107e-06  7.9989e-04
 1.1830e-03  1.7107e-06  7.9965e-04
 1.1834e-03  1.7107e-06  7.9943e-04
 1.1926e-03  1.7118e-06  7.9493e-04
 1.3305e-03  1.7278e-06  6.7300e-04
 1.3496e-03  1.7300e-06  6.5761e-04
 1.3578e-03  1.7314e-06  6.5077e-04
 1.3683e-03  1.7351e-06  6.4255e-04
 1.4284e-03  1.7538e-06  5.9099e-04
 1.5590e-03  1.7932e-06  5.4999e-04
 1.5591e-03  1.7932e-06  5.4992e-04
 1.6647e-03  1.8318e-06  4.8964e-04
 1.7117e-03  1.8485e-06  4.7929e-04
 1.7898e-03  1.8770e-06  4.6108e-04
 1.8652e-03  1.9046e-06  4.4135e-04
 1.9150e-03  1.9226e-06  4.2833e-04
 2.0550e-03  1.9708e-06  3.8874e-04
 2.1589e-03  1.9960e-06  3.6957e-04
 2.2527e-03  2.0195e-06  3.5118e-04
 2.3595e-03  2.0464e-06  3.3001e-04
 2.4332e-03  2.0637e-06  3.2017e-04
 2.6412e-03  2.1145e-06  2.9045e-04
 2.7092e-03  2.1312e-06  2.8115e-04
 2.7360e-03  2.1374e-06  2.7821e-04
 2.7403e-03  2.1383e-06  2.7776e-04
 2.9334e-03  2.1846e-06  2.5696e-04
 3.0838e-03  2.2216e-06  2.3950e-04
 3.1105e-03  2.2284e-06  2.3627e-04
 3.3307e-03  2.2808e-06  2.1981e-04
 3.4676e-03  2.3139e-06  2.0926e-04
 3.5713e-03  2.3405e-06  2.0092e-04
 3.7300e-03  2.3824e-06  1.8682e-04
 3.8948e-03  2.4217e-06  1.8055e-04
 4.0797e-03  2.4680e-06  1.7327e-04
 4.1004e-03  2.4736e-06  1.7208e-04
 4.3629e-03  2.5584e-06  1.5368e-04
 4.3763e-03  2.5630e-06  1.5268e-04
 4.7079e-03  2.6644e-06  1.4239e-04
 4.8763e-03  2.7172e-06  1.3653e-04
 4.8839e-03  2.7198e-06  1.3626e-04
 5.4054e-03  2.9108e-06  1.1744e-04
 5.4442e-03  2.9274e-06  1.1596e-04
 5.5478e-03  2.9760e-06  1.1192e-04
 5.5811e-03  2.9887e-06  1.1132e-04
 5.8232e-03  3.0876e-06  1.0685e-04
 6.0573e-03  3.1997e-06  1.0084e-04
 6.2063e-03  3.2831e-06  9.6845e-05
 6.7008e-03  3.5827e-06  8.8138e-05
 6.9533e-03  3.7676e-06  8.3388e-05
 7.1258e-03  3.9010e-06  8.0139e-05
 7.3893e-03  4.0895e-06  7.6533e-05
 7.8591e-03  4.4680e-06  6.9713e-05
 8.0144e-03  4.5873e-06  6.7725e-05
 8.1281e-03  4.6783e-06  6.6238e-05
 8.1814e-03  4.7240e-06  6.5528e-05
 8.2082e-03  4.7480e-06  6.5113e-05
 8.2582e-03  4.7861e-06  6.4709e-05
 8.9099e-03  5.2863e-06  5.7842e-05
 9.3937e-03  5.6720e-06  5.2280e-05
 9.7001e-03  5.9201e-06  4.9836e-05
 1.0286e-02  6.3655e-06  4.5208e-05
 1.0584e-02  6.6115e-06  4.2697e-05
 1.0785e-02  6.7945e-06  4.0926e-05
 1.1291e-02  7.2747e-06  3.7801e-05
 1.1460e-02  7.4341e-06  3.6786e-05
 1.2383e-02  8.3914e-06  3.0770e-05
 1.2423e-02  8.4457e-06  3.0570e-05
 1.2468e-02  8.5062e-06  3.0342e-05
 1.2992e-02  9.3895e-06  2.7503e-05
 1.3314e-02  9.9851e-06  2.5738e-05
 1.4218e-02  1.0000e+05  1.0000e+05
 1.4371e-02  1.0000e+05  1.0000e+05
 1.4430e-02  1.0000e+05  1.0000e+05
 1.4567e-02  1.0000e+05  1.0000e+05
 1.4727e-02  1.0000e+05  1.0000e+05
 1.5476e-02  1.0000e+05  1.0000e+05
 1.6256e-02  1.0000e+05  1.0000e+05
 1.6300e-02  1.0000e+05  1.0000e+05
 1.6324e-02  1.0000e+05  1.0000e+05
 1.6411e-02  1.0000e+05  1.0000e+05
 1.6457e-02  1.0000e+05  1.0000e+05
 1.7340e-02  1.0000e+05  1.0000e+05
 1.7778e-02  1.0000e+05  1.0000e+05
 1.7936e-02  1.0000e+05  1.0000e+05
 1.7971e-02  1.0000e+05  1.0000e+05
 1.8175e-02  1.0000e+05  1.0000e+05
 1.8743e-02  1.0000e+05  1.0000e+05
 1.8818e-02  1.0000e+05  1.0000e+05
 1.8844e-02  1.0000e+05  1.0000e+05
 1.8881e-02  1.0000e+05  1.0000e+05
 1.8911e-02  1.0000e+05  1.0000e+05
 1.9132e-02  1.0000e+05  1.0000e+05
 1.9137e-02  1.0000e+05  1.0000e+05
