#      mass       lower       upper
 1.0300e-03  1.6741e-05  3.5727e-03
 1.0465e-03  1.6680e-05  3.7695e-03
 1.0485e-03  1.6673e-05  3.8026e-03
 1.0595e-03  1.6668e-05  3.9041e-03
 1.0753e-03  1.6663e-05  3.4523e-03
 1.1099e-03  1.6651e-05  3.2954e-03
 1.1187e-03  1.6649e-05  3.0010e-03
 1.1826e-03  1.6628e-05  2.5368e-03
 1.1830e-03  1.6630e-05  2.5358e-03
 1.1860e-03  1.6648e-05  2.5289e-03
 1.2011e-03  1.6739e-05  2.5010e-03
 1.2712e-03  1.7180e-05  2.3179e-03
 1.3245e-03  1.7511e-05  2.1286e-03
 1.3385e-03  1.7597e-05  2.0916e-03
 1.3578e-03  1.7719e-05  2.0381e-03
 1.4880e-03  1.8573e-05  1.8287e-03
 1.5357e-03  1.8880e-05  1.7370e-03
 1.5590e-03  1.9030e-05  1.6973e-03
 1.6524e-03  1.9642e-05  1.5825e-03
 1.6683e-03  1.9746e-05  1.5615e-03
 1.7898e-03  2.0526e-05  1.4185e-03
 1.8188e-03  2.0714e-05  1.3933e-03
 1.8332e-03  2.0806e-05  1.3814e-03
 1.9661e-03  2.1660e-05  1.2649e-03
 2.0319e-03  2.2079e-05  1.2021e-03
 2.0550e-03  2.2225e-05  1.1791e-03
 2.1700e-03  2.2968e-05  1.1070e-03
 2.2499e-03  2.3472e-05  1.0568e-03
 2.3595e-03  2.4162e-05  9.8362e-04
 2.4899e-03  2.4987e-05  9.2613e-04
 2.5997e-03  2.5681e-05  8.7463e-04
 2.7092e-03  2.6358e-05  8.2291e-04
 2.7538e-03  2.6641e-05  8.0903e-04
 2.8743e-03  2.7396e-05  7.7031e-04
 3.0432e-03  2.8452e-05  7.1266e-04
 3.0988e-03  2.8803e-05  6.9268e-04
 3.1105e-03  2.8877e-05  6.8900e-04
 3.1139e-03  2.8899e-05  6.8810e-04
 3.3605e-03  3.0455e-05  6.2315e-04
 3.5713e-03  3.1804e-05  5.6215e-04
 3.6125e-03  3.2081e-05  5.5021e-04
 3.6905e-03  3.2587e-05  5.3891e-04
 4.0646e-03  3.5015e-05  4.6391e-04
 4.0900e-03  3.5186e-05  4.5843e-04
 4.1004e-03  3.5258e-05  4.5615e-04
 4.3535e-03  3.6991e-05  4.1949e-04
 4.5055e-03  3.8034e-05  3.9742e-04
 4.7079e-03  3.9519e-05  3.6618e-04
 4.9586e-03  4.1367e-05  3.3923e-04
 5.0989e-03  4.2493e-05  3.2329e-04
 5.4054e-03  4.5050e-05  2.8818e-04
 5.4508e-03  4.5429e-05  2.8452e-04
 5.5461e-03  4.6274e-05  2.7670e-04
 5.9132e-03  4.9874e-05  2.4454e-04
 5.9806e-03  5.0580e-05  2.3865e-04
 6.2063e-03  5.3370e-05  2.1773e-04
 6.5471e-03  5.7901e-05  1.9406e-04
 6.7713e-03  6.1987e-05  1.7651e-04
 7.1258e-03  7.1125e-05  1.4624e-04
 7.1792e-03  7.2868e-05  1.4231e-04
 7.6361e-03  1.0000e+05  1.0000e+05
 7.7626e-03  1.0000e+05  1.0000e+05
 8.1814e-03  1.0000e+05  1.0000e+05
 8.3806e-03  1.0000e+05  1.0000e+05
 8.4597e-03  1.0000e+05  1.0000e+05
 8.5856e-03  1.0000e+05  1.0000e+05
 8.9197e-03  1.0000e+05  1.0000e+05
 8.9598e-03  1.0000e+05  1.0000e+05
 9.1563e-03  1.0000e+05  1.0000e+05
 9.1891e-03  1.0000e+05  1.0000e+05
 9.3937e-03  1.0000e+05  1.0000e+05
 9.4508e-03  1.0000e+05  1.0000e+05
 9.4739e-03  1.0000e+05  1.0000e+05
 9.6277e-03  1.0000e+05  1.0000e+05
 9.7002e-03  1.0000e+05  1.0000e+05
 9.7456e-03  1.0000e+05  1.0000e+05
 9.7692e-03  1.0000e+05  1.0000e+05
