#      mass       lower
 2.1410e-01  8.0526e-05
 2.1420e-01  7.2318e-05
 2.1430e-01  4.2511e-05
 2.1450e-01  3.4575e-05
 2.1460e-01  3.0334e-05
 2.1470e-01  4.1815e-05
 2.1490e-01  6.3310e-05
 2.1500e-01  8.8403e-05
 2.1520e-01  9.8489e-05
 2.1530e-01  7.9281e-05
 2.1550e-01  7.6625e-05
 2.1560e-01  5.4932e-05
 2.1580e-01  4.9944e-05
 2.1590e-01  5.1102e-05
 2.1610e-01  5.6311e-05
 2.1620e-01  5.7756e-05
 2.1640e-01  8.3182e-05
 2.1660e-01  6.5933e-05
 2.1670e-01  6.2558e-05
 2.1690e-01  6.7907e-05
 2.1710e-01  7.4197e-05
 2.1730e-01  8.0986e-05
 2.1750e-01  9.8955e-05
 2.1770e-01  6.2036e-05
 2.1780e-01  3.9027e-05
 2.1800e-01  5.4755e-05
 2.1820e-01  3.9085e-05
 2.1840e-01  3.4380e-05
 2.1860e-01  3.3259e-05
 2.1880e-01  4.8247e-05
 2.1910e-01  6.8628e-05
 2.1930e-01  8.3167e-05
 2.1950e-01  8.9495e-05
 2.1970e-01  8.9715e-05
 2.1990e-01  8.9244e-05
 2.2010e-01  8.8488e-05
 2.2040e-01  9.2982e-05
 2.2060e-01  9.4400e-05
 2.2080e-01  8.2970e-05
 2.2110e-01  8.2635e-05
 2.2130e-01  8.0834e-05
 2.2160e-01  7.1519e-05
 2.2180e-01  4.6615e-05
 2.2200e-01  6.7896e-05
 2.2230e-01  4.9302e-05
 2.2260e-01  7.6263e-05
 2.2280e-01  7.6512e-05
 2.2310e-01  6.5363e-05
 2.2330e-01  6.2945e-05
 2.2360e-01  5.2392e-05
 2.2390e-01  4.8659e-05
 2.2410e-01  4.7543e-05
 2.2440e-01  5.5305e-05
 2.2470e-01  5.7778e-05
 2.2500e-01  7.2381e-05
 2.2530e-01  8.5685e-05
 2.2560e-01  9.4889e-05
 2.2590e-01  8.1578e-05
 2.2620e-01  6.5983e-05
 2.2650e-01  6.8710e-05
 2.2680e-01  4.6771e-05
 2.2710e-01  4.6463e-05
 2.2740e-01  5.3359e-05
 2.2770e-01  7.1711e-05
 2.2800e-01  5.8764e-05
 2.2830e-01  7.0689e-05
 2.2860e-01  9.2555e-05
 2.2900e-01  1.1032e-04
 2.2930e-01  9.4863e-05
 2.2960e-01  9.0034e-05
 2.3000e-01  8.0031e-05
 2.3030e-01  7.3744e-05
 2.3060e-01  6.9778e-05
 2.3100e-01  6.9968e-05
 2.3130e-01  7.7265e-05
 2.3170e-01  8.1273e-05
 2.3200e-01  7.5238e-05
 2.3240e-01  7.0224e-05
 2.3270e-01  4.7116e-05
 2.3310e-01  4.2391e-05
 2.3350e-01  4.3049e-05
 2.3380e-01  5.2911e-05
 2.3420e-01  6.5573e-05
 2.3460e-01  7.8315e-05
 2.3500e-01  9.6111e-05
 2.3530e-01  8.3104e-05
 2.3570e-01  8.4387e-05
 2.3610e-01  7.5042e-05
 2.3650e-01  1.0044e-04
 2.3690e-01  1.0333e-04
 2.3730e-01  9.7795e-05
 2.3770e-01  7.1841e-05
 2.3810e-01  6.9606e-05
 2.3850e-01  8.4813e-05
 2.3890e-01  9.1924e-05
 2.3930e-01  6.9726e-05
 2.3980e-01  6.1815e-05
 2.4020e-01  6.1623e-05
 2.4060e-01  6.5073e-05
 2.4100e-01  8.6281e-05
 2.4150e-01  7.9424e-05
 2.4190e-01  7.1029e-05
 2.4230e-01  4.6116e-05
 2.4280e-01  5.5854e-05
 2.4320e-01  4.9672e-05
 2.4370e-01  5.9626e-05
 2.4410e-01  8.2212e-05
 2.4460e-01  9.2757e-05
 2.4500e-01  1.1535e-04
 2.4550e-01  1.0757e-04
 2.4600e-01  1.0699e-04
 2.4640e-01  8.5675e-05
 2.4690e-01  1.0635e-04
 2.4740e-01  9.3691e-05
 2.4780e-01  6.5820e-05
 2.4830e-01  8.5138e-05
 2.4880e-01  8.6328e-05
 2.4930e-01  5.2483e-05
 2.4980e-01  4.7954e-05
 2.5030e-01  4.5921e-05
 2.5080e-01  4.8938e-05
 2.5130e-01  7.2111e-05
 2.5180e-01  7.4895e-05
 2.5230e-01  6.4212e-05
 2.5280e-01  5.7014e-05
 2.5330e-01  5.2954e-05
 2.5380e-01  6.2555e-05
 2.5430e-01  7.6282e-05
 2.5480e-01  1.0765e-04
 2.5540e-01  9.2823e-05
 2.5590e-01  8.6349e-05
 2.5640e-01  8.3256e-05
 2.5700e-01  9.1513e-05
 2.5750e-01  6.1828e-05
 2.5800e-01  8.5226e-05
 2.5860e-01  5.7230e-05
 2.5910e-01  7.2386e-05
 2.5970e-01  8.0358e-05
 2.6020e-01  8.6428e-05
 2.6080e-01  8.6063e-05
 2.6130e-01  8.3238e-05
 2.6190e-01  8.2259e-05
 2.6250e-01  1.0198e-04
 2.6300e-01  1.0087e-04
 2.6360e-01  9.8765e-05
 2.6420e-01  6.9121e-05
 2.6480e-01  4.6705e-05
 2.6530e-01  5.1591e-05
 2.6590e-01  5.4482e-05
 2.6650e-01  9.5467e-05
 2.6710e-01  1.3974e-04
 2.6770e-01  1.1612e-04
 2.6830e-01  1.0272e-04
 2.6890e-01  5.8752e-05
 2.6950e-01  5.3480e-05
 2.7010e-01  6.3246e-05
 2.7070e-01  5.2167e-05
 2.7130e-01  8.7482e-05
 2.7190e-01  9.0931e-05
 2.7260e-01  1.0093e-04
 2.7320e-01  1.0120e-04
 2.7380e-01  1.0915e-04
 2.7440e-01  8.9677e-05
 2.7510e-01  7.7494e-05
 2.7570e-01  7.2172e-05
 2.7630e-01  5.5373e-05
 2.7700e-01  4.9576e-05
 2.7760e-01  4.2551e-05
 2.7830e-01  4.0642e-05
 2.7890e-01  7.5147e-05
 2.7960e-01  9.6330e-05
 2.8020e-01  1.1412e-04
 2.8090e-01  1.5380e-04
 2.8160e-01  1.5112e-04
 2.8220e-01  1.1486e-04
 2.8290e-01  9.2993e-05
 2.8360e-01  4.7355e-05
 2.8420e-01  4.3862e-05
 2.8490e-01  5.2771e-05
 2.8560e-01  6.4824e-05
 2.8630e-01  9.1239e-05
 2.8700e-01  1.1664e-04
 2.8770e-01  1.4124e-04
 2.8830e-01  1.1306e-04
 2.8900e-01  1.1593e-04
 2.8970e-01  9.4600e-05
 2.9040e-01  1.1076e-04
 2.9120e-01  7.1739e-05
 2.9190e-01  4.2442e-05
 2.9260e-01  3.9791e-05
 2.9330e-01  4.6116e-05
 2.9400e-01  7.5764e-05
 2.9470e-01  1.2039e-04
 2.9540e-01  1.4600e-04
 2.9620e-01  1.0458e-04
 2.9690e-01  1.1572e-04
 2.9760e-01  7.9938e-05
 2.9840e-01  6.8914e-05
 2.9910e-01  5.9953e-05
 2.9990e-01  3.9767e-05
 3.0060e-01  5.3649e-05
 3.0140e-01  7.1818e-05
 3.0210e-01  1.0627e-04
 3.0290e-01  1.1939e-04
 3.0360e-01  1.2118e-04
 3.0440e-01  1.2228e-04
 3.0510e-01  1.2233e-04
 3.0590e-01  1.0506e-04
 3.0670e-01  9.8636e-05
 3.0740e-01  8.6745e-05
 3.0820e-01  7.9198e-05
 3.0900e-01  9.1558e-05
 3.0980e-01  7.4661e-05
 3.1060e-01  6.4942e-05
 3.1130e-01  7.6113e-05
 3.1210e-01  9.3363e-05
 3.1290e-01  1.0798e-04
 3.1370e-01  9.3972e-05
 3.1450e-01  5.4450e-05
 3.1530e-01  5.5329e-05
 3.1610e-01  4.7450e-05
 3.1690e-01  4.1627e-05
 3.1780e-01  9.7141e-05
 3.1860e-01  1.1699e-04
 3.1940e-01  1.3150e-04
 3.2020e-01  1.3716e-04
 3.2100e-01  1.2900e-04
 3.2190e-01  1.2718e-04
 3.2270e-01  1.2225e-04
 3.2350e-01  1.1143e-04
 3.2430e-01  7.4103e-05
 3.2520e-01  5.1737e-05
 3.2600e-01  4.6959e-05
 3.2690e-01  5.7551e-05
 3.2770e-01  7.1233e-05
 3.2860e-01  1.0081e-04
 3.2940e-01  1.2813e-04
 3.3030e-01  1.4094e-04
 3.3110e-01  1.1161e-04
 3.3200e-01  1.1817e-04
 3.3280e-01  7.7965e-05
 3.3370e-01  7.3025e-05
 3.3460e-01  7.0934e-05
 3.3550e-01  7.0096e-05
 3.3630e-01  7.2276e-05
 3.3720e-01  6.5068e-05
 3.3810e-01  7.3893e-05
 3.3900e-01  9.9113e-05
 3.3990e-01  7.7076e-05
 3.4080e-01  8.9594e-05
 3.4160e-01  9.4330e-05
 3.4250e-01  6.8040e-05
 3.4340e-01  6.0272e-05
 3.4430e-01  7.2918e-05
 3.4520e-01  6.5700e-05
 3.4620e-01  9.1862e-05
 3.4710e-01  1.0410e-04
 3.4800e-01  1.3151e-04
 3.4890e-01  1.4627e-04
 3.4980e-01  1.0844e-04
 3.5070e-01  8.5407e-05
 3.5170e-01  7.0750e-05
 3.5260e-01  6.6718e-05
 3.5350e-01  5.5787e-05
 3.5440e-01  6.4604e-05
 3.5540e-01  1.1365e-04
 3.5630e-01  1.5523e-04
 3.5730e-01  1.6518e-04
 3.5820e-01  1.8161e-04
 3.5920e-01  1.4650e-04
 3.6010e-01  1.2189e-04
 3.6110e-01  1.0072e-04
 3.6200e-01  8.6166e-05
 3.6300e-01  8.1846e-05
 3.6390e-01  7.5850e-05
 3.6490e-01  7.5045e-05
 3.6590e-01  7.5339e-05
 3.6680e-01  1.1116e-04
 3.6780e-01  9.6504e-05
 3.6880e-01  9.5380e-05
 3.6980e-01  8.2561e-05
 3.7070e-01  6.9255e-05
 3.7170e-01  7.0208e-05
 3.7270e-01  7.4549e-05
 3.7370e-01  8.4718e-05
 3.7470e-01  9.7264e-05
 3.7570e-01  9.3981e-05
 3.7670e-01  8.5552e-05
 3.7770e-01  1.0893e-04
 3.7870e-01  8.3886e-05
 3.7970e-01  1.1512e-04
 3.8070e-01  1.1669e-04
 3.8170e-01  1.6156e-04
 3.8270e-01  1.2417e-04
 3.8380e-01  1.3147e-04
 3.8480e-01  1.3106e-04
 3.8580e-01  8.0853e-05
 3.8680e-01  1.4303e-04
 3.8790e-01  1.5337e-04
 3.8890e-01  1.4187e-04
 3.8990e-01  1.4514e-04
 3.9100e-01  1.7258e-04
 3.9200e-01  1.2108e-04
 3.9310e-01  9.9595e-05
 3.9410e-01  9.1590e-05
 3.9520e-01  8.1360e-05
 3.9620e-01  7.8226e-05
 3.9730e-01  8.0236e-05
 3.9830e-01  9.7443e-05
 3.9940e-01  1.0578e-04
 4.0040e-01  1.2516e-04
 4.0150e-01  1.1693e-04
 4.0260e-01  1.1410e-04
 4.0360e-01  8.8633e-05
 4.0470e-01  1.4209e-04
 4.0580e-01  1.4562e-04
 4.0690e-01  8.7239e-05
 4.0800e-01  8.6448e-05
 4.0900e-01  1.0491e-04
 4.1010e-01  9.3844e-05
 4.1120e-01  8.4797e-05
 4.1230e-01  8.3088e-05
 4.1340e-01  9.1317e-05
 4.1450e-01  1.2506e-04
