#      mass       lower
 8.9907e-03  3.6962e-04
 9.0814e-03  3.0873e-04
 9.1546e-03  3.3991e-04
 9.2284e-03  3.6504e-04
 9.3215e-03  3.2509e-04
 9.3967e-03  3.3154e-04
 9.4724e-03  3.1206e-04
 9.5488e-03  3.0599e-04
 9.6258e-03  2.7252e-04
 9.7034e-03  2.3379e-04
 9.8013e-03  2.5604e-04
 9.8803e-03  2.2763e-04
 9.9599e-03  2.3463e-04
 1.0040e-02  2.3589e-04
 1.0121e-02  1.9115e-04
 1.0182e-02  2.2321e-04
 1.0264e-02  1.5457e-04
 1.0347e-02  1.8611e-04
 1.0431e-02  1.8380e-04
 1.0515e-02  2.4796e-04
 1.0599e-02  2.6018e-04
 1.0663e-02  2.6533e-04
 1.0749e-02  2.4401e-04
 1.0836e-02  2.4884e-04
 1.0923e-02  2.4488e-04
 1.1034e-02  2.6018e-04
 1.1123e-02  2.7155e-04
 1.1235e-02  2.4928e-04
 1.1325e-02  2.4973e-04
 1.1440e-02  2.4013e-04
 1.1532e-02  2.4141e-04
 1.1625e-02  2.1386e-04
 1.1742e-02  1.9458e-04
 1.1837e-02  2.1462e-04
 1.1932e-02  2.4055e-04
 1.2028e-02  2.6111e-04
 1.2125e-02  2.4228e-04
 1.2223e-02  2.4444e-04
 1.2322e-02  2.3463e-04
 1.2421e-02  1.8152e-04
 1.2521e-02  1.9738e-04
 1.2622e-02  1.8217e-04
 1.2724e-02  1.8282e-04
 1.2827e-02  1.9320e-04
 1.2930e-02  2.3421e-04
 1.3034e-02  2.2005e-04
 1.3139e-02  2.3757e-04
 1.3245e-02  2.0345e-04
 1.3325e-02  2.2360e-04
 1.3433e-02  1.9668e-04
 1.3541e-02  1.3359e-04
 1.3623e-02  1.6340e-04
 1.3733e-02  1.4947e-04
 1.3843e-02  1.9986e-04
 1.3927e-02  2.2162e-04
 1.4039e-02  2.6111e-04
 1.4124e-02  2.4401e-04
 1.4238e-02  2.5107e-04
 1.4324e-02  2.2925e-04
 1.4439e-02  2.5151e-04
 1.4527e-02  2.3089e-04
 1.4644e-02  1.9183e-04
 1.4762e-02  2.1234e-04
 1.4881e-02  2.6391e-04
 1.5001e-02  3.0328e-04
 1.5122e-02  2.8392e-04
 1.5244e-02  2.8954e-04
 1.5366e-02  2.7398e-04
 1.5459e-02  2.7742e-04
 1.5584e-02  2.3296e-04
 1.5710e-02  1.8945e-04
 1.5836e-02  1.8644e-04
 1.5964e-02  2.2122e-04
 1.6060e-02  2.3927e-04
 1.6190e-02  2.1887e-04
 1.6320e-02  2.1501e-04
 1.6419e-02  2.3673e-04
 1.6551e-02  2.3463e-04
 1.6685e-02  2.1008e-04
 1.6786e-02  2.2722e-04
 1.6921e-02  2.6533e-04
 1.7023e-02  2.5062e-04
 1.7160e-02  2.4013e-04
 1.7264e-02  3.3751e-04
 1.7403e-02  3.1937e-04
 1.7508e-02  2.9057e-04
 1.7649e-02  2.7940e-04
 1.7756e-02  2.8646e-04
 1.7863e-02  2.5107e-04
 1.8007e-02  2.0237e-04
 1.8116e-02  2.1348e-04
 1.8226e-02  2.1848e-04
 1.8336e-02  2.3089e-04
 1.8483e-02  1.9914e-04
 1.8595e-02  2.5925e-04
 1.8745e-02  2.7252e-04
 1.8896e-02  2.6533e-04
 1.9048e-02  3.1372e-04
 1.9164e-02  2.9161e-04
 1.9318e-02  2.8902e-04
 1.9435e-02  2.1348e-04
 1.9591e-02  2.6770e-04
 1.9749e-02  2.3007e-04
 1.9869e-02  1.9808e-04
 2.0029e-02  2.0201e-04
 2.0150e-02  1.7863e-04
 2.0312e-02  1.7927e-04
 2.0435e-02  1.5081e-04
 2.0558e-02  1.5628e-04
 2.0724e-02  1.7863e-04
 2.0849e-02  1.6487e-04
 2.0975e-02  1.3894e-04
 2.1144e-02  1.7238e-04
 2.1272e-02  1.5243e-04
 2.1401e-02  1.3171e-04
 2.1573e-02  1.3722e-04
 2.1704e-02  2.0021e-04
 2.1835e-02  2.6914e-04
 2.1967e-02  2.5422e-04
 2.2099e-02  2.6770e-04
 2.2233e-02  3.1095e-04
 2.2412e-02  3.1427e-04
 2.2593e-02  2.2361e-04
 2.2729e-02  1.6428e-04
 2.2912e-02  1.6873e-04
 2.3051e-02  1.7610e-04
 2.3237e-02  1.4868e-04
 2.3377e-02  1.4194e-04
 2.3518e-02  1.5881e-04
 2.3708e-02  1.6080e-04
 2.3851e-02  1.5545e-04
 2.3995e-02  1.4527e-04
 2.4189e-02  1.6933e-04
 2.4335e-02  1.7642e-04
 2.4482e-02  2.0748e-04
 2.4679e-02  2.5972e-04
 2.4828e-02  2.4488e-04
 2.4978e-02  2.5695e-04
 2.5129e-02  2.3970e-04
 2.5281e-02  2.5558e-04
 2.5433e-02  2.2083e-04
 2.5638e-02  2.3505e-04
 2.5793e-02  2.2601e-04
 2.5949e-02  2.3589e-04
 2.6106e-02  2.1272e-04
 2.6264e-02  1.9986e-04
 2.6475e-02  1.7863e-04
 2.6635e-02  1.6224e-04
 2.6796e-02  1.4947e-04
 2.7012e-02  1.4169e-04
 2.7175e-02  1.8314e-04
 2.7340e-02  1.5684e-04
 2.7560e-02  1.8217e-04
 2.7726e-02  2.1732e-04
 2.7894e-02  2.3296e-04
 2.8062e-02  2.8646e-04
 2.8232e-02  2.3463e-04
 2.8460e-02  2.6533e-04
 2.8631e-02  2.1771e-04
 2.8804e-02  1.8777e-04
 2.8978e-02  2.1462e-04
 2.9153e-02  1.6903e-04
 2.9330e-02  1.8744e-04
 2.9507e-02  2.1616e-04
 2.9685e-02  2.3379e-04
 2.9864e-02  2.1121e-04
 3.0105e-02  1.6138e-04
 3.0287e-02  1.6516e-04
 3.0470e-02  1.4815e-04
 3.0654e-02  1.4450e-04
 3.0901e-02  1.5601e-04
 3.1088e-02  1.8811e-04
 3.1276e-02  2.0309e-04
 3.1464e-02  1.7579e-04
 3.1655e-02  1.8611e-04
 3.1910e-02  2.1539e-04
 3.2102e-02  2.6675e-04
 3.2296e-02  2.6818e-04
 3.2491e-02  2.6818e-04
 3.2688e-02  2.7058e-04
 3.2885e-02  2.3800e-04
 3.3084e-02  1.9115e-04
 3.3284e-02  1.6964e-04
 3.3485e-02  1.7361e-04
 3.3687e-02  1.3408e-04
 3.3891e-02  1.5054e-04
 3.4095e-02  1.7991e-04
 3.4370e-02  2.1197e-04
 3.4578e-02  1.9950e-04
 3.4787e-02  1.7116e-04
 3.4997e-02  1.7800e-04
 3.5208e-02  1.7146e-04
 3.5421e-02  1.6664e-04
 3.5635e-02  1.4657e-04
 3.5850e-02  1.4194e-04
 3.6139e-02  1.2396e-04
 3.6357e-02  1.7579e-04
 3.6577e-02  2.2084e-04
 3.6798e-02  2.2641e-04
 3.7020e-02  2.2281e-04
 3.7169e-02  2.9319e-04
 3.7394e-02  3.2568e-04
 3.7620e-02  3.3451e-04
 3.7923e-02  2.9372e-04
 3.8152e-02  2.6158e-04
 3.8382e-02  2.7545e-04
 3.8614e-02  2.4929e-04
 3.8847e-02  2.9844e-04
 3.9082e-02  2.9006e-04
 3.9318e-02  2.7991e-04
 3.9556e-02  2.9372e-04
 3.9795e-02  2.8342e-04
 4.0035e-02  2.7447e-04
 4.0277e-02  2.8191e-04
 4.0520e-02  3.0005e-04
 4.0765e-02  2.9529e-04
 4.1011e-02  3.1262e-04
 4.1259e-02  3.6569e-04
 4.1508e-02  2.9477e-04
 4.1759e-02  1.9081e-04
 4.2011e-02  1.6167e-04
 4.2265e-02  1.6283e-04
 4.2520e-02  1.7146e-04
 4.2777e-02  1.8878e-04
 4.3035e-02  3.1206e-04
 4.3295e-02  3.5668e-04
 4.3557e-02  3.4977e-04
 4.3820e-02  3.4297e-04
 4.4085e-02  3.3991e-04
 4.4351e-02  2.9007e-04
 4.4619e-02  2.5880e-04
 4.4889e-02  2.0897e-04
 4.5160e-02  2.5063e-04
 4.5432e-02  2.3380e-04
 4.5707e-02  2.3928e-04
 4.5983e-02  2.6819e-04
 4.6261e-02  2.3716e-04
 4.6540e-02  2.9792e-04
 4.6821e-02  2.8292e-04
 4.7104e-02  2.6487e-04
 4.7389e-02  2.6963e-04
 4.7675e-02  2.6252e-04
 4.7963e-02  3.2052e-04
 4.8253e-02  3.1994e-04
 4.8544e-02  3.2338e-04
 4.8837e-02  3.2280e-04
 4.9034e-02  3.4481e-04
 4.9330e-02  3.5289e-04
 4.9628e-02  3.1040e-04
 4.9928e-02  2.8749e-04
 5.0229e-02  3.6438e-04
 5.0533e-02  3.4543e-04
 5.0838e-02  3.4604e-04
 5.1145e-02  2.5926e-04
 5.1454e-02  2.0058e-04
 5.1765e-02  2.3173e-04
 5.2078e-02  1.9218e-04
 5.2392e-02  1.9252e-04
 5.2709e-02  1.7055e-04
 5.3027e-02  2.3590e-04
 5.3347e-02  2.9215e-04
 5.3670e-02  2.3464e-04
 5.3994e-02  1.8711e-04
 5.4211e-02  2.2124e-04
 5.4539e-02  1.8414e-04
 5.4868e-02  2.4621e-04
 5.5199e-02  2.1772e-04
 5.5533e-02  2.5696e-04
 5.5868e-02  2.7892e-04
 5.6206e-02  2.7253e-04
 5.6545e-02  2.9845e-04
 5.6887e-02  2.1425e-04
 5.7231e-02  1.8678e-04
 5.7576e-02  1.9987e-04
 5.7808e-02  2.6963e-04
 5.8157e-02  2.6159e-04
 5.8508e-02  3.1939e-04
 5.8862e-02  3.1598e-04
 5.9217e-02  3.6439e-04
 5.9575e-02  3.5226e-04
 5.9935e-02  2.6020e-04
 6.0297e-02  2.5605e-04
 6.0540e-02  2.4974e-04
 6.0905e-02  3.2281e-04
 6.1273e-02  2.8546e-04
 6.1643e-02  2.4930e-04
 6.2016e-02  2.7892e-04
 6.2390e-02  2.9008e-04
 6.2767e-02  2.6725e-04
 6.3146e-02  3.2803e-04
 6.3528e-02  3.0820e-04
 6.3783e-02  2.5469e-04
 6.4169e-02  2.5153e-04
 6.4556e-02  2.6677e-04
 6.4946e-02  1.8056e-04
 6.5339e-02  1.3577e-04
 6.5733e-02  1.4044e-04
 6.6130e-02  1.7674e-04
 6.6530e-02  2.2724e-04
 6.6797e-02  2.0676e-04
 6.7201e-02  3.0820e-04
 6.7607e-02  3.5480e-04
 6.8015e-02  3.8718e-04
 6.8426e-02  3.9625e-04
 6.8839e-02  4.1357e-04
 6.9255e-02  4.5131e-04
 6.9534e-02  3.8925e-04
 6.9954e-02  3.4854e-04
 7.0376e-02  3.6119e-04
 7.0802e-02  3.6119e-04
