#      mass       lower       upper
 1.0300e-03  4.2320e-07  3.0364e-04
 1.0416e-03  4.1424e-07  3.6369e-04
 1.0513e-03  4.0664e-07  3.8555e-04
 1.0692e-03  3.9222e-07  3.5076e-04
 1.1016e-03  3.6460e-07  3.4768e-04
 1.1125e-03  3.5481e-07  3.1590e-04
 1.1180e-03  3.4984e-07  2.9043e-04
 1.1266e-03  3.4180e-07  2.8994e-04
 1.1807e-03  3.0585e-07  2.7476e-04
 1.1826e-03  3.0453e-07  2.7350e-04
 1.2905e-03  2.9549e-07  2.5101e-04
 1.3333e-03  2.9223e-07  2.3640e-04
 1.3578e-03  2.9036e-07  2.3020e-04
 1.4317e-03  2.8870e-07  2.0978e-04
 1.5079e-03  2.8699e-07  2.0279e-04
 1.5590e-03  2.8593e-07  1.9734e-04
 1.5728e-03  2.8589e-07  1.9567e-04
 1.7371e-03  2.8537e-07  1.7528e-04
 1.7898e-03  2.8524e-07  1.6775e-04
 1.8447e-03  2.8552e-07  1.6307e-04
 1.9001e-03  2.8578e-07  1.5810e-04
 2.0550e-03  2.8651e-07  1.4383e-04
 2.2756e-03  2.8841e-07  1.3038e-04
 2.3368e-03  2.8890e-07  1.2632e-04
 2.3482e-03  2.8899e-07  1.2531e-04
 2.3595e-03  2.8908e-07  1.2483e-04
 2.4043e-03  2.8953e-07  1.2246e-04
 2.5962e-03  2.9148e-07  1.1257e-04
 2.7092e-03  2.9257e-07  1.0628e-04
 2.7578e-03  2.9309e-07  1.0339e-04
 2.8688e-03  2.9427e-07  1.0037e-04
 2.9582e-03  2.9522e-07  9.7029e-05
 3.1105e-03  2.9676e-07  9.1035e-05
 3.2421e-03  2.9816e-07  8.5315e-05
 3.3674e-03  2.9949e-07  8.3026e-05
 3.5499e-03  3.0133e-07  7.9570e-05
 3.5713e-03  3.0155e-07  7.8982e-05
 3.6126e-03  3.0197e-07  7.8040e-05
 3.8301e-03  3.0421e-07  7.3329e-05
 4.1004e-03  3.0687e-07  6.7017e-05
 4.3584e-03  3.0942e-07  6.2995e-05
 4.4417e-03  3.1024e-07  6.1683e-05
 4.7079e-03  3.1270e-07  5.7303e-05
 4.9458e-03  3.1490e-07  5.4790e-05
 5.3852e-03  3.1884e-07  4.9829e-05
 5.4054e-03  3.1903e-07  4.9596e-05
 5.6153e-03  3.2087e-07  4.6807e-05
 5.7928e-03  3.2238e-07  4.4318e-05
