#      mass       lower       upper
 1.0300e-03  5.1451e-06  7.9968e-03
 1.0448e-03  5.0667e-06  6.7711e-03
 1.0567e-03  5.0029e-06  6.4881e-03
 1.0733e-03  4.9125e-06  5.3785e-03
 1.1073e-03  4.7219e-06  4.7673e-03
 1.1169e-03  4.6663e-06  4.2723e-03
 1.1821e-03  4.2725e-06  3.4020e-03
 1.1826e-03  4.2696e-06  3.3937e-03
 1.1830e-03  4.2696e-06  3.3918e-03
 1.1834e-03  4.2697e-06  3.3900e-03
 1.1926e-03  4.2725e-06  3.3508e-03
 1.3305e-03  4.3104e-06  2.6957e-03
 1.3496e-03  4.3155e-06  2.6237e-03
 1.3578e-03  4.3190e-06  2.5925e-03
 1.3683e-03  4.3279e-06  2.5550e-03
 1.4284e-03  4.3729e-06  2.3300e-03
 1.5590e-03  4.4693e-06  2.1416e-03
 1.5591e-03  4.4693e-06  2.1413e-03
 1.6647e-03  4.5618e-06  1.8973e-03
 1.7117e-03  4.6025e-06  1.8539e-03
 1.7898e-03  4.6718e-06  1.7794e-03
 1.8652e-03  4.7382e-06  1.7009e-03
 1.9150e-03  4.7815e-06  1.6496e-03
 2.0550e-03  4.8954e-06  1.4960e-03
 2.1589e-03  4.9545e-06  1.4217e-03
 2.2527e-03  5.0089e-06  1.3511e-03
 2.3595e-03  5.0701e-06  1.2702e-03
 2.4332e-03  5.1099e-06  1.2326e-03
 2.6412e-03  5.2243e-06  1.1195e-03
 2.7092e-03  5.2611e-06  1.0843e-03
 2.7360e-03  5.2748e-06  1.0732e-03
 2.7403e-03  5.2770e-06  1.0715e-03
 2.9334e-03  5.3785e-06  9.9270e-04
 3.0838e-03  5.4564e-06  9.2674e-04
 3.1105e-03  5.4705e-06  9.1454e-04
 3.3307e-03  5.5814e-06  8.5244e-04
 3.4676e-03  5.6491e-06  8.1266e-04
 3.5713e-03  5.7018e-06  7.8122e-04
 3.7300e-03  5.7797e-06  7.2799e-04
 3.8948e-03  5.8598e-06  7.0444e-04
 4.0797e-03  5.9519e-06  6.7711e-04
 4.1004e-03  5.9622e-06  6.7262e-04
 4.3629e-03  6.1061e-06  6.0324e-04
 4.3763e-03  6.1133e-06  5.9947e-04
 4.7079e-03  6.2983e-06  5.6089e-04
 4.8763e-03  6.3861e-06  5.3887e-04
 4.8839e-03  6.3904e-06  5.3785e-04
 5.4054e-03  6.6696e-06  4.6697e-04
 5.4442e-03  6.6911e-06  4.6140e-04
 5.5478e-03  6.7519e-06  4.4616e-04
 5.5811e-03  6.7711e-06  4.4393e-04
 5.8232e-03  6.9150e-06  4.2724e-04
 6.0573e-03  7.0508e-06  4.0465e-04
 6.2063e-03  7.1446e-06  3.8960e-04
 6.7008e-03  7.5022e-06  3.5713e-04
 6.9533e-03  7.6975e-06  3.3937e-04
 7.1258e-03  7.8285e-06  3.2718e-04
 7.3893e-03  8.0238e-06  3.1374e-04
 7.8591e-03  8.4028e-06  2.8825e-04
 8.0144e-03  8.5244e-06  2.8082e-04
 8.1281e-03  8.6182e-06  2.7525e-04
 8.1814e-03  8.6666e-06  2.7260e-04
 8.2082e-03  8.6910e-06  2.7104e-04
 8.2582e-03  8.7364e-06  2.6957e-04
 8.9099e-03  9.3098e-06  2.4398e-04
 9.3937e-03  9.7779e-06  2.2310e-04
 9.7001e-03  1.0116e-05  2.1413e-04
 1.0286e-02  1.0732e-05  1.9702e-04
 1.0584e-02  1.1073e-05  1.8773e-04
 1.0785e-02  1.1326e-05  1.8119e-04
 1.1291e-02  1.1996e-05  1.7009e-04
 1.1460e-02  1.2211e-05  1.6649e-04
 1.2383e-02  1.3374e-05  1.4523e-04
 1.2423e-02  1.3439e-05  1.4459e-04
 1.2468e-02  1.3511e-05  1.4385e-04
 1.2992e-02  1.4496e-05  1.3511e-04
 1.3314e-02  1.5072e-05  1.2987e-04
 1.4218e-02  1.6495e-05  1.1395e-04
 1.4371e-02  1.6708e-05  1.1112e-04
 1.4430e-02  1.6800e-05  1.1000e-04
 1.4567e-02  1.7008e-05  1.0877e-04
 1.4727e-02  1.7297e-05  1.0732e-04
 1.5476e-02  1.8590e-05  9.7385e-05
 1.6256e-02  2.0795e-05  8.5831e-05
 1.6300e-02  2.0912e-05  8.5244e-05
 1.6324e-02  2.0974e-05  8.4876e-05
 1.6411e-02  2.1225e-05  8.3951e-05
 1.6457e-02  2.1413e-05  8.3450e-05
 1.7340e-02  2.4376e-05  7.3309e-05
 1.7778e-02  2.6299e-05  6.7711e-05
 1.7936e-02  2.6957e-05  6.3990e-05
 1.7971e-02  2.7171e-05  6.3129e-05
 1.8175e-02  2.8376e-05  6.1026e-05
 1.8743e-02  3.2300e-05  5.4744e-05
 1.8818e-02  3.2973e-05  5.3785e-05
 1.8844e-02  3.3197e-05  5.3305e-05
 1.8881e-02  3.3524e-05  5.2598e-05
 1.8911e-02  3.3937e-05  5.2020e-05
 1.9132e-02  1.0000e+05  1.0000e+05
 1.9137e-02  1.0000e+05  1.0000e+05
