#      mass       lower
 8.9907e-03  1.8333e-04
 9.0814e-03  1.5641e-04
 9.1546e-03  1.6973e-04
 9.2284e-03  1.8085e-04
 9.3215e-03  1.6286e-04
 9.3967e-03  1.6553e-04
 9.4724e-03  1.5685e-04
 9.5488e-03  1.5405e-04
 9.6258e-03  1.3969e-04
 9.7034e-03  1.2371e-04
 9.8013e-03  1.3241e-04
 9.8803e-03  1.2071e-04
 9.9599e-03  1.2327e-04
 1.0040e-02  1.2354e-04
 1.0121e-02  1.0562e-04
 1.0182e-02  1.1806e-04
 1.0264e-02  9.1038e-05
 1.0347e-02  1.0298e-04
 1.0431e-02  1.0184e-04
 1.0515e-02  1.2725e-04
 1.0599e-02  1.3218e-04
 1.0663e-02  1.3423e-04
 1.0749e-02  1.2508e-04
 1.0836e-02  1.2691e-04
 1.0923e-02  1.2507e-04
 1.1034e-02  1.3133e-04
 1.1123e-02  1.3609e-04
 1.1235e-02  1.2632e-04
 1.1325e-02  1.2634e-04
 1.1440e-02  1.2207e-04
 1.1532e-02  1.2245e-04
 1.1625e-02  1.1081e-04
 1.1742e-02  1.0278e-04
 1.1837e-02  1.1071e-04
 1.1932e-02  1.2143e-04
 1.2028e-02  1.3025e-04
 1.2125e-02  1.2188e-04
 1.2223e-02  1.2268e-04
 1.2322e-02  1.1831e-04
 1.2421e-02  9.6196e-05
 1.2521e-02  1.0240e-04
 1.2622e-02  9.6077e-05
 1.2724e-02  9.6153e-05
 1.2827e-02  1.0018e-04
 1.2930e-02  1.1734e-04
 1.3034e-02  1.1109e-04
 1.3139e-02  1.1859e-04
 1.3245e-02  1.0377e-04
 1.3325e-02  1.1227e-04
 1.3433e-02  1.0068e-04
 1.3541e-02  7.5350e-05
 1.3623e-02  8.6872e-05
 1.3733e-02  8.1198e-05
 1.3843e-02  1.0148e-04
 1.3927e-02  1.1077e-04
 1.4039e-02  1.2862e-04
 1.4124e-02  1.2067e-04
 1.4238e-02  1.2385e-04
 1.4324e-02  1.1383e-04
 1.4439e-02  1.2396e-04
 1.4527e-02  1.1443e-04
 1.4644e-02  9.7157e-05
 1.4762e-02  1.0594e-04
 1.4881e-02  1.2963e-04
 1.5001e-02  1.4856e-04
 1.5122e-02  1.3917e-04
 1.5244e-02  1.4187e-04
 1.5366e-02  1.3434e-04
 1.5459e-02  1.3598e-04
 1.5584e-02  1.1482e-04
 1.5710e-02  9.5134e-05
 1.5836e-02  9.3723e-05
 1.5964e-02  1.0922e-04
