#      mass       lower
 2.0042e-02  1.0000e+05
 2.0241e-02  1.9914e-03
 2.0770e-02  2.1373e-03
 2.1298e-02  2.1733e-03
 2.1825e-02  2.0196e-03
 2.2352e-02  1.9878e-03
 2.2878e-02  1.9592e-03
 2.3404e-02  1.8840e-03
 2.3929e-02  1.8066e-03
 2.4454e-02  1.6902e-03
 2.4979e-02  1.5822e-03
 2.5502e-02  1.5119e-03
 2.6026e-02  1.5200e-03
 2.6549e-02  1.5061e-03
 2.7071e-02  1.5606e-03
 2.7593e-02  1.7012e-03
 2.8114e-02  1.8313e-03
 2.8635e-02  1.9350e-03
 2.9156e-02  1.9869e-03
 2.9676e-02  2.0087e-03
 3.0195e-02  2.0318e-03
 3.0715e-02  2.0914e-03
 3.1236e-02  2.1370e-03
 3.1760e-02  1.9398e-03
 3.2285e-02  1.7812e-03
 3.2813e-02  1.5394e-03
 3.3342e-02  1.3202e-03
 3.3874e-02  1.1854e-03
 3.4408e-02  1.0766e-03
 3.4944e-02  1.0600e-03
 3.5482e-02  1.1405e-03
 3.6022e-02  1.1759e-03
 3.6564e-02  1.2114e-03
 3.7108e-02  1.1586e-03
 3.7655e-02  1.1894e-03
 3.8203e-02  1.3019e-03
 3.8753e-02  1.3705e-03
 3.9306e-02  1.4426e-03
 3.9861e-02  1.4555e-03
 4.0418e-02  1.5477e-03
 4.0976e-02  1.6283e-03
 4.1536e-02  1.7021e-03
 4.2096e-02  1.7251e-03
 4.2658e-02  1.6592e-03
 4.3220e-02  1.6595e-03
 4.3783e-02  1.6186e-03
 4.4347e-02  1.5666e-03
 4.4912e-02  1.5958e-03
 4.5478e-02  1.6613e-03
 4.6045e-02  1.5887e-03
 4.6613e-02  1.5597e-03
 4.7182e-02  1.3937e-03
 4.7752e-02  1.2430e-03
 4.8322e-02  9.9571e-04
 4.8894e-02  8.6293e-04
 4.9467e-02  7.9111e-04
 5.0040e-02  7.6791e-04
 5.0615e-02  7.9981e-04
 5.1187e-02  8.2928e-04
 5.1757e-02  8.6084e-04
 5.2325e-02  9.2473e-04
 5.2890e-02  1.0326e-03
 5.3453e-02  9.8254e-04
 5.4012e-02  9.9289e-04
 5.4569e-02  1.0577e-03
 5.5124e-02  1.0892e-03
 5.5676e-02  1.1867e-03
 5.6225e-02  1.3376e-03
 5.6772e-02  1.4488e-03
 5.7317e-02  1.4923e-03
 5.7859e-02  1.5171e-03
 5.8399e-02  1.5075e-03
 5.8935e-02  1.4917e-03
 5.9470e-02  1.4977e-03
 6.0002e-02  1.5531e-03
 6.0532e-02  1.5706e-03
 6.1060e-02  1.5337e-03
 6.1586e-02  1.4620e-03
 6.2112e-02  1.3248e-03
 6.2637e-02  1.1398e-03
 6.3160e-02  1.0748e-03
 6.3682e-02  1.0164e-03
 6.4204e-02  1.0013e-03
 6.4724e-02  9.9974e-04
 6.5243e-02  1.0323e-03
 6.5761e-02  1.0048e-03
 6.6277e-02  1.0499e-03
 6.6793e-02  1.0255e-03
 6.7308e-02  1.0110e-03
 6.7820e-02  1.0429e-03
 6.8333e-02  1.1330e-03
 6.8844e-02  1.1757e-03
 6.9354e-02  1.2095e-03
 6.9863e-02  1.2165e-03
 7.0372e-02  1.2422e-03
 7.0879e-02  1.0894e-03
 7.1389e-02  1.0284e-03
 7.1904e-02  9.9551e-04
 7.2421e-02  9.6414e-04
 7.2942e-02  9.7493e-04
 7.3467e-02  9.5488e-04
 7.3994e-02  9.1505e-04
 7.4525e-02  9.2731e-04
 7.5060e-02  9.7074e-04
 7.5598e-02  1.1118e-03
 7.6140e-02  1.3055e-03
 7.6685e-02  1.5689e-03
 7.7234e-02  1.7468e-03
 7.7786e-02  1.7778e-03
 7.8342e-02  1.7077e-03
 7.8902e-02  1.5729e-03
 7.9465e-02  1.5108e-03
 8.0032e-02  1.4952e-03
 8.0603e-02  1.3601e-03
 8.1175e-02  1.1709e-03
 8.1743e-02  9.6572e-04
 8.2309e-02  7.8857e-04
 8.2872e-02  7.0775e-04
 8.3432e-02  6.8191e-04
 8.3989e-02  7.0358e-04
 8.4544e-02  7.1973e-04
 8.5096e-02  7.9166e-04
 8.5644e-02  9.0645e-04
 8.6190e-02  1.0098e-03
 8.6734e-02  1.0037e-03
 8.7274e-02  9.8967e-04
 8.7812e-02  9.5444e-04
 8.8349e-02  9.6017e-04
 8.8881e-02  9.8052e-04
 8.9410e-02  1.0468e-03
 8.9938e-02  1.0607e-03
 9.0463e-02  1.1286e-03
 9.0985e-02  1.2541e-03
 9.1509e-02  1.3470e-03
 9.2034e-02  1.4381e-03
 9.2561e-02  1.4598e-03
 9.3089e-02  1.4020e-03
 9.3617e-02  1.2868e-03
 9.4148e-02  1.1506e-03
 9.4679e-02  1.0184e-03
 9.5213e-02  9.6278e-04
 9.5747e-02  1.0010e-03
 9.6282e-02  1.0913e-03
 9.6819e-02  1.1848e-03
 9.7358e-02  1.2769e-03
 9.7896e-02  1.3215e-03
 9.8438e-02  1.2989e-03
 9.8979e-02  1.3105e-03
 9.9523e-02  1.2660e-03
 1.0007e-01  1.1285e-03
 1.0061e-01  1.0333e-03
 1.0116e-01  8.8610e-04
 1.0171e-01  7.4272e-04
 1.0226e-01  6.6814e-04
 1.0281e-01  6.4453e-04
 1.0336e-01  6.4713e-04
 1.0391e-01  6.7681e-04
 1.0446e-01  6.9680e-04
 1.0501e-01  7.2531e-04
 1.0556e-01  7.5867e-04
 1.0612e-01  8.0699e-04
 1.0667e-01  8.8144e-04
 1.0722e-01  9.4330e-04
 1.0778e-01  9.6891e-04
 1.0833e-01  9.7559e-04
 1.0889e-01  9.7093e-04
 1.0945e-01  9.3983e-04
 1.1000e-01  8.8401e-04
 1.1056e-01  8.4252e-04
 1.1112e-01  8.0270e-04
 1.1168e-01  8.0709e-04
 1.1224e-01  8.2126e-04
 1.1280e-01  8.6094e-04
 1.1336e-01  8.8587e-04
 1.1392e-01  8.8612e-04
 1.1449e-01  8.6831e-04
 1.1505e-01  8.5175e-04
 1.1561e-01  8.6805e-04
 1.1618e-01  8.8531e-04
 1.1674e-01  8.5187e-04
 1.1731e-01  8.0498e-04
 1.1788e-01  7.5267e-04
 1.1844e-01  7.1664e-04
 1.1901e-01  7.0880e-04
 1.1958e-01  7.1951e-04
 1.2015e-01  7.5516e-04
 1.2072e-01  8.1060e-04
 1.2129e-01  8.7425e-04
 1.2186e-01  9.8528e-04
 1.2243e-01  1.0734e-03
 1.2301e-01  1.1528e-03
 1.2358e-01  1.2191e-03
 1.2415e-01  1.2430e-03
 1.2473e-01  1.2180e-03
 1.2530e-01  1.1828e-03
 1.2588e-01  1.1380e-03
 1.2645e-01  1.0668e-03
 1.2703e-01  1.0338e-03
 1.2761e-01  9.9479e-04
 1.2819e-01  9.7695e-04
 1.2877e-01  9.4393e-04
 1.2935e-01  9.2777e-04
 1.2993e-01  9.4448e-04
 1.3051e-01  9.9481e-04
 1.3109e-01  1.0894e-03
 1.3167e-01  1.1604e-03
 1.3225e-01  1.2012e-03
 1.3284e-01  1.1863e-03
 1.3342e-01  1.1364e-03
 1.3401e-01  1.0991e-03
 1.3459e-01  1.1202e-03
 1.3518e-01  1.1219e-03
 1.3577e-01  1.1015e-03
 1.3635e-01  1.0559e-03
 1.3694e-01  9.9731e-04
 1.3753e-01  9.6197e-04
 1.3812e-01  9.7345e-04
 1.3871e-01  9.9659e-04
 1.3930e-01  9.9576e-04
 1.3990e-01  9.5408e-04
 1.4049e-01  8.6840e-04
 1.4108e-01  7.9134e-04
 1.4167e-01  7.2548e-04
 1.4227e-01  6.5506e-04
 1.4286e-01  6.0235e-04
 1.4346e-01  5.7956e-04
 1.4406e-01  5.7375e-04
 1.4465e-01  5.9170e-04
 1.4525e-01  6.2751e-04
 1.4585e-01  6.6343e-04
 1.4645e-01  7.1055e-04
 1.4705e-01  7.7816e-04
 1.4765e-01  8.5755e-04
 1.4825e-01  9.1874e-04
 1.4885e-01  9.3479e-04
 1.4946e-01  8.5978e-04
 1.5006e-01  7.4485e-04
 1.5067e-01  6.5113e-04
 1.5127e-01  6.4288e-04
 1.5188e-01  6.9617e-04
 1.5248e-01  7.8418e-04
 1.5309e-01  8.6496e-04
 1.5370e-01  8.6548e-04
 1.5431e-01  8.6273e-04
 1.5492e-01  8.7172e-04
 1.5553e-01  9.2713e-04
 1.5614e-01  1.0103e-03
 1.5675e-01  1.1031e-03
 1.5736e-01  1.1772e-03
 1.5797e-01  1.1967e-03
 1.5859e-01  1.1576e-03
 1.5920e-01  1.1000e-03
 1.5981e-01  1.0373e-03
 1.6043e-01  1.0015e-03
 1.6105e-01  9.2903e-04
 1.6166e-01  8.3775e-04
 1.6228e-01  7.7981e-04
 1.6290e-01  7.4617e-04
 1.6352e-01  7.0858e-04
 1.6414e-01  6.7068e-04
 1.6476e-01  6.5167e-04
 1.6538e-01  6.2947e-04
 1.6600e-01  6.3851e-04
 1.6662e-01  6.5367e-04
 1.6725e-01  6.6777e-04
 1.6787e-01  7.0762e-04
 1.6850e-01  7.4291e-04
 1.6912e-01  8.0694e-04
 1.6975e-01  8.9080e-04
 1.7038e-01  9.8147e-04
 1.7100e-01  1.0782e-03
 1.7163e-01  1.1612e-03
 1.7226e-01  1.2352e-03
 1.7289e-01  1.2542e-03
 1.7352e-01  1.2511e-03
 1.7415e-01  1.2107e-03
 1.7479e-01  1.1764e-03
 1.7542e-01  1.1554e-03
 1.7605e-01  1.1545e-03
 1.7669e-01  1.1530e-03
 1.7732e-01  1.1501e-03
 1.7795e-01  1.0695e-03
 1.7859e-01  9.8990e-04
 1.7923e-01  9.1270e-04
 1.7987e-01  8.2616e-04
 1.8050e-01  7.7574e-04
 1.8114e-01  7.4350e-04
 1.8178e-01  7.2912e-04
 1.8243e-01  7.2172e-04
 1.8307e-01  6.9060e-04
 1.8371e-01  6.6079e-04
 1.8435e-01  6.4949e-04
 1.8500e-01  6.3661e-04
 1.8564e-01  6.2368e-04
 1.8628e-01  6.0734e-04
 1.8693e-01  5.9349e-04
 1.8758e-01  5.8385e-04
 1.8823e-01  5.9341e-04
 1.8887e-01  6.3791e-04
 1.8952e-01  7.0175e-04
 1.9017e-01  8.0407e-04
 1.9082e-01  8.4795e-04
 1.9147e-01  8.0885e-04
 1.9213e-01  7.2529e-04
 1.9278e-01  6.7883e-04
 1.9343e-01  6.8611e-04
 1.9409e-01  7.2663e-04
 1.9474e-01  7.6806e-04
 1.9540e-01  7.9768e-04
 1.9605e-01  8.1181e-04
 1.9671e-01  8.1101e-04
 1.9737e-01  8.1726e-04
 1.9803e-01  8.4759e-04
 1.9869e-01  8.9746e-04
 1.9935e-01  9.1634e-04
 2.0001e-01  9.5067e-04
 2.0067e-01  1.0124e-03
 2.0133e-01  1.0873e-03
 2.0199e-01  1.1276e-03
 2.0266e-01  1.1151e-03
 2.0332e-01  1.0671e-03
 2.0399e-01  1.0127e-03
 2.0465e-01  9.6561e-04
 2.0531e-01  9.5248e-04
 2.0598e-01  9.5166e-04
 2.0664e-01  9.3417e-04
 2.0731e-01  8.9087e-04
 2.0797e-01  8.4169e-04
 2.0864e-01  8.3737e-04
 2.0930e-01  8.5700e-04
 2.0997e-01  9.3956e-04
 2.1063e-01  1.0149e-03
 2.1130e-01  1.0560e-03
 2.1197e-01  1.0143e-03
 2.1263e-01  9.6184e-04
 2.1271e-01  5.9677e-04
 2.1274e-01  5.5105e-04
 2.1277e-01  5.1151e-04
 2.1280e-01  4.9661e-04
 2.1284e-01  4.8182e-04
 2.1287e-01  4.7934e-04
 2.1291e-01  4.8200e-04
 2.1295e-01  4.9859e-04
 2.1300e-01  5.2372e-04
 2.1305e-01  5.4730e-04
 2.1311e-01  5.6507e-04
 2.1316e-01  5.6825e-04
 2.1321e-01  5.5423e-04
 2.1327e-01  5.3610e-04
 2.1333e-01  5.1330e-04
 2.1339e-01  5.0326e-04
 2.1345e-01  5.1398e-04
 2.1351e-01  5.6150e-04
 2.1358e-01  6.2972e-04
 2.1365e-01  7.0058e-04
 2.1371e-01  7.4907e-04
 2.1378e-01  7.8185e-04
 2.1385e-01  8.0361e-04
 2.1391e-01  8.0962e-04
 2.1399e-01  7.8928e-04
 2.1406e-01  7.4501e-04
 2.1414e-01  6.8887e-04
 2.1421e-01  6.4496e-04
 2.1429e-01  6.3022e-04
 2.1437e-01  6.3675e-04
 2.1445e-01  6.5035e-04
 2.1453e-01  6.6240e-04
 2.1461e-01  6.7365e-04
 2.1469e-01  6.7236e-04
 2.1478e-01  6.7243e-04
 2.1486e-01  6.6428e-04
 2.1495e-01  6.4182e-04
 2.1503e-01  6.1303e-04
 2.1512e-01  5.8573e-04
 2.1521e-01  5.5794e-04
 2.1530e-01  5.3079e-04
 2.1539e-01  5.0665e-04
 2.1548e-01  4.9392e-04
 2.1557e-01  4.8757e-04
 2.1566e-01  4.8462e-04
 2.1576e-01  4.6581e-04
 2.1585e-01  4.3727e-04
 2.1595e-01  4.0789e-04
 2.1605e-01  3.9404e-04
 2.1614e-01  3.9772e-04
 2.1624e-01  4.2651e-04
 2.1634e-01  4.6870e-04
 2.1644e-01  4.8248e-04
 2.1654e-01  4.8777e-04
 2.1664e-01  4.8345e-04
 2.1675e-01  4.7551e-04
 2.1685e-01  4.6751e-04
 2.1695e-01  4.7079e-04
 2.1706e-01  4.6025e-04
 2.1717e-01  4.7497e-04
 2.1727e-01  5.0934e-04
 2.1738e-01  5.6670e-04
 2.1748e-01  5.9644e-04
 2.1759e-01  5.9458e-04
 2.1770e-01  5.6435e-04
 2.1781e-01  5.1501e-04
 2.1793e-01  4.7699e-04
 2.1804e-01  4.7350e-04
 2.1815e-01  4.9656e-04
 2.1826e-01  5.3958e-04
 2.1838e-01  5.9183e-04
 2.1850e-01  5.9146e-04
 2.1862e-01  6.3145e-04
 2.1873e-01  7.0119e-04
 2.1885e-01  7.2286e-04
 2.1897e-01  7.0223e-04
 2.1910e-01  6.5670e-04
 2.1922e-01  5.9285e-04
 2.1934e-01  4.9778e-04
 2.1947e-01  4.7708e-04
 2.1959e-01  4.5517e-04
 2.1972e-01  4.5912e-04
 2.1985e-01  4.9228e-04
 2.1998e-01  5.5790e-04
 2.2011e-01  6.1874e-04
 2.2024e-01  6.6119e-04
 2.2037e-01  6.6445e-04
 2.2050e-01  7.0134e-04
 2.2064e-01  6.5552e-04
 2.2078e-01  6.5935e-04
 2.2091e-01  6.1646e-04
 2.2105e-01  5.6235e-04
 2.2119e-01  5.0544e-04
 2.2133e-01  4.3993e-04
 2.2147e-01  4.2265e-04
 2.2162e-01  3.9612e-04
 2.2176e-01  4.1090e-04
 2.2190e-01  4.2125e-04
 2.2205e-01  4.6360e-04
 2.2219e-01  5.0297e-04
 2.2234e-01  5.7026e-04
 2.2249e-01  5.6676e-04
 2.2264e-01  5.8746e-04
 2.2279e-01  5.3793e-04
 2.2294e-01  5.3188e-04
 2.2309e-01  4.8169e-04
 2.2324e-01  4.7940e-04
 2.2340e-01  4.5450e-04
 2.2355e-01  4.7307e-04
 2.2371e-01  5.0035e-04
 2.2386e-01  5.7478e-04
 2.2402e-01  6.0379e-04
 2.2418e-01  6.5223e-04
 2.2434e-01  5.9909e-04
 2.2449e-01  5.9860e-04
 2.2465e-01  5.4130e-04
