#      mass       lower       upper
 1.0300e-03  3.8314e-08  1.2452e-03
 1.0381e-03  3.7633e-08  1.1395e-03
 1.0449e-03  3.7052e-08  1.1125e-03
 1.0459e-03  3.6965e-08  1.1024e-03
 1.0573e-03  3.6033e-08  9.8116e-04
 1.0638e-03  3.5597e-08  9.0510e-04
 1.0924e-03  3.3613e-08  8.2058e-04
 1.1048e-03  3.2710e-08  7.1894e-04
 1.1276e-03  3.0985e-08  6.7301e-04
 1.1664e-03  2.8622e-08  5.8687e-04
 1.1680e-03  2.8532e-08  5.8298e-04
 1.1700e-03  2.8421e-08  5.7107e-04
 1.1826e-03  2.7713e-08  5.4803e-04
 1.2113e-03  2.7498e-08  5.2840e-04
 1.3114e-03  2.6826e-08  4.5362e-04
 1.3578e-03  2.6508e-08  4.2610e-04
 1.4255e-03  2.6392e-08  4.0357e-04
 1.5453e-03  2.6202e-08  3.6033e-04
 1.5590e-03  2.6180e-08  3.5578e-04
 1.5961e-03  2.6182e-08  3.4644e-04
 1.6445e-03  2.6184e-08  3.3531e-04
 1.7898e-03  2.6192e-08  2.9936e-04
 1.8693e-03  2.6247e-08  2.8622e-04
 1.8849e-03  2.6259e-08  2.8266e-04
 1.9606e-03  2.6310e-08  2.6464e-04
 2.0550e-03  2.6374e-08  2.5499e-04
 2.1541e-03  2.6465e-08  2.4436e-04
 2.3035e-03  2.6595e-08  2.2736e-04
 2.3595e-03  2.6644e-08  2.2088e-04
 2.4577e-03  2.6743e-08  2.1211e-04
 2.4638e-03  2.6749e-08  2.1155e-04
 2.7092e-03  2.6990e-08  1.8941e-04
 2.8003e-03  2.7087e-08  1.8357e-04
 2.8455e-03  2.7133e-08  1.8059e-04
 3.1105e-03  2.7396e-08  1.6275e-04
 3.1878e-03  2.7476e-08  1.5944e-04
 3.5391e-03  2.7820e-08  1.4345e-04
 3.5713e-03  2.7852e-08  1.4192e-04
 3.6260e-03  2.7908e-08  1.3980e-04
 3.6282e-03  2.7910e-08  1.3972e-04
 4.1004e-03  2.8355e-08  1.2130e-04
 4.3736e-03  2.8609e-08  1.1394e-04
