#      mass       lower       upper
 1.0300e-03  1.3689e-05  2.1277e-02
 1.0448e-03  1.3481e-05  1.8016e-02
 1.0567e-03  1.3311e-05  1.7263e-02
 1.0733e-03  1.3071e-05  1.4310e-02
 1.1073e-03  1.2564e-05  1.2684e-02
 1.1169e-03  1.2416e-05  1.1367e-02
 1.1821e-03  1.1368e-05  9.0517e-03
 1.1826e-03  1.1360e-05  9.0297e-03
 1.1830e-03  1.1360e-05  9.0246e-03
 1.1834e-03  1.1360e-05  9.0197e-03
 1.1926e-03  1.1368e-05  8.9154e-03
 1.3305e-03  1.1469e-05  7.1725e-03
 1.3496e-03  1.1482e-05  6.9810e-03
 1.3578e-03  1.1491e-05  6.8978e-03
 1.3683e-03  1.1515e-05  6.7981e-03
 1.4284e-03  1.1635e-05  6.1994e-03
 1.5590e-03  1.1891e-05  5.6981e-03
 1.5591e-03  1.1891e-05  5.6973e-03
 1.6647e-03  1.2137e-05  5.0482e-03
 1.7117e-03  1.2246e-05  4.9326e-03
 1.7898e-03  1.2430e-05  4.7344e-03
 1.8652e-03  1.2607e-05  4.5255e-03
 1.9150e-03  1.2722e-05  4.3892e-03
 2.0550e-03  1.3025e-05  3.9805e-03
 2.1589e-03  1.3182e-05  3.7828e-03
 2.2527e-03  1.3327e-05  3.5948e-03
 2.3595e-03  1.3490e-05  3.3796e-03
 2.4332e-03  1.3596e-05  3.2795e-03
 2.6412e-03  1.3900e-05  2.9788e-03
 2.7092e-03  1.3998e-05  2.8850e-03
 2.7360e-03  1.4035e-05  2.8554e-03
 2.7403e-03  1.4040e-05  2.8508e-03
 2.9334e-03  1.4310e-05  2.6413e-03
 3.0838e-03  1.4518e-05  2.4658e-03
 3.1105e-03  1.4555e-05  2.4333e-03
 3.3307e-03  1.4851e-05  2.2681e-03
 3.4676e-03  1.5031e-05  2.1622e-03
 3.5713e-03  1.5171e-05  2.0786e-03
 3.7300e-03  1.5378e-05  1.9370e-03
 3.8948e-03  1.5591e-05  1.8743e-03
 4.0797e-03  1.5836e-05  1.8016e-03
 4.1004e-03  1.5864e-05  1.7896e-03
 4.3629e-03  1.6246e-05  1.6050e-03
 4.3763e-03  1.6266e-05  1.5950e-03
 4.7079e-03  1.6758e-05  1.4923e-03
 4.8763e-03  1.6992e-05  1.4338e-03
 4.8839e-03  1.7003e-05  1.4310e-03
 5.4054e-03  1.7746e-05  1.2425e-03
 5.4442e-03  1.7803e-05  1.2276e-03
 5.5478e-03  1.7965e-05  1.1871e-03
 5.5811e-03  1.8016e-05  1.1812e-03
 5.8232e-03  1.8399e-05  1.1368e-03
 6.0573e-03  1.8760e-05  1.0766e-03
 6.2063e-03  1.9010e-05  1.0366e-03
 6.7008e-03  1.9961e-05  9.5023e-04
 6.9533e-03  2.0481e-05  9.0295e-04
 7.1258e-03  2.0829e-05  8.7052e-04
 7.3893e-03  2.1349e-05  8.3478e-04
 7.8591e-03  2.2357e-05  7.6694e-04
 8.0144e-03  2.2681e-05  7.4716e-04
 8.1281e-03  2.2930e-05  7.3235e-04
 8.1814e-03  2.3059e-05  7.2530e-04
 8.2082e-03  2.3124e-05  7.2115e-04
 8.2582e-03  2.3245e-05  7.1723e-04
 8.9099e-03  2.4771e-05  6.4916e-04
 9.3937e-03  2.6016e-05  5.9361e-04
 9.7001e-03  2.6915e-05  5.6974e-04
 1.0286e-02  2.8554e-05  5.2421e-04
 1.0584e-02  2.9463e-05  4.9949e-04
 1.0785e-02  3.0134e-05  4.8210e-04
 1.1291e-02  3.1918e-05  4.5256e-04
 1.1460e-02  3.2490e-05  4.4299e-04
 1.2383e-02  3.5584e-05  3.8641e-04
 1.2423e-02  3.5757e-05  3.8470e-04
 1.2468e-02  3.5948e-05  3.8274e-04
 1.2992e-02  3.8571e-05  3.5948e-04
 1.3314e-02  4.0102e-05  3.4555e-04
 1.4218e-02  4.3888e-05  3.0317e-04
 1.4371e-02  4.4456e-05  2.9564e-04
 1.4430e-02  4.4699e-05  2.9267e-04
 1.4567e-02  4.5253e-05  2.8940e-04
 1.4727e-02  4.6021e-05  2.8554e-04
 1.5476e-02  4.9461e-05  2.5911e-04
 1.6256e-02  5.5329e-05  2.2837e-04
 1.6300e-02  5.5641e-05  2.2681e-04
 1.6324e-02  5.5806e-05  2.2583e-04
 1.6411e-02  5.6474e-05  2.2337e-04
 1.6457e-02  5.6974e-05  2.2203e-04
 1.7340e-02  6.4858e-05  1.9505e-04
 1.7778e-02  6.9974e-05  1.8016e-04
 1.7936e-02  7.1724e-05  1.7026e-04
 1.7971e-02  7.2294e-05  1.6797e-04
 1.8175e-02  7.5500e-05  1.6237e-04
 1.8743e-02  8.5940e-05  1.4566e-04
 1.8818e-02  8.7731e-05  1.4310e-04
 1.8844e-02  8.8328e-05  1.4183e-04
 1.8881e-02  8.9197e-05  1.3995e-04
 1.8911e-02  9.0295e-05  1.3841e-04
 1.9132e-02  1.0000e+05  1.0000e+05
 1.9137e-02  1.0000e+05  1.0000e+05
