#      mass       lower       upper
 1.0300e-03  1.1129e-04  6.9139e-02
 1.0465e-03  1.1089e-04  5.7225e-02
 1.0485e-03  1.1084e-04  5.6828e-02
 1.0595e-03  1.1082e-04  5.4589e-02
 1.0753e-03  1.1078e-04  4.5456e-02
 1.1099e-03  1.1070e-04  4.0136e-02
 1.1187e-03  1.1068e-04  3.6107e-02
 1.1826e-03  1.1053e-04  2.8701e-02
 1.1830e-03  1.1054e-04  2.8682e-02
 1.1860e-03  1.1066e-04  2.8546e-02
 1.2011e-03  1.1127e-04  2.7972e-02
 1.2712e-03  1.1419e-04  2.5156e-02
 1.3245e-03  1.1638e-04  2.2783e-02
 1.3385e-03  1.1695e-04  2.2321e-02
 1.3578e-03  1.1775e-04  2.1671e-02
 1.4880e-03  1.2340e-04  1.9119e-02
 1.5357e-03  1.2543e-04  1.8097e-02
 1.5590e-03  1.2642e-04  1.7658e-02
 1.6524e-03  1.3047e-04  1.6390e-02
 1.6683e-03  1.3115e-04  1.6163e-02
 1.7898e-03  1.3629e-04  1.4642e-02
 1.8188e-03  1.3753e-04  1.4375e-02
 1.8332e-03  1.3813e-04  1.4249e-02
 1.9661e-03  1.4375e-04  1.3036e-02
 2.0319e-03  1.4649e-04  1.2391e-02
 2.0550e-03  1.4745e-04  1.2157e-02
 2.1700e-03  1.5232e-04  1.1419e-02
 2.2499e-03  1.5561e-04  1.0909e-02
 2.3595e-03  1.6010e-04  1.0167e-02
 2.4899e-03  1.6546e-04  9.5875e-03
 2.5997e-03  1.6995e-04  9.0697e-03
 2.7092e-03  1.7430e-04  8.5506e-03
 2.7538e-03  1.7612e-04  8.4119e-03
 2.8743e-03  1.8098e-04  8.0252e-03
 3.0432e-03  1.8770e-04  7.4497e-03
 3.0988e-03  1.8991e-04  7.2502e-03
 3.1105e-03  1.9037e-04  7.2135e-03
 3.1139e-03  1.9051e-04  7.2046e-03
 3.3605e-03  2.0030e-04  6.5592e-03
 3.5713e-03  2.0857e-04  5.9521e-03
 3.6125e-03  2.1024e-04  5.8334e-03
 3.6905e-03  2.1337e-04  5.7227e-03
 4.0646e-03  2.2783e-04  4.9812e-03
 4.0900e-03  2.2881e-04  4.9270e-03
 4.1004e-03  2.2922e-04  4.9044e-03
 4.3535e-03  2.3929e-04  4.5457e-03
 4.5055e-03  2.4515e-04  4.3296e-03
 4.7079e-03  2.5317e-04  4.0237e-03
 4.9586e-03  2.6306e-04  3.7641e-03
 5.0989e-03  2.6884e-04  3.6108e-03
 5.4054e-03  2.8104e-04  3.2737e-03
 5.4508e-03  2.8285e-04  3.2394e-03
 5.5461e-03  2.8684e-04  3.1665e-03
 5.9132e-03  3.0234e-04  2.8682e-03
 5.9806e-03  3.0510e-04  2.8140e-03
 6.2063e-03  3.1522e-04  2.6242e-03
 6.5471e-03  3.3030e-04  2.4214e-03
 6.7713e-03  3.4144e-04  2.2782e-03
 7.1258e-03  3.5834e-04  2.0526e-03
 7.1792e-03  3.6109e-04  2.0285e-03
 7.6361e-03  3.8723e-04  1.8097e-03
 7.7626e-03  3.9416e-04  1.7512e-03
 8.1814e-03  4.2326e-04  1.5414e-03
 8.3806e-03  4.3673e-04  1.4677e-03
 8.4597e-03  4.4372e-04  1.4374e-03
 8.5856e-03  4.5460e-04  1.3874e-03
 8.9197e-03  4.8800e-04  1.2447e-03
 8.9598e-03  4.9186e-04  1.2278e-03
 9.1563e-03  5.2284e-04  1.1418e-03
 9.1891e-03  5.2784e-04  1.1007e-03
 9.3937e-03  5.5797e-04  1.0106e-03
 9.4508e-03  5.6656e-04  9.8634e-04
 9.4739e-03  5.7232e-04  9.7633e-04
 9.6277e-03  6.3409e-04  9.0692e-04
 9.7002e-03  6.6123e-04  8.5962e-04
 9.7456e-03  6.7769e-04  8.2863e-04
 9.7692e-03  1.0000e+05  1.0000e+05
