#      mass       lower
 2.1410e-01  3.2755e-04
 2.1420e-01  2.9418e-04
 2.1430e-01  1.7294e-04
 2.1450e-01  1.4065e-04
 2.1460e-01  1.2333e-04
 2.1470e-01  1.7013e-04
 2.1490e-01  2.5762e-04
 2.1500e-01  3.5974e-04
 2.1520e-01  4.0084e-04
 2.1530e-01  3.2270e-04
 2.1550e-01  3.1194e-04
 2.1560e-01  2.2365e-04
 2.1580e-01  2.0338e-04
 2.1590e-01  2.0812e-04
 2.1610e-01  2.2937e-04
 2.1620e-01  2.3527e-04
 2.1640e-01  3.3890e-04
 2.1660e-01  2.6867e-04
 2.1670e-01  2.5494e-04
 2.1690e-01  2.7678e-04
 2.1710e-01  3.0247e-04
 2.1730e-01  3.3020e-04
 2.1750e-01  4.0354e-04
 2.1770e-01  2.5303e-04
 2.1780e-01  1.5908e-04
 2.1800e-01  2.2339e-04
 2.1820e-01  1.5933e-04
 2.1840e-01  1.3970e-04
 2.1860e-01  1.3489e-04
 2.1880e-01  1.9696e-04
 2.1910e-01  2.8020e-04
 2.1930e-01  3.3952e-04
 2.1950e-01  3.6531e-04
 2.1970e-01  3.6616e-04
 2.1990e-01  3.6419e-04
 2.2010e-01  3.6107e-04
 2.2040e-01  3.7933e-04
 2.2060e-01  3.8507e-04
 2.2080e-01  3.3841e-04
 2.2110e-01  3.3697e-04
 2.2130e-01  3.2958e-04
 2.2160e-01  2.9154e-04
 2.2180e-01  1.8989e-04
 2.2200e-01  2.7671e-04
 2.2230e-01  2.0083e-04
 2.2260e-01  3.1069e-04
 2.2280e-01  3.1166e-04
 2.2310e-01  2.6620e-04
 2.2330e-01  2.5631e-04
 2.2360e-01  2.1326e-04
 2.2390e-01  1.9794e-04
 2.2410e-01  1.9332e-04
 2.2440e-01  2.2504e-04
 2.2470e-01  2.3514e-04
 2.2500e-01  2.9461e-04
 2.2530e-01  3.4879e-04
 2.2560e-01  3.8629e-04
 2.2590e-01  3.3213e-04
 2.2620e-01  2.6866e-04
 2.2650e-01  2.7979e-04
 2.2680e-01  1.9006e-04
 2.2710e-01  1.8877e-04
 2.2740e-01  2.1723e-04
 2.2770e-01  2.9211e-04
 2.2800e-01  2.3936e-04
 2.2830e-01  2.8800e-04
 2.2860e-01  3.7712e-04
 2.2900e-01  4.4956e-04
 2.2930e-01  3.8659e-04
 2.2960e-01  3.6695e-04
 2.3000e-01  3.2622e-04
 2.3030e-01  3.0061e-04
 2.3060e-01  2.8446e-04
 2.3100e-01  2.8525e-04
 2.3130e-01  3.1503e-04
 2.3170e-01  3.3131e-04
 2.3200e-01  3.0667e-04
 2.3240e-01  2.8618e-04
 2.3270e-01  1.9117e-04
 2.3310e-01  1.7082e-04
 2.3350e-01  1.7361e-04
 2.3380e-01  2.1521e-04
 2.3420e-01  2.6703e-04
 2.3460e-01  3.1889e-04
 2.3500e-01  3.9129e-04
 2.3530e-01  3.3830e-04
 2.3570e-01  3.4347e-04
 2.3610e-01  3.0538e-04
 2.3650e-01  4.0866e-04
 2.3690e-01  4.2038e-04
 2.3730e-01  3.9778e-04
 2.3770e-01  2.9216e-04
 2.3810e-01  2.8302e-04
 2.3850e-01  3.4481e-04
 2.3890e-01  3.7368e-04
 2.3930e-01  2.8340e-04
 2.3980e-01  2.5115e-04
 2.4020e-01  2.5038e-04
 2.4060e-01  2.6446e-04
