#      mass       lower
 8.9907e-03  8.6656e-04
 9.0814e-03  7.2390e-04
 9.1546e-03  7.9691e-04
 9.2284e-03  8.5583e-04
 9.3215e-03  7.6219e-04
 9.3967e-03  7.7728e-04
 9.4724e-03  7.3164e-04
 9.5488e-03  7.1743e-04
 9.6258e-03  6.3915e-04
 9.7034e-03  5.4936e-04
 9.8013e-03  6.0069e-04
 9.8803e-03  5.3499e-04
 9.9599e-03  5.5098e-04
 1.0040e-02  5.5381e-04
 1.0121e-02  4.5238e-04
 1.0182e-02  5.2447e-04
 1.0264e-02  3.7395e-04
 1.0347e-02  4.4059e-04
 1.0431e-02  4.3527e-04
 1.0515e-02  5.8156e-04
 1.0599e-02  6.1009e-04
 1.0663e-02  6.2213e-04
 1.0749e-02  5.7229e-04
 1.0836e-02  5.8355e-04
 1.0923e-02  5.7428e-04
 1.1034e-02  6.1004e-04
 1.1123e-02  6.3665e-04
 1.1235e-02  5.8452e-04
 1.1325e-02  5.8555e-04
 1.1440e-02  5.6308e-04
 1.1532e-02  5.6607e-04
 1.1625e-02  5.0178e-04
 1.1742e-02  4.5716e-04
 1.1837e-02  5.0347e-04
 1.1932e-02  5.6402e-04
 1.2028e-02  6.1217e-04
 1.2125e-02  5.6805e-04
 1.2223e-02  5.7312e-04
 1.2322e-02  5.5012e-04
 1.2421e-02  4.2660e-04
 1.2521e-02  4.6314e-04
 1.2622e-02  4.2793e-04
 1.2724e-02  4.2935e-04
 1.2827e-02  4.5332e-04
 1.2930e-02  5.4911e-04
 1.3034e-02  5.1594e-04
 1.3139e-02  5.5699e-04
 1.3245e-02  4.7711e-04
 1.3325e-02  5.2426e-04
 1.3433e-02  4.6126e-04
 1.3541e-02  3.1794e-04
 1.3623e-02  3.8415e-04
 1.3733e-02  3.5250e-04
 1.3843e-02  4.6864e-04
 1.3927e-02  5.1960e-04
 1.4039e-02  6.1216e-04
 1.4124e-02  5.7207e-04
 1.4238e-02  5.8862e-04
 1.4324e-02  5.3748e-04
 1.4439e-02  5.8967e-04
 1.4527e-02  5.4132e-04
 1.4644e-02  4.4980e-04
 1.4762e-02  4.9783e-04
 1.4881e-02  6.1874e-04
 1.5001e-02  7.1102e-04
 1.5122e-02  6.6564e-04
 1.5244e-02  6.7882e-04
 1.5366e-02  6.4233e-04
 1.5459e-02  6.5039e-04
 1.5584e-02  5.4617e-04
 1.5710e-02  4.4418e-04
 1.5836e-02  4.3712e-04
 1.5964e-02  5.1866e-04
 1.6060e-02  5.6097e-04
 1.6190e-02  5.1314e-04
 1.6320e-02  5.0408e-04
 1.6419e-02  5.5500e-04
 1.6551e-02  5.5008e-04
 1.6685e-02  4.9253e-04
 1.6786e-02  5.3271e-04
 1.6921e-02  6.2206e-04
 1.7023e-02  5.8757e-04
 1.7160e-02  5.6297e-04
 1.7264e-02  7.9129e-04
 1.7403e-02  7.4876e-04
 1.7508e-02  6.8124e-04
 1.7649e-02  6.5505e-04
 1.7756e-02  6.7160e-04
 1.7863e-02  5.8862e-04
 1.8007e-02  4.7444e-04
 1.8116e-02  5.0050e-04
 1.8226e-02  5.1223e-04
 1.8336e-02  5.4132e-04
 1.8483e-02  4.6689e-04
 1.8595e-02  6.0781e-04
 1.8745e-02  6.3891e-04
 1.8896e-02  6.2206e-04
 1.9048e-02  7.3550e-04
 1.9164e-02  6.8368e-04
 1.9318e-02  6.7761e-04
 1.9435e-02  5.0050e-04
 1.9591e-02  6.2762e-04
 1.9749e-02  5.3940e-04
 1.9869e-02  4.6440e-04
 2.0029e-02  4.7360e-04
 2.0150e-02  4.1879e-04
 2.0312e-02  4.2029e-04
 2.0435e-02  3.5358e-04
 2.0558e-02  3.6640e-04
 2.0724e-02  4.1879e-04
 2.0849e-02  3.8652e-04
 2.0975e-02  3.2576e-04
 2.1144e-02  4.0414e-04
 2.1272e-02  3.5737e-04
 2.1401e-02  3.0882e-04
 2.1573e-02  3.2171e-04
 2.1704e-02  4.6939e-04
 2.1835e-02  6.3099e-04
 2.1967e-02  5.9601e-04
 2.2099e-02  6.2762e-04
 2.2233e-02  7.2901e-04
 2.2412e-02  7.3680e-04
 2.2593e-02  5.2424e-04
 2.2729e-02  3.8514e-04
 2.2912e-02  3.9558e-04
 2.3051e-02  4.1287e-04
 2.3237e-02  3.4857e-04
 2.3377e-02  3.3278e-04
 2.3518e-02  3.7232e-04
 2.3708e-02  3.7699e-04
 2.3851e-02  3.6445e-04
 2.3995e-02  3.4058e-04
 2.4189e-02  3.9699e-04
 2.4335e-02  4.1360e-04
 2.4482e-02  4.8643e-04
 2.4679e-02  6.0890e-04
 2.4828e-02  5.7412e-04
 2.4978e-02  6.0242e-04
 2.5129e-02  5.6197e-04
 2.5281e-02  5.9921e-04
 2.5433e-02  5.1774e-04
 2.5638e-02  5.5106e-04
 2.5793e-02  5.2987e-04
 2.5949e-02  5.5303e-04
 2.6106e-02  4.9872e-04
 2.6264e-02  4.6856e-04
 2.6475e-02  4.1879e-04
 2.6635e-02  3.8037e-04
 2.6796e-02  3.5043e-04
 2.7012e-02  3.3219e-04
 2.7175e-02  4.2938e-04
 2.7340e-02  3.6771e-04
 2.7560e-02  4.2709e-04
 2.7726e-02  5.0950e-04
 2.7894e-02  5.4617e-04
 2.8062e-02  6.7161e-04
 2.8232e-02  5.5008e-04
 2.8460e-02  6.2206e-04
 2.8631e-02  5.1041e-04
 2.8804e-02  4.4023e-04
 2.8978e-02  5.0318e-04
