#      mass       lower       upper
 1.0300e-03  1.1260e-06  3.7613e-03
 1.0416e-03  1.1021e-06  3.6203e-03
 1.0513e-03  1.0819e-06  3.4988e-03
 1.0692e-03  1.0436e-06  2.8756e-03
 1.1016e-03  9.7009e-07  2.5710e-03
 1.1125e-03  9.4403e-07  2.2843e-03
 1.1180e-03  9.3080e-07  2.0802e-03
 1.1266e-03  9.0941e-07  2.0457e-03
 1.1807e-03  8.1375e-07  1.8145e-03
 1.1826e-03  8.1026e-07  1.8031e-03
 1.2905e-03  7.8620e-07  1.5526e-03
 1.3333e-03  7.7753e-07  1.4413e-03
 1.3578e-03  7.7254e-07  1.3939e-03
 1.4317e-03  7.6814e-07  1.2507e-03
 1.5079e-03  7.6357e-07  1.1951e-03
 1.5590e-03  7.6077e-07  1.1562e-03
 1.5728e-03  7.6065e-07  1.1449e-03
 1.7371e-03  7.5928e-07  1.0141e-03
 1.7898e-03  7.5891e-07  9.6849e-04
 1.8447e-03  7.5965e-07  9.3953e-04
 1.9001e-03  7.6035e-07  9.0938e-04
 2.0550e-03  7.6228e-07  8.2478e-04
 2.2756e-03  7.6734e-07  7.4583e-04
 2.3368e-03  7.6864e-07  7.2237e-04
 2.3482e-03  7.6888e-07  7.1659e-04
 2.3595e-03  7.6912e-07  7.1380e-04
 2.4043e-03  7.7033e-07  7.0012e-04
 2.5962e-03  7.7549e-07  6.4335e-04
 2.7092e-03  7.7838e-07  6.0748e-04
 2.7578e-03  7.7978e-07  5.9106e-04
 2.8688e-03  7.8291e-07  5.7380e-04
 2.9582e-03  7.8544e-07  5.5478e-04
 3.1105e-03  7.8953e-07  5.2077e-04
 3.2421e-03  7.9324e-07  4.8837e-04
 3.3674e-03  7.9678e-07  4.7537e-04
 3.5499e-03  8.0166e-07  4.5578e-04
 3.5713e-03  8.0225e-07  4.5246e-04
 3.6126e-03  8.0337e-07  4.4712e-04
 3.8301e-03  8.0932e-07  4.2047e-04
 4.1004e-03  8.1636e-07  3.8478e-04
 4.3584e-03  8.2314e-07  3.6204e-04
 4.4417e-03  8.2532e-07  3.5462e-04
 4.7079e-03  8.3183e-07  3.2985e-04
 4.9458e-03  8.3768e-07  3.1564e-04
 5.3852e-03  8.4813e-07  2.8758e-04
 5.4054e-03  8.4861e-07  2.8625e-04
 5.6153e-03  8.5349e-07  2.7046e-04
 5.7928e-03  8.5749e-07  2.5635e-04
 6.2063e-03  8.6673e-07  2.4277e-04
 6.3720e-03  8.7032e-07  2.3668e-04
 6.5899e-03  8.7492e-07  2.2843e-04
 7.1258e-03  8.8614e-07  2.0751e-04
 7.2272e-03  8.8823e-07  2.0495e-04
 8.1046e-03  9.0539e-07  1.8145e-04
 8.1427e-03  9.0612e-07  1.8001e-04
 8.1814e-03  9.0687e-07  1.7929e-04
 8.1940e-03  9.0711e-07  1.7901e-04
 8.3146e-03  9.0941e-07  1.7623e-04
 8.3488e-03  9.1004e-07  1.7543e-04
 9.2853e-03  9.2718e-07  1.5448e-04
 9.3937e-03  9.2911e-07  1.5187e-04
 9.5456e-03  9.3213e-07  1.4804e-04
 9.8769e-03  9.3867e-07  1.4413e-04
 1.0501e-02  9.5085e-07  1.3392e-04
 1.0785e-02  9.5631e-07  1.2900e-04
 1.1852e-02  9.7834e-07  1.1683e-04
 1.2045e-02  9.8224e-07  1.1449e-04
 1.2383e-02  9.8907e-07  1.1042e-04
 1.3234e-02  1.0062e-06  1.0248e-04
 1.3361e-02  1.0087e-06  1.0139e-04
 1.4218e-02  1.0256e-06  9.3646e-05
 1.4612e-02  1.0334e-06  9.0939e-05
 1.5046e-02  1.0418e-06  8.8007e-05
 1.6324e-02  1.0666e-06  7.8731e-05
 1.6922e-02  1.0783e-06  7.5819e-05
 1.7628e-02  1.0919e-06  7.2238e-05
 1.8743e-02  1.1132e-06  6.6420e-05
 2.0369e-02  1.1449e-06  6.0601e-05
 2.1205e-02  1.1608e-06  5.7381e-05
 2.1319e-02  1.1629e-06  5.6953e-05
 2.1520e-02  1.1668e-06  5.6200e-05
 2.1842e-02  1.1736e-06  5.5240e-05
 2.2566e-02  1.1881e-06  5.3014e-05
 2.4708e-02  1.2298e-06  4.6955e-05
 2.5349e-02  1.2430e-06  4.5578e-05
 2.6662e-02  1.2697e-06  4.2801e-05
 2.8369e-02  1.3049e-06  3.8893e-05
 2.9741e-02  1.3323e-06  3.6768e-05
 3.0092e-02  1.3397e-06  3.6204e-05
 3.2571e-02  1.3914e-06  3.2201e-05
 3.3112e-02  1.4023e-06  3.1606e-05
 3.4978e-02  1.4413e-06  2.9464e-05
 3.5565e-02  1.4541e-06  2.8758e-05
 3.7397e-02  1.4931e-06  2.6574e-05
 3.8985e-02  1.5305e-06  2.4482e-05
 4.0768e-02  1.5713e-06  2.3406e-05
 4.1667e-02  1.5936e-06  2.2843e-05
 4.2938e-02  1.6246e-06  2.1694e-05
 4.5006e-02  1.6777e-06  2.0386e-05
 4.8251e-02  1.7674e-06  1.8145e-05
 4.9299e-02  1.7954e-06  1.7412e-05
 4.9516e-02  1.8013e-06  1.7312e-05
 4.9978e-02  1.8145e-06  1.7095e-05
 5.4293e-02  1.9449e-06  1.4922e-05
 5.5221e-02  1.9766e-06  1.4413e-05
 5.6603e-02  2.0229e-06  1.3687e-05
 5.9260e-02  2.1161e-06  1.2654e-05
 6.2092e-02  2.2307e-06  1.1449e-05
 6.3467e-02  2.2843e-06  1.0927e-05
 6.4345e-02  2.3226e-06  1.0581e-05
 6.4990e-02  2.3558e-06  1.0319e-05
 6.6855e-02  2.4628e-06  9.5337e-06
 6.8927e-02  2.5764e-06  9.0940e-06
 6.9192e-02  2.5906e-06  9.0181e-06
 7.3153e-02  2.8758e-06  7.7948e-06
 7.3793e-02  2.9295e-06  7.5786e-06
 7.4618e-02  3.0264e-06  7.2906e-06
 7.4892e-02  3.0599e-06  7.2239e-06
 7.5159e-02  3.0921e-06  7.1372e-06
 7.7702e-02  3.3841e-06  6.2221e-06
 7.8907e-02  3.6129e-06  5.7381e-06
 7.8948e-02  3.6204e-06  5.7209e-06
 8.0314e-02  4.0318e-06  5.1148e-06
 8.0701e-02  4.5579e-06  4.9300e-06
