#      mass       lower
 2.0042e-02  1.0000e+05
 2.0241e-02  5.8504e-03
 2.0770e-02  6.2789e-03
 2.1298e-02  6.3847e-03
 2.1825e-02  5.9331e-03
 2.2352e-02  5.8397e-03
 2.2878e-02  5.7557e-03
 2.3404e-02  5.5347e-03
 2.3929e-02  5.3074e-03
 2.4454e-02  4.9653e-03
 2.4979e-02  4.6483e-03
 2.5502e-02  4.4418e-03
 2.6026e-02  4.4655e-03
 2.6549e-02  4.4247e-03
 2.7071e-02  4.5847e-03
 2.7593e-02  4.9978e-03
 2.8114e-02  5.3801e-03
 2.8635e-02  5.6847e-03
 2.9156e-02  5.8370e-03
 2.9676e-02  5.9013e-03
 3.0195e-02  5.9689e-03
 3.0715e-02  6.1440e-03
 3.1236e-02  6.2782e-03
 3.1760e-02  5.6988e-03
 3.2285e-02  5.2328e-03
 3.2813e-02  4.5225e-03
 3.3342e-02  3.8784e-03
 3.3874e-02  3.4824e-03
 3.4408e-02  3.1630e-03
 3.4944e-02  3.1140e-03
 3.5482e-02  3.3505e-03
 3.6022e-02  3.4546e-03
 3.6564e-02  3.5587e-03
 3.7108e-02  3.4037e-03
 3.7655e-02  3.4941e-03
 3.8203e-02  3.8248e-03
 3.8753e-02  4.0264e-03
 3.9306e-02  4.2379e-03
 3.9861e-02  4.2761e-03
 4.0418e-02  4.5469e-03
 4.0976e-02  4.7836e-03
 4.1536e-02  5.0005e-03
 4.2096e-02  5.0681e-03
 4.2658e-02  4.8743e-03
 4.3220e-02  4.8753e-03
 4.3783e-02  4.7551e-03
 4.4347e-02  4.6025e-03
 4.4912e-02  4.6882e-03
 4.5478e-02  4.8806e-03
 4.6045e-02  4.6674e-03
 4.6613e-02  4.5820e-03
 4.7182e-02  4.0943e-03
 4.7752e-02  3.6518e-03
 4.8322e-02  2.9252e-03
 4.8894e-02  2.5351e-03
 4.9467e-02  2.3241e-03
 5.0040e-02  2.2560e-03
 5.0615e-02  2.3497e-03
 5.1187e-02  2.4363e-03
 5.1757e-02  2.5290e-03
 5.2325e-02  2.7167e-03
