#      mass       lower       upper
 1.0300e-03  5.6414e-08  4.0817e-04
 1.0381e-03  5.5411e-08  4.4145e-04
 1.0449e-03  5.4555e-08  4.6739e-04
 1.0459e-03  5.4428e-08  4.6764e-04
 1.0573e-03  5.3055e-08  4.5315e-04
 1.0638e-03  5.2413e-08  4.3301e-04
 1.0924e-03  4.9492e-08  4.3528e-04
 1.1048e-03  4.8163e-08  3.9264e-04
 1.1276e-03  4.5623e-08  3.8336e-04
 1.1664e-03  4.2143e-08  3.5106e-04
 1.1680e-03  4.2011e-08  3.4929e-04
 1.1700e-03  4.1848e-08  3.4281e-04
 1.1826e-03  4.0805e-08  3.3283e-04
 1.2113e-03  4.0489e-08  3.2809e-04
 1.3114e-03  3.9499e-08  2.9552e-04
 1.3578e-03  3.9031e-08  2.8143e-04
 1.4255e-03  3.8860e-08  2.7053e-04
 1.5453e-03  3.8580e-08  2.4562e-04
 1.5590e-03  3.8548e-08  2.4286e-04
 1.5961e-03  3.8551e-08  2.3730e-04
 1.6445e-03  3.8553e-08  2.3055e-04
 1.7898e-03  3.8565e-08  2.0748e-04
 1.8693e-03  3.8647e-08  1.9896e-04
 1.8849e-03  3.8664e-08  1.9658e-04
 1.9606e-03  3.8739e-08  1.8440e-04
 2.0550e-03  3.8833e-08  1.7804e-04
 2.1541e-03  3.8967e-08  1.7089e-04
 2.3035e-03  3.9159e-08  1.5926e-04
 2.3595e-03  3.9231e-08  1.5479e-04
 2.4577e-03  3.9377e-08  1.4873e-04
 2.4638e-03  3.9385e-08  1.4835e-04
 2.7092e-03  3.9741e-08  1.3293e-04
 2.8003e-03  3.9883e-08  1.2885e-04
 2.8455e-03  3.9951e-08  1.2677e-04
 3.1105e-03  4.0338e-08  1.1426e-04
 3.1878e-03  4.0456e-08  1.1194e-04
 3.5391e-03  4.0962e-08  1.0069e-04
 3.5713e-03  4.1009e-08  9.9610e-05
 3.6260e-03  4.1091e-08  9.8117e-05
 3.6282e-03  4.1095e-08  9.8061e-05
 4.1004e-03  4.1751e-08  8.5069e-05
 4.3736e-03  4.2125e-08  7.9883e-05
 4.3875e-03  4.2143e-08  7.9619e-05
 4.6826e-03  4.2526e-08  7.3775e-05
 4.7079e-03  4.2558e-08  7.3252e-05
 4.7383e-03  4.2596e-08  7.2588e-05
 4.9258e-03  4.2831e-08  6.8347e-05
 5.4054e-03  4.3425e-08  6.3754e-05
 5.4412e-03  4.3469e-08  6.3348e-05
 6.0340e-03  4.4169e-08  5.6443e-05
 6.2063e-03  4.4362e-08  5.4275e-05
 6.7141e-03  4.4930e-08  5.0216e-05
 6.8441e-03  4.5075e-08  4.9154e-05
 7.1258e-03  4.5372e-08  4.6771e-05
 7.7594e-03  4.6034e-08  4.3044e-05
 7.9145e-03  4.6189e-08  4.2083e-05
 8.1814e-03  4.6452e-08  4.0477e-05
 8.3236e-03  4.6593e-08  3.9796e-05
 8.7930e-03  4.7053e-08  3.7548e-05
 9.3937e-03  4.7605e-08  3.4463e-05
 1.0197e-02  4.8327e-08  3.1767e-05
 1.0265e-02  4.8385e-08  3.1530e-05
 1.0785e-02  4.8828e-08  2.9698e-05
 1.1278e-02  4.9250e-08  2.8460e-05
 1.1802e-02  4.9672e-08  2.7084e-05
 1.2383e-02  5.0136e-08  2.5584e-05
 1.2686e-02  5.0377e-08  2.4974e-05
 1.2765e-02  5.0439e-08  2.4819e-05
 1.4218e-02  5.1534e-08  2.1767e-05
 1.5621e-02  5.2533e-08  1.9776e-05
 1.5974e-02  5.2781e-08  1.9066e-05
 1.6317e-02  5.3021e-08  1.8740e-05
 1.6324e-02  5.3026e-08  1.8733e-05
 1.6329e-02  5.3028e-08  1.8727e-05
 1.6372e-02  5.3058e-08  1.8683e-05
 1.7747e-02  5.3975e-08  1.7169e-05
 1.8456e-02  5.4440e-08  1.6399e-05
 1.8743e-02  5.4623e-08  1.6078e-05
 1.9242e-02  5.4925e-08  1.5654e-05
 2.0858e-02  5.5896e-08  1.4258e-05
 2.1520e-02  5.6275e-08  1.3645e-05
 2.2411e-02  5.6774e-08  1.3125e-05
 2.3621e-02  5.7413e-08  1.2386e-05
 2.4708e-02  5.7981e-08  1.1704e-05
 2.6631e-02  5.8960e-08  1.0824e-05
 2.7037e-02  5.9160e-08  1.0629e-05
 2.8369e-02  5.9808e-08  1.0021e-05
 2.9000e-02  6.0108e-08  9.7958e-06
 3.0072e-02  6.0616e-08  9.4163e-06
 3.2571e-02  6.1769e-08  8.4682e-06
 3.5430e-02  6.3050e-08  7.7428e-06
 3.6240e-02  6.3407e-08  7.5324e-06
 3.7397e-02  6.3880e-08  7.2216e-06
 3.8286e-02  6.4255e-08  6.9599e-06
 3.9286e-02  6.4670e-08  6.6539e-06
 4.2938e-02  6.6161e-08  6.1817e-06
 4.3162e-02  6.6250e-08  6.1479e-06
 4.3375e-02  6.6336e-08  6.1156e-06
 4.4610e-02  6.6833e-08  5.8506e-06
 4.6241e-02  6.7465e-08  5.4816e-06
 4.8630e-02  6.8379e-08  5.2538e-06
 4.9299e-02  6.8644e-08  5.1883e-06
 5.2667e-02  6.9931e-08  4.8264e-06
 5.4732e-02  7.0710e-08  4.6004e-06
 5.6603e-02  7.1428e-08  4.3861e-06
 5.8996e-02  7.2375e-08  4.0867e-06
 5.9434e-02  7.2546e-08  4.0634e-06
 6.4150e-02  7.4255e-08  3.8041e-06
 6.4990e-02  7.4557e-08  3.7363e-06
 6.9081e-02  7.6092e-08  3.3562e-06
 6.9226e-02  7.6147e-08  3.3421e-06
 7.4618e-02  7.8134e-08  3.1249e-06
 7.7465e-02  7.9193e-08  2.9947e-06
 7.7482e-02  7.9200e-08  2.9939e-06
 8.5672e-02  8.2228e-08  2.6058e-06
 9.1471e-02  8.4419e-08  2.4165e-06
 9.3375e-02  8.5135e-08  2.3513e-06
 9.5709e-02  8.6018e-08  2.2411e-06
 9.6991e-02  8.6492e-08  2.2123e-06
 9.8364e-02  8.7017e-08  2.1810e-06
 1.0832e-01  9.0713e-08  1.9482e-06
 1.1256e-01  9.2380e-08  1.8412e-06
 1.1294e-01  9.2527e-08  1.8318e-06
 1.1425e-01  9.3032e-08  1.8038e-06
 1.2076e-01  9.5516e-08  1.6814e-06
 1.2967e-01  9.9039e-08  1.4996e-06
 1.3413e-01  1.0081e-07  1.4362e-06
 1.3443e-01  1.0093e-07  1.4321e-06
 1.4888e-01  1.0692e-07  1.2199e-06
 1.4939e-01  1.0714e-07  1.2121e-06
 1.5091e-01  1.0783e-07  1.1881e-06
 1.5242e-01  1.0855e-07  1.1641e-06
 1.5914e-01  1.1157e-07  1.1132e-06
 1.6551e-01  1.1449e-07  1.0467e-06
 1.7094e-01  1.1718e-07  9.8701e-07
 1.8297e-01  1.2321e-07  8.9519e-07
 1.8808e-01  1.2602e-07  8.5367e-07
 1.9626e-01  1.3061e-07  7.8756e-07
 2.0107e-01  1.3546e-07  7.0957e-07
 2.0461e-01  1.4020e-07  6.4672e-07
 2.0739e-01  1.4369e-07  6.1710e-07
 2.1501e-01  1.5089e-07  6.1064e-07
 2.1734e-01  1.5362e-07  5.9137e-07
 2.1860e-01  1.5569e-07  5.7713e-07
 2.2534e-01  1.6652e-07  5.2268e-07
 2.3047e-01  1.7488e-07  4.7814e-07
 2.3429e-01  1.7999e-07  4.6628e-07
 2.3601e-01  1.8297e-07  4.5983e-07
 2.4492e-01  2.0220e-07  4.0769e-07
 2.5211e-01  2.2862e-07  3.4861e-07
 2.5508e-01  2.5631e-07  3.0623e-07
 2.5685e-01  1.0000e+05  1.0000e+05
 2.5872e-01  1.0000e+05  1.0000e+05
 2.7004e-01  1.0000e+05  1.0000e+05
 2.7901e-01  1.0000e+05  1.0000e+05
 2.8018e-01  1.0000e+05  1.0000e+05
 2.8761e-01  1.0000e+05  1.0000e+05
 2.9706e-01  1.0000e+05  1.0000e+05
 2.9967e-01  1.0000e+05  1.0000e+05
 3.0268e-01  1.0000e+05  1.0000e+05
 3.0494e-01  1.0000e+05  1.0000e+05
 3.0700e-01  1.0000e+05  1.0000e+05
 3.1277e-01  1.0000e+05  1.0000e+05
 3.1338e-01  1.0000e+05  1.0000e+05
 3.1532e-01  1.0000e+05  1.0000e+05
 3.1593e-01  1.0000e+05  1.0000e+05
