#      mass       lower       upper
 1.0300e-03  2.0259e-05  6.3878e-03
 1.0448e-03  1.9930e-05  7.0215e-03
 1.0567e-03  1.9668e-05  7.4246e-03
 1.0733e-03  1.9323e-05  6.6818e-03
 1.1073e-03  1.8568e-05  6.5555e-03
 1.1169e-03  1.8359e-05  5.9777e-03
 1.1821e-03  1.6815e-05  5.1816e-03
 1.1826e-03  1.6804e-05  5.1712e-03
 1.1830e-03  1.6804e-05  5.1701e-03
 1.1834e-03  1.6804e-05  5.1692e-03
 1.1926e-03  1.6815e-05  5.1503e-03
 1.3305e-03  1.6986e-05  4.4365e-03
 1.3496e-03  1.7010e-05  4.3409e-03
 1.3578e-03  1.7025e-05  4.2979e-03
 1.3683e-03  1.7063e-05  4.2463e-03
 1.4284e-03  1.7259e-05  3.9158e-03
 1.5590e-03  1.7659e-05  3.6601e-03
 1.5591e-03  1.7659e-05  3.6596e-03
 1.6647e-03  1.8065e-05  3.2610e-03
 1.7117e-03  1.8236e-05  3.1937e-03
 1.7898e-03  1.8531e-05  3.0737e-03
 1.8652e-03  1.8818e-05  2.9422e-03
 1.9150e-03  1.9008e-05  2.8551e-03
 2.0550e-03  1.9526e-05  2.5885e-03
 2.1589e-03  1.9803e-05  2.4595e-03
 2.2527e-03  2.0066e-05  2.3352e-03
 2.3595e-03  2.0374e-05  2.1919e-03
 2.4332e-03  2.0570e-05  2.1253e-03
 2.6412e-03  2.1165e-05  1.9236e-03
 2.7092e-03  2.1366e-05  1.8604e-03
 2.7360e-03  2.1439e-05  1.8405e-03
 2.7403e-03  2.1451e-05  1.8374e-03
 2.9334e-03  2.2015e-05  1.6959e-03
 3.0838e-03  2.2495e-05  1.5773e-03
 3.1105e-03  2.2588e-05  1.5553e-03
 3.3307e-03  2.3266e-05  1.4432e-03
 3.4676e-03  2.3720e-05  1.3714e-03
 3.5713e-03  2.4100e-05  1.3147e-03
 3.7300e-03  2.4752e-05  1.2188e-03
 3.8948e-03  2.5304e-05  1.1758e-03
 4.0797e-03  2.5983e-05  1.1261e-03
 4.1004e-03  2.6074e-05  1.1179e-03
 4.3629e-03  2.7589e-05  9.9277e-04
 4.3763e-03  2.7681e-05  9.8599e-04
 4.7079e-03  2.9404e-05  9.1528e-04
 4.8763e-03  3.0414e-05  8.7522e-04
 4.8839e-03  3.0465e-05  8.7335e-04
 5.4054e-03  3.4613e-05  7.4476e-04
 5.4442e-03  3.5005e-05  7.3469e-04
 5.5478e-03  3.6150e-05  7.0711e-04
 5.5811e-03  3.6410e-05  7.0296e-04
 5.8232e-03  3.8444e-05  6.7193e-04
 6.0573e-03  4.0872e-05  6.3069e-04
 6.2063e-03  4.2618e-05  6.0321e-04
 6.7008e-03  4.8118e-05  5.4243e-04
 6.9533e-03  5.1295e-05  5.0928e-04
 7.1258e-03  5.3510e-05  4.8663e-04
 7.3893e-03  5.6525e-05  4.6118e-04
 7.8591e-03  6.2527e-05  4.1296e-04
 8.0144e-03  6.4441e-05  3.9882e-04
 8.1281e-03  6.5919e-05  3.8822e-04
 8.1814e-03  6.6667e-05  3.8313e-04
 8.2082e-03  6.7066e-05  3.8018e-04
 8.2582e-03  6.7680e-05  3.7717e-04
 8.9099e-03  7.6337e-05  3.2701e-04
 9.3937e-03  8.4043e-05  2.8575e-04
 9.7001e-03  8.9381e-05  2.6618e-04
 1.0286e-02  1.0128e-04  2.2727e-04
 1.0584e-02  1.1044e-04  2.0353e-04
 1.0785e-02  1.2027e-04  1.8348e-04
 1.1291e-02  1.0000e+05  1.0000e+05
 1.1460e-02  1.0000e+05  1.0000e+05
 1.2383e-02  1.0000e+05  1.0000e+05
 1.2423e-02  1.0000e+05  1.0000e+05
 1.2468e-02  1.0000e+05  1.0000e+05
 1.2992e-02  1.0000e+05  1.0000e+05
 1.3314e-02  1.0000e+05  1.0000e+05
 1.4218e-02  1.0000e+05  1.0000e+05
 1.4371e-02  1.0000e+05  1.0000e+05
 1.4430e-02  1.0000e+05  1.0000e+05
 1.4567e-02  1.0000e+05  1.0000e+05
 1.4727e-02  1.0000e+05  1.0000e+05
 1.5476e-02  1.0000e+05  1.0000e+05
 1.6256e-02  1.0000e+05  1.0000e+05
 1.6300e-02  1.0000e+05  1.0000e+05
 1.6324e-02  1.0000e+05  1.0000e+05
 1.6411e-02  1.0000e+05  1.0000e+05
 1.6457e-02  1.0000e+05  1.0000e+05
 1.7340e-02  1.0000e+05  1.0000e+05
 1.7778e-02  1.0000e+05  1.0000e+05
 1.7936e-02  1.0000e+05  1.0000e+05
 1.7971e-02  1.0000e+05  1.0000e+05
 1.8175e-02  1.0000e+05  1.0000e+05
 1.8743e-02  1.0000e+05  1.0000e+05
 1.8818e-02  1.0000e+05  1.0000e+05
 1.8844e-02  1.0000e+05  1.0000e+05
 1.8881e-02  1.0000e+05  1.0000e+05
 1.8911e-02  1.0000e+05  1.0000e+05
 1.9132e-02  1.0000e+05  1.0000e+05
 1.9137e-02  1.0000e+05  1.0000e+05
