#      mass       lower       upper
 1.0300e-03  1.6406e-04  2.0787e-02
 1.0465e-03  1.6344e-04  2.2697e-02
 1.0485e-03  1.6337e-04  2.2962e-02
 1.0595e-03  1.6332e-04  2.3889e-02
 1.0753e-03  1.6329e-04  2.1382e-02
 1.1099e-03  1.6317e-04  2.0821e-02
 1.1187e-03  1.6316e-04  1.9010e-02
 1.1826e-03  1.6298e-04  1.6360e-02
 1.1830e-03  1.6301e-04  1.6354e-02
 1.1860e-03  1.6318e-04  1.6320e-02
 1.2011e-03  1.6408e-04  1.6190e-02
 1.2712e-03  1.6842e-04  1.5154e-02
 1.3245e-03  1.7169e-04  1.3978e-02
 1.3385e-03  1.7254e-04  1.3748e-02
 1.3578e-03  1.7375e-04  1.3411e-02
 1.4880e-03  1.8218e-04  1.2097e-02
 1.5357e-03  1.8522e-04  1.1500e-02
 1.5590e-03  1.8671e-04  1.1240e-02
 1.6524e-03  1.9278e-04  1.0488e-02
 1.6683e-03  1.9381e-04  1.0349e-02
 1.7898e-03  2.0157e-04  9.3975e-03
 1.8188e-03  2.0344e-04  9.2286e-03
 1.8332e-03  2.0436e-04  9.1493e-03
 1.9661e-03  2.1289e-04  8.3658e-03
 2.0319e-03  2.1711e-04  7.9416e-03
 2.0550e-03  2.1859e-04  7.7864e-03
 2.1700e-03  2.2605e-04  7.2973e-03
 2.2499e-03  2.3115e-04  6.9565e-03
 2.3595e-03  2.3819e-04  6.4583e-03
 2.4899e-03  2.4659e-04  6.0653e-03
 2.5997e-03  2.5374e-04  5.7132e-03
 2.7092e-03  2.6078e-04  5.3595e-03
 2.7538e-03  2.6370e-04  5.2639e-03
 2.8743e-03  2.7158e-04  4.9975e-03
 3.0432e-03  2.8277e-04  4.6011e-03
 3.0988e-03  2.8655e-04  4.4638e-03
 3.1105e-03  2.8735e-04  4.4385e-03
 3.1139e-03  2.8758e-04  4.4323e-03
 3.3605e-03  3.0446e-04  3.9831e-03
 3.5713e-03  3.1976e-04  3.5618e-03
 3.6125e-03  3.2298e-04  3.4793e-03
 3.6905e-03  3.2864e-04  3.3994e-03
 4.0646e-03  3.5787e-04  2.8746e-03
 4.0900e-03  3.6006e-04  2.8363e-03
 4.1004e-03  3.6098e-04  2.8203e-03
 4.3535e-03  3.8304e-04  2.5584e-03
 4.5055e-03  3.9722e-04  2.3999e-03
 4.7079e-03  4.1913e-04  2.1740e-03
 4.9586e-03  4.4764e-04  1.9718e-03
 5.0989e-03  4.6695e-04  1.8499e-03
 5.4054e-03  5.1988e-04  1.5719e-03
 5.4508e-03  5.2834e-04  1.5404e-03
 5.5461e-03  5.4849e-04  1.4713e-03
 5.9132e-03  1.0000e+05  1.0000e+05
 5.9806e-03  1.0000e+05  1.0000e+05
 6.2063e-03  1.0000e+05  1.0000e+05
 6.5471e-03  1.0000e+05  1.0000e+05
 6.7713e-03  1.0000e+05  1.0000e+05
 7.1258e-03  1.0000e+05  1.0000e+05
 7.1792e-03  1.0000e+05  1.0000e+05
 7.6361e-03  1.0000e+05  1.0000e+05
 7.7626e-03  1.0000e+05  1.0000e+05
 8.1814e-03  1.0000e+05  1.0000e+05
 8.3806e-03  1.0000e+05  1.0000e+05
 8.4597e-03  1.0000e+05  1.0000e+05
 8.5856e-03  1.0000e+05  1.0000e+05
 8.9197e-03  1.0000e+05  1.0000e+05
 8.9598e-03  1.0000e+05  1.0000e+05
 9.1563e-03  1.0000e+05  1.0000e+05
 9.1891e-03  1.0000e+05  1.0000e+05
 9.3937e-03  1.0000e+05  1.0000e+05
 9.4508e-03  1.0000e+05  1.0000e+05
 9.4739e-03  1.0000e+05  1.0000e+05
 9.6277e-03  1.0000e+05  1.0000e+05
 9.7002e-03  1.0000e+05  1.0000e+05
 9.7456e-03  1.0000e+05  1.0000e+05
 9.7692e-03  1.0000e+05  1.0000e+05
