#      mass       lower
 2.1410e-01  5.3617e-04
 2.1420e-01  4.8096e-04
 2.1430e-01  2.8240e-04
 2.1450e-01  2.2916e-04
 2.1460e-01  2.0072e-04
 2.1470e-01  2.7659e-04
 2.1490e-01  4.1793e-04
 2.1500e-01  5.8300e-04
 2.1520e-01  6.4827e-04
 2.1530e-01  5.2135e-04
 2.1550e-01  5.0296e-04
 2.1560e-01  3.6025e-04
 2.1580e-01  3.2696e-04
 2.1590e-01  3.3426e-04
 2.1610e-01  3.6771e-04
 2.1620e-01  3.7684e-04
 2.1640e-01  5.4188e-04
 2.1660e-01  4.2885e-04
 2.1670e-01  4.0659e-04
 2.1690e-01  4.4069e-04
 2.1710e-01  4.8082e-04
 2.1730e-01  5.2408e-04
 2.1750e-01  6.3948e-04
 2.1770e-01  4.0036e-04
 2.1780e-01  2.5151e-04
 2.1800e-01  3.5268e-04
 2.1820e-01  2.5118e-04
 2.1840e-01  2.1992e-04
 2.1860e-01  2.1205e-04
 2.1880e-01  3.0922e-04
 2.1910e-01  4.3913e-04
 2.1930e-01  5.3159e-04
 2.1950e-01  5.7144e-04
 2.1970e-01  5.7227e-04
 2.1990e-01  5.6869e-04
 2.2010e-01  5.6332e-04
 2.2040e-01  5.9108e-04
 2.2060e-01  5.9954e-04
 2.2080e-01  5.2646e-04
 2.2110e-01  5.2364e-04
 2.2130e-01  5.1177e-04
 2.2160e-01  4.5222e-04
 2.2180e-01  2.9433e-04
 2.2200e-01  4.2860e-04
 2.2230e-01  3.1074e-04
 2.2260e-01  4.8027e-04
 2.2280e-01  4.8147e-04
 2.2310e-01  4.1084e-04
 2.2330e-01  3.9535e-04
 2.2360e-01  3.2865e-04
 2.2390e-01  3.0476e-04
 2.2410e-01  2.9747e-04
 2.2440e-01  3.4598e-04
 2.2470e-01  3.6108e-04
 2.2500e-01  4.5190e-04
 2.2530e-01  5.3441e-04
 2.2560e-01  5.9122e-04
 2.2590e-01  5.0778e-04
 2.2620e-01  4.1031e-04
 2.2650e-01  4.2686e-04
 2.2680e-01  2.8967e-04
 2.2710e-01  2.8741e-04
 2.2740e-01  3.3042e-04
 2.2770e-01  4.4388e-04
 2.2800e-01  3.6337e-04
 2.2830e-01  4.3680e-04
 2.2860e-01  5.7143e-04
 2.2900e-01  6.8038e-04
 2.2930e-01  5.8456e-04
 2.2960e-01  5.5436e-04
 2.3000e-01  4.9226e-04
 2.3030e-01  4.5324e-04
 2.3060e-01  4.2854e-04
 2.3100e-01  4.2928e-04
 2.3130e-01  4.7372e-04
 2.3170e-01  4.9785e-04
 2.3200e-01  4.6058e-04
 2.3240e-01  4.2952e-04
 2.3270e-01  2.8676e-04
 2.3310e-01  2.5606e-04
 2.3350e-01  2.6007e-04
 2.3380e-01  3.2226e-04
 2.3420e-01  3.9961e-04
 2.3460e-01  4.7693e-04
 2.3500e-01  5.8486e-04
 2.3530e-01  5.0543e-04
 2.3570e-01  5.1287e-04
 2.3610e-01  4.5576e-04
 2.3650e-01  6.0956e-04
 2.3690e-01  6.2673e-04
 2.3730e-01  5.9274e-04
 2.3770e-01  4.3514e-04
 2.3810e-01  4.2132e-04
 2.3850e-01  5.1306e-04
 2.3890e-01  5.5574e-04
 2.3930e-01  4.2126e-04
 2.3980e-01  3.7307e-04
 2.4020e-01  3.7167e-04
 2.4060e-01  3.9230e-04
 2.4100e-01  5.1992e-04
 2.4150e-01  4.7824e-04
 2.4190e-01  4.2742e-04
 2.4230e-01  2.7477e-04
 2.4280e-01  3.3518e-04
 2.4320e-01  2.9683e-04
 2.4370e-01  3.5765e-04
 2.4410e-01  4.9320e-04
 2.4460e-01  5.5609e-04
 2.4500e-01  6.9120e-04
 2.4550e-01  6.4412e-04
 2.4600e-01  6.4026e-04
 2.4640e-01  5.1245e-04
 2.4690e-01  6.3572e-04
 2.4740e-01  5.5972e-04
 2.4780e-01  3.9294e-04
 2.4830e-01  5.0808e-04
 2.4880e-01  5.1489e-04
 2.4930e-01  3.1167e-04
 2.4980e-01  2.8326e-04
 2.5030e-01  2.7012e-04
 2.5080e-01  2.8911e-04
 2.5130e-01  4.2895e-04
 2.5180e-01  4.4530e-04
 2.5230e-01  3.8147e-04
 2.5280e-01  3.3808e-04
 2.5330e-01  3.1321e-04
 2.5380e-01  3.7104e-04
 2.5430e-01  4.5250e-04
 2.5480e-01  6.3832e-04
 2.5540e-01  5.5010e-04
 2.5590e-01  5.1151e-04
 2.5640e-01  4.9298e-04
 2.5700e-01  5.4161e-04
 2.5750e-01  3.6551e-04
 2.5800e-01  5.0400e-04
 2.5860e-01  3.3763e-04
 2.5910e-01  4.2767e-04
 2.5970e-01  4.7458e-04
