#      mass       lower
 8.9907e-03  1.2664e-03
 9.0814e-03  1.0578e-03
 9.1546e-03  1.1646e-03
 9.2284e-03  1.2507e-03
 9.3215e-03  1.1138e-03
 9.3967e-03  1.1359e-03
 9.4724e-03  1.0692e-03
 9.5488e-03  1.0484e-03
 9.6258e-03  9.3371e-04
 9.7034e-03  8.0103e-04
 9.8013e-03  8.7725e-04
 9.8803e-03  7.7990e-04
 9.9599e-03  8.0389e-04
 1.0040e-02  8.0820e-04
 1.0121e-02  6.5492e-04
 1.0182e-02  7.6476e-04
 1.0264e-02  5.2959e-04
 1.0347e-02  6.3764e-04
 1.0431e-02  6.2972e-04
 1.0515e-02  8.4955e-04
 1.0599e-02  8.9143e-04
 1.0663e-02  9.0908e-04
 1.0749e-02  8.3603e-04
 1.0836e-02  8.5259e-04
 1.0923e-02  8.3902e-04
 1.1034e-02  8.9143e-04
 1.1123e-02  9.3038e-04
 1.1235e-02  8.5410e-04
 1.1325e-02  8.5562e-04
 1.1440e-02  8.2273e-04
 1.1532e-02  8.2714e-04
 1.1625e-02  7.3273e-04
 1.1742e-02  6.6669e-04
 1.1837e-02  7.3535e-04
 1.1932e-02  8.2419e-04
 1.2028e-02  8.9461e-04
 1.2125e-02  8.3009e-04
 1.2223e-02  8.3752e-04
 1.2322e-02  8.0389e-04
 1.2421e-02  6.2193e-04
 1.2521e-02  6.7626e-04
 1.2622e-02  6.2414e-04
 1.2724e-02  6.2637e-04
 1.2827e-02  6.6195e-04
 1.2930e-02  8.0245e-04
 1.3034e-02  7.5393e-04
 1.3139e-02  8.1398e-04
 1.3245e-02  6.9707e-04
 1.3325e-02  7.6612e-04
 1.3433e-02  6.7386e-04
 1.3541e-02  4.5771e-04
 1.3623e-02  5.5985e-04
 1.3733e-02  5.1212e-04
 1.3843e-02  6.8475e-04
 1.3927e-02  7.5932e-04
 1.4039e-02  8.9460e-04
 1.4124e-02  8.3603e-04
 1.4238e-02  8.6021e-04
 1.4324e-02  7.8547e-04
 1.4439e-02  8.6174e-04
 1.4527e-02  7.9109e-04
 1.4644e-02  6.5725e-04
 1.4762e-02  7.2752e-04
 1.4881e-02  9.0423e-04
 1.5001e-02  1.0391e-03
 1.5122e-02  9.7277e-04
 1.5244e-02  9.9203e-04
 1.5366e-02  9.3871e-04
 1.5459e-02  9.5049e-04
 1.5584e-02  7.9817e-04
 1.5710e-02  6.4910e-04
 1.5836e-02  6.3877e-04
 1.5964e-02  7.5796e-04
 1.6060e-02  8.1980e-04
 1.6190e-02  7.4990e-04
 1.6320e-02  7.3666e-04
 1.6419e-02  8.1108e-04
 1.6551e-02  8.0388e-04
 1.6685e-02  7.1979e-04
 1.6786e-02  7.7851e-04
 1.6921e-02  9.0907e-04
 1.7023e-02  8.5868e-04
 1.7160e-02  8.2273e-04
 1.7264e-02  1.1564e-03
 1.7403e-02  1.0942e-03
 1.7508e-02  9.9557e-04
 1.7649e-02  9.5729e-04
 1.7756e-02  9.8148e-04
 1.7863e-02  8.6020e-04
 1.8007e-02  6.9335e-04
 1.8116e-02  7.3143e-04
 1.8226e-02  7.4857e-04
 1.8336e-02  7.9109e-04
 1.8483e-02  6.8231e-04
 1.8595e-02  8.8825e-04
 1.8745e-02  9.3370e-04
 1.8896e-02  9.0907e-04
 1.9048e-02  1.0749e-03
 1.9164e-02  9.9912e-04
 1.9318e-02  9.9026e-04
 1.9435e-02  7.3143e-04
 1.9591e-02  9.1721e-04
 1.9749e-02  7.8828e-04
 1.9869e-02  6.7867e-04
 2.0029e-02  6.9211e-04
 2.0150e-02  6.1202e-04
 2.0312e-02  6.1421e-04
 2.0435e-02  5.1671e-04
 2.0558e-02  5.3545e-04
 2.0724e-02  6.1202e-04
 2.0849e-02  5.6486e-04
 2.0975e-02  4.7603e-04
 2.1144e-02  5.9060e-04
 2.1272e-02  5.2226e-04
 2.1401e-02  4.5125e-04
 2.1573e-02  4.7013e-04
 2.1704e-02  6.8597e-04
 2.1835e-02  9.2212e-04
 2.1967e-02  8.7101e-04
 2.2099e-02  9.1721e-04
 2.2233e-02  1.0654e-03
 2.2412e-02  1.0768e-03
 2.2593e-02  7.6612e-04
 2.2729e-02  5.6285e-04
 2.2912e-02  5.7810e-04
 2.3051e-02  6.0336e-04
 2.3237e-02  5.0939e-04
 2.3377e-02  4.8632e-04
 2.3518e-02  5.4411e-04
 2.3708e-02  5.5094e-04
 2.3851e-02  5.3260e-04
 2.3995e-02  4.9772e-04
 2.4189e-02  5.8016e-04
 2.4335e-02  6.0444e-04
 2.4482e-02  7.1087e-04
 2.4679e-02  8.8984e-04
 2.4828e-02  8.3902e-04
 2.4978e-02  8.8037e-04
 2.5129e-02  8.2126e-04
 2.5281e-02  8.7568e-04
 2.5433e-02  7.5662e-04
 2.5638e-02  8.0532e-04
 2.5793e-02  7.7435e-04
 2.5949e-02  8.0819e-04
 2.6106e-02  7.2882e-04
 2.6264e-02  6.8475e-04
 2.6475e-02  6.1203e-04
 2.6635e-02  5.5587e-04
 2.6796e-02  5.1212e-04
 2.7012e-02  4.8546e-04
 2.7175e-02  6.2749e-04
 2.7340e-02  5.3737e-04
 2.7560e-02  6.2415e-04
 2.7726e-02  7.4458e-04
 2.7894e-02  7.9817e-04
 2.8062e-02  9.8148e-04
 2.8232e-02  8.0389e-04
 2.8460e-02  9.0908e-04
 2.8631e-02  7.4591e-04
 2.8804e-02  6.4335e-04
 2.8978e-02  7.3535e-04
 2.9153e-02  5.7914e-04
 2.9330e-02  6.4220e-04
 2.9507e-02  7.4062e-04
 2.9685e-02  8.0102e-04
 2.9864e-02  7.2365e-04
 3.0105e-02  5.5291e-04
 3.0287e-02  5.6587e-04
 3.0470e-02  5.0758e-04
 3.0654e-02  4.9507e-04
 3.0901e-02  5.3451e-04
 3.1088e-02  6.4450e-04
 3.1276e-02  6.9583e-04
 3.1464e-02  6.0230e-04
 3.1655e-02  6.3765e-04
 3.1910e-02  7.3798e-04
 3.2102e-02  9.1396e-04
 3.2296e-02  9.1885e-04
 3.2491e-02  9.1885e-04
 3.2688e-02  9.2708e-04
 3.2885e-02  8.1543e-04
 3.3084e-02  6.5492e-04
 3.3284e-02  5.8121e-04
 3.3485e-02  5.9482e-04
 3.3687e-02  4.5937e-04
 3.3891e-02  5.1579e-04
 3.4095e-02  6.1642e-04
 3.4370e-02  7.2624e-04
 3.4578e-02  6.8354e-04
 3.4787e-02  5.8641e-04
 3.4997e-02  6.0986e-04
 3.5208e-02  5.8745e-04
 3.5421e-02  5.7094e-04
 3.5635e-02  5.0219e-04
 3.5850e-02  4.8633e-04
 3.6139e-02  4.2472e-04
 3.6357e-02  6.0230e-04
 3.6577e-02  7.5663e-04
 3.6798e-02  7.7574e-04
 3.7020e-02  7.6340e-04
 3.7169e-02  1.0045e-03
 3.7394e-02  1.1158e-03
 3.7620e-02  1.1461e-03
 3.7923e-02  1.0063e-03
 3.8152e-02  8.9622e-04
 3.8382e-02  9.4376e-04
 3.8614e-02  8.5411e-04
 3.8847e-02  1.0225e-03
 3.9082e-02  9.9382e-04
 3.9318e-02  9.5902e-04
 3.9556e-02  1.0063e-03
 3.9795e-02  9.7106e-04
 4.0035e-02  9.4040e-04
 4.0277e-02  9.6588e-04
 4.0520e-02  1.0280e-03
 4.0765e-02  1.0117e-03
 4.1011e-02  1.0711e-03
 4.1259e-02  1.2529e-03
 4.1508e-02  1.0099e-03
 4.1759e-02  6.5376e-04
 4.2011e-02  5.5391e-04
 4.2265e-02  5.5787e-04
 4.2520e-02  5.8746e-04
 4.2777e-02  6.4681e-04
 4.3035e-02  1.0692e-03
 4.3295e-02  1.2221e-03
 4.3557e-02  1.1984e-03
 4.3820e-02  1.1751e-03
 4.4085e-02  1.1646e-03
 4.4351e-02  9.9382e-04
 4.4619e-02  8.8669e-04
 4.4889e-02  7.1597e-04
 4.5160e-02  8.5870e-04
 4.5432e-02  8.0104e-04
 4.5707e-02  8.1982e-04
 4.5983e-02  9.1887e-04
 4.6261e-02  8.1255e-04
 4.6540e-02  1.0207e-03
 4.6821e-02  9.6934e-04
 4.7104e-02  9.0748e-04
 4.7389e-02  9.2380e-04
 4.7675e-02  8.9943e-04
 4.7963e-02  1.0982e-03
 4.8253e-02  1.0962e-03
 4.8544e-02  1.1080e-03
 4.8837e-02  1.1060e-03
 4.9034e-02  1.1814e-03
 4.9330e-02  1.2091e-03
 4.9628e-02  1.0635e-03
 4.9928e-02  9.8501e-04
 5.0229e-02  1.2484e-03
 5.0533e-02  1.1835e-03
 5.0838e-02  1.1856e-03
 5.1145e-02  8.8828e-04
 5.1454e-02  6.8722e-04
 5.1765e-02  7.9394e-04
 5.2078e-02  6.5845e-04
 5.2392e-02  6.5963e-04
 5.2709e-02  5.8434e-04
 5.3027e-02  8.0822e-04
 5.3347e-02  1.0010e-03
 5.3670e-02  8.0392e-04
 5.3994e-02  6.4108e-04
 5.4211e-02  7.5799e-04
 5.4539e-02  6.3088e-04
 5.4868e-02  8.4354e-04
 5.5199e-02  7.4594e-04
 5.5533e-02  8.8040e-04
 5.5868e-02  9.5562e-04
 5.6206e-02  9.3374e-04
 5.6545e-02  1.0225e-03
 5.6887e-02  7.3407e-04
 5.7231e-02  6.3994e-04
 5.7576e-02  6.8478e-04
 5.7808e-02  9.2381e-04
 5.8157e-02  8.9625e-04
 5.8508e-02  1.0943e-03
 5.8862e-02  1.0826e-03
 5.9217e-02  1.2485e-03
 5.9575e-02  1.2069e-03
 5.9935e-02  8.9147e-04
 6.0297e-02  8.7728e-04
 6.0540e-02  8.5566e-04
 6.0905e-02  1.1060e-03
 6.1273e-02  9.7803e-04
