#      mass       lower       upper
 1.0300e-03  1.6580e-06  1.1934e-03
 1.0416e-03  1.6228e-06  1.4293e-03
 1.0513e-03  1.5931e-06  1.5152e-03
 1.0692e-03  1.5366e-06  1.3783e-03
 1.1016e-03  1.4284e-06  1.3661e-03
 1.1125e-03  1.3900e-06  1.2412e-03
 1.1180e-03  1.3705e-06  1.1411e-03
 1.1266e-03  1.3390e-06  1.1392e-03
 1.1807e-03  1.1982e-06  1.0794e-03
 1.1826e-03  1.1930e-06  1.0745e-03
 1.2905e-03  1.1576e-06  9.8606e-04
 1.3333e-03  1.1449e-06  9.2867e-04
 1.3578e-03  1.1375e-06  9.0427e-04
 1.4317e-03  1.1310e-06  8.2407e-04
 1.5079e-03  1.1243e-06  7.9660e-04
 1.5590e-03  1.1202e-06  7.7516e-04
 1.5728e-03  1.1200e-06  7.6863e-04
 1.7371e-03  1.1180e-06  6.8849e-04
 1.7898e-03  1.1175e-06  6.5895e-04
 1.8447e-03  1.1185e-06  6.4054e-04
 1.9001e-03  1.1196e-06  6.2101e-04
 2.0550e-03  1.1224e-06  5.6497e-04
 2.2756e-03  1.1299e-06  5.1213e-04
 2.3368e-03  1.1318e-06  4.9618e-04
 2.3482e-03  1.1322e-06  4.9222e-04
 2.3595e-03  1.1325e-06  4.9034e-04
 2.4043e-03  1.1343e-06  4.8103e-04
 2.5962e-03  1.1419e-06  4.4218e-04
 2.7092e-03  1.1462e-06  4.1747e-04
 2.7578e-03  1.1482e-06  4.0612e-04
 2.8688e-03  1.1528e-06  3.9427e-04
 2.9582e-03  1.1566e-06  3.8114e-04
 3.1105e-03  1.1626e-06  3.5759e-04
 3.2421e-03  1.1681e-06  3.3512e-04
 3.3674e-03  1.1733e-06  3.2613e-04
 3.5499e-03  1.1805e-06  3.1256e-04
 3.5713e-03  1.1814e-06  3.1025e-04
 3.6126e-03  1.1830e-06  3.0655e-04
 3.8301e-03  1.1918e-06  2.8804e-04
 4.1004e-03  1.2022e-06  2.6325e-04
 4.3584e-03  1.2122e-06  2.4745e-04
 4.4417e-03  1.2154e-06  2.4230e-04
 4.7079e-03  1.2250e-06  2.2510e-04
 4.9458e-03  1.2337e-06  2.1522e-04
 5.3852e-03  1.2491e-06  1.9574e-04
 5.4054e-03  1.2498e-06  1.9482e-04
 5.6153e-03  1.2570e-06  1.8387e-04
 5.7928e-03  1.2630e-06  1.7409e-04
 6.2063e-03  1.2766e-06  1.6467e-04
 6.3720e-03  1.2820e-06  1.6044e-04
 6.5899e-03  1.2888e-06  1.5472e-04
 7.1258e-03  1.3054e-06  1.4024e-04
 7.2272e-03  1.3085e-06  1.3847e-04
 8.1046e-03  1.3340e-06  1.2221e-04
 8.1427e-03  1.3351e-06  1.2121e-04
 8.1814e-03  1.3362e-06  1.2072e-04
 8.1940e-03  1.3365e-06  1.2052e-04
 8.3146e-03  1.3400e-06  1.1860e-04
 8.3488e-03  1.3409e-06  1.1805e-04
 9.2853e-03  1.3664e-06  1.0358e-04
 9.3937e-03  1.3693e-06  1.0178e-04
 9.5456e-03  1.3738e-06  9.9140e-05
 9.8769e-03  1.3836e-06  9.6438e-05
 1.0501e-02  1.4018e-06  8.9397e-05
 1.0785e-02  1.4100e-06  8.6007e-05
 1.1852e-02  1.4429e-06  7.7616e-05
 1.2045e-02  1.4488e-06  7.6008e-05
 1.2383e-02  1.4590e-06  7.3205e-05
 1.3234e-02  1.4847e-06  6.7743e-05
 1.3361e-02  1.4885e-06  6.6989e-05
 1.4218e-02  1.5141e-06  6.1668e-05
 1.4612e-02  1.5258e-06  5.9805e-05
 1.5046e-02  1.5387e-06  5.7790e-05
 1.6324e-02  1.5765e-06  5.1427e-05
 1.6922e-02  1.5943e-06  4.9426e-05
 1.7628e-02  1.6152e-06  4.6968e-05
 1.8743e-02  1.6482e-06  4.2983e-05
 2.0369e-02  1.6974e-06  3.8986e-05
 2.1205e-02  1.7223e-06  3.6782e-05
 2.1319e-02  1.7258e-06  3.6489e-05
 2.1520e-02  1.7319e-06  3.5974e-05
 2.1842e-02  1.7426e-06  3.5313e-05
 2.2566e-02  1.7656e-06  3.3787e-05
 2.4708e-02  1.8327e-06  2.9635e-05
 2.5349e-02  1.8541e-06  2.8688e-05
 2.6662e-02  1.8977e-06  2.6779e-05
 2.8369e-02  1.9572e-06  2.4100e-05
 2.9741e-02  2.0035e-06  2.2633e-05
 3.0092e-02  2.0163e-06  2.2244e-05
 3.2571e-02  2.1084e-06  1.9485e-05
 3.3112e-02  2.1279e-06  1.9070e-05
 3.4978e-02  2.1993e-06  1.7577e-05
 3.5565e-02  2.2236e-06  1.7085e-05
 3.7397e-02  2.3012e-06  1.5564e-05
 3.8985e-02  2.3818e-06  1.4103e-05
 4.0768e-02  2.4642e-06  1.3315e-05
 4.1667e-02  2.5108e-06  1.2901e-05
 4.2938e-02  2.5844e-06  1.2074e-05
 4.5006e-02  2.7102e-06  1.1096e-05
 4.8251e-02  2.9654e-06  9.3844e-06
 4.9299e-02  3.0651e-06  8.8092e-06
 4.9516e-02  3.0844e-06  8.7254e-06
 4.9978e-02  3.1288e-06  8.5417e-06
 5.4293e-02  1.0000e+05  1.0000e+05
 5.5221e-02  4.0953e-06  5.8549e-06
 5.6603e-02  1.0000e+05  1.0000e+05
 5.9260e-02  1.0000e+05  1.0000e+05
 6.2092e-02  1.0000e+05  1.0000e+05
 6.3467e-02  1.0000e+05  1.0000e+05
 6.4345e-02  1.0000e+05  1.0000e+05
 6.4990e-02  1.0000e+05  1.0000e+05
 6.6855e-02  1.0000e+05  1.0000e+05
 6.8927e-02  1.0000e+05  1.0000e+05
 6.9192e-02  1.0000e+05  1.0000e+05
 7.3153e-02  1.0000e+05  1.0000e+05
 7.3793e-02  1.0000e+05  1.0000e+05
 7.4618e-02  1.0000e+05  1.0000e+05
 7.4892e-02  1.0000e+05  1.0000e+05
 7.5159e-02  1.0000e+05  1.0000e+05
 7.7702e-02  1.0000e+05  1.0000e+05
 7.8907e-02  1.0000e+05  1.0000e+05
 7.8948e-02  1.0000e+05  1.0000e+05
 8.0314e-02  1.0000e+05  1.0000e+05
 8.0701e-02  1.0000e+05  1.0000e+05
