#      mass       lower
 2.0042e-02  1.0000e+05
 2.0241e-02  8.5677e-05
 2.0770e-02  9.1952e-05
 2.1298e-02  9.3501e-05
 2.1825e-02  8.6888e-05
 2.2352e-02  8.5520e-05
 2.2878e-02  8.4290e-05
 2.3404e-02  8.1054e-05
 2.3929e-02  7.7725e-05
 2.4454e-02  7.2715e-05
 2.4979e-02  6.8073e-05
 2.5502e-02  6.5048e-05
 2.6026e-02  6.5396e-05
 2.6549e-02  6.4798e-05
 2.7071e-02  6.7141e-05
 2.7593e-02  7.3191e-05
 2.8114e-02  7.8789e-05
 2.8635e-02  8.3250e-05
 2.9156e-02  8.5481e-05
 2.9676e-02  8.6422e-05
 3.0195e-02  8.7412e-05
 3.0715e-02  8.9976e-05
 3.1236e-02  9.1942e-05
 3.1760e-02  8.3456e-05
 3.2285e-02  7.6632e-05
 3.2813e-02  6.6230e-05
 3.3342e-02  5.6798e-05
 3.3874e-02  5.0998e-05
 3.4408e-02  4.6320e-05
 3.4944e-02  4.5603e-05
 3.5482e-02  4.9067e-05
 3.6022e-02  5.0591e-05
 3.6564e-02  5.2116e-05
 3.7108e-02  4.9846e-05
 3.7655e-02  5.1170e-05
 3.8203e-02  5.6013e-05
 3.8753e-02  5.8964e-05
 3.9306e-02  6.2063e-05
 3.9861e-02  6.2621e-05
 4.0418e-02  6.6587e-05
 4.0976e-02  7.0053e-05
 4.1536e-02  7.3230e-05
 4.2096e-02  7.4220e-05
 4.2658e-02  7.1382e-05
 4.3220e-02  7.1397e-05
 4.3783e-02  6.9637e-05
 4.4347e-02  6.7401e-05
 4.4912e-02  6.8656e-05
 4.5478e-02  7.1475e-05
 4.6045e-02  6.8352e-05
 4.6613e-02  6.7102e-05
 4.7182e-02  5.9960e-05
 4.7752e-02  5.3479e-05
 4.8322e-02  4.2838e-05
 4.8894e-02  3.7126e-05
 4.9467e-02  3.4036e-05
 5.0040e-02  3.3038e-05
 5.0615e-02  3.4410e-05
 5.1187e-02  3.5678e-05
 5.1757e-02  3.7036e-05
 5.2325e-02  3.9784e-05
 5.2890e-02  4.4424e-05
 5.3453e-02  4.2272e-05
 5.4012e-02  4.2717e-05
 5.4569e-02  4.5503e-05
 5.5124e-02  4.6859e-05
 5.5676e-02  5.1057e-05
 5.6225e-02  5.7548e-05
 5.6772e-02  6.2332e-05
 5.7317e-02  6.4205e-05
 5.7859e-02  6.5269e-05
 5.8399e-02  6.4857e-05
 5.8935e-02  6.4175e-05
 5.9470e-02  6.4435e-05
 6.0002e-02  6.6818e-05
 6.0532e-02  6.7573e-05
 6.1060e-02  6.5984e-05
 6.1586e-02  6.2901e-05
 6.2112e-02  5.6999e-05
 6.2637e-02  4.9037e-05
 6.3160e-02  4.6243e-05
 6.3682e-02  4.3728e-05
 6.4204e-02  4.3077e-05
 6.4724e-02  4.3011e-05
 6.5243e-02  4.4414e-05
 6.5761e-02  4.3229e-05
 6.6277e-02  4.5168e-05
 6.6793e-02  4.4120e-05
 6.7308e-02  4.3495e-05
 6.7820e-02  4.4870e-05
 6.8333e-02  4.8744e-05
 6.8844e-02  5.0582e-05
 6.9354e-02  5.2037e-05
 6.9863e-02  5.2337e-05
 7.0372e-02  5.3444e-05
 7.0879e-02  4.6868e-05
 7.1389e-02  4.4245e-05
 7.1904e-02  4.2830e-05
 7.2421e-02  4.1480e-05
 7.2942e-02  4.1944e-05
 7.3467e-02  4.1081e-05
 7.3994e-02  3.9368e-05
 7.4525e-02  3.9896e-05
 7.5060e-02  4.1764e-05
 7.5598e-02  4.7831e-05
 7.6140e-02  5.6165e-05
 7.6685e-02  6.7499e-05
 7.7234e-02  7.5152e-05
 7.7786e-02  7.6485e-05
 7.8342e-02  7.3470e-05
 7.8902e-02  6.7671e-05
 7.9465e-02  6.4999e-05
 8.0032e-02  6.4327e-05
 8.0603e-02  5.8513e-05
 8.1175e-02  5.0376e-05
 8.1743e-02  4.1548e-05
 8.2309e-02  3.3927e-05
 8.2872e-02  3.0449e-05
 8.3432e-02  2.9338e-05
 8.3989e-02  3.0270e-05
 8.4544e-02  3.0965e-05
 8.5096e-02  3.4059e-05
 8.5644e-02  3.8998e-05
 8.6190e-02  4.3446e-05
 8.6734e-02  4.3180e-05
 8.7274e-02  4.2579e-05
 8.7812e-02  4.1063e-05
 8.8349e-02  4.1309e-05
 8.8881e-02  4.2185e-05
 8.9410e-02  4.5036e-05
 8.9938e-02  4.5632e-05
 9.0463e-02  4.8556e-05
 9.0985e-02  5.3954e-05
 9.1509e-02  5.7950e-05
 9.2034e-02  6.1871e-05
 9.2561e-02  6.2803e-05
 9.3089e-02  6.0317e-05
 9.3617e-02  5.5361e-05
 9.4148e-02  4.9503e-05
 9.4679e-02  4.3812e-05
 9.5213e-02  4.1422e-05
 9.5747e-02  4.3067e-05
 9.6282e-02  4.6949e-05
 9.6819e-02  5.0974e-05
 9.7358e-02  5.4935e-05
 9.7896e-02  5.6856e-05
 9.8438e-02  5.5881e-05
 9.8979e-02  5.6381e-05
 9.9523e-02  5.4469e-05
 1.0007e-01  4.8550e-05
 1.0061e-01  4.4455e-05
 1.0116e-01  3.8122e-05
 1.0171e-01  3.1954e-05
 1.0226e-01  2.8745e-05
 1.0281e-01  2.7730e-05
 1.0336e-01  2.7841e-05
 1.0391e-01  2.9118e-05
 1.0446e-01  2.9978e-05
 1.0501e-01  3.1205e-05
 1.0556e-01  3.2640e-05
 1.0612e-01  3.4719e-05
 1.0667e-01  3.7922e-05
 1.0722e-01  4.0583e-05
 1.0778e-01  4.1685e-05
 1.0833e-01  4.1973e-05
 1.0889e-01  4.1772e-05
 1.0945e-01  4.0434e-05
 1.1000e-01  3.8033e-05
 1.1056e-01  3.6248e-05
 1.1112e-01  3.4534e-05
 1.1168e-01  3.4723e-05
 1.1224e-01  3.5333e-05
 1.1280e-01  3.7040e-05
 1.1336e-01  3.8113e-05
 1.1392e-01  3.8123e-05
 1.1449e-01  3.7357e-05
 1.1505e-01  3.6645e-05
 1.1561e-01  3.7346e-05
 1.1618e-01  3.8089e-05
 1.1674e-01  3.6650e-05
 1.1731e-01  3.4633e-05
 1.1788e-01  3.2382e-05
 1.1844e-01  3.0832e-05
 1.1901e-01  3.0495e-05
 1.1958e-01  3.0955e-05
 1.2015e-01  3.2489e-05
 1.2072e-01  3.4874e-05
 1.2129e-01  3.7613e-05
 1.2186e-01  4.2389e-05
 1.2243e-01  4.6182e-05
 1.2301e-01  4.9596e-05
 1.2358e-01  5.2449e-05
 1.2415e-01  5.3479e-05
 1.2473e-01  5.2400e-05
 1.2530e-01  5.0885e-05
 1.2588e-01  4.8961e-05
 1.2645e-01  4.5899e-05
 1.2703e-01  4.4476e-05
 1.2761e-01  4.2799e-05
 1.2819e-01  4.2031e-05
 1.2877e-01  4.0610e-05
 1.2935e-01  3.9915e-05
 1.2993e-01  4.0634e-05
 1.3051e-01  4.2800e-05
 1.3109e-01  4.6870e-05
 1.3167e-01  4.9925e-05
 1.3225e-01  5.1680e-05
 1.3284e-01  5.1037e-05
 1.3342e-01  4.8891e-05
 1.3401e-01  4.7284e-05
 1.3459e-01  4.8196e-05
 1.3518e-01  4.8268e-05
 1.3577e-01  4.7390e-05
 1.3635e-01  4.5429e-05
 1.3694e-01  4.2907e-05
 1.3753e-01  4.1387e-05
 1.3812e-01  4.1881e-05
 1.3871e-01  4.2876e-05
 1.3930e-01  4.2840e-05
 1.3990e-01  4.1047e-05
 1.4049e-01  3.7361e-05
 1.4108e-01  3.4046e-05
 1.4167e-01  3.1212e-05
 1.4227e-01  2.8183e-05
 1.4286e-01  2.5915e-05
 1.4346e-01  2.4934e-05
 1.4406e-01  2.4684e-05
 1.4465e-01  2.5456e-05
 1.4525e-01  2.6997e-05
 1.4585e-01  2.8542e-05
 1.4645e-01  3.0570e-05
 1.4705e-01  3.3479e-05
 1.4765e-01  3.6894e-05
 1.4825e-01  3.9527e-05
 1.4885e-01  4.0217e-05
 1.4946e-01  3.6990e-05
 1.5006e-01  3.2046e-05
 1.5067e-01  2.8013e-05
 1.5127e-01  2.7659e-05
 1.5188e-01  2.9951e-05
 1.5248e-01  3.3738e-05
 1.5309e-01  3.7213e-05
 1.5370e-01  3.7236e-05
 1.5431e-01  3.7117e-05
 1.5492e-01  3.7504e-05
 1.5553e-01  3.9888e-05
 1.5614e-01  4.3467e-05
 1.5675e-01  4.7459e-05
 1.5736e-01  5.0645e-05
 1.5797e-01  5.1484e-05
 1.5859e-01  4.9802e-05
 1.5920e-01  4.7324e-05
 1.5981e-01  4.4628e-05
 1.6043e-01  4.3086e-05
 1.6105e-01  3.9970e-05
 1.6166e-01  3.6042e-05
 1.6228e-01  3.3550e-05
 1.6290e-01  3.2102e-05
 1.6352e-01  3.0485e-05
 1.6414e-01  2.8855e-05
 1.6476e-01  2.8037e-05
 1.6538e-01  2.7082e-05
 1.6600e-01  2.7470e-05
 1.6662e-01  2.8123e-05
 1.6725e-01  2.8729e-05
 1.6787e-01  3.0444e-05
 1.6850e-01  3.1962e-05
 1.6912e-01  3.4717e-05
 1.6975e-01  3.8325e-05
 1.7038e-01  4.2226e-05
 1.7100e-01  4.6385e-05
 1.7163e-01  4.9959e-05
 1.7226e-01  5.3141e-05
 1.7289e-01  5.3959e-05
 1.7352e-01  5.3827e-05
 1.7415e-01  5.2087e-05
 1.7479e-01  5.0611e-05
 1.7542e-01  4.9709e-05
 1.7605e-01  4.9670e-05
 1.7669e-01  4.9606e-05
 1.7732e-01  4.9479e-05
 1.7795e-01  4.6012e-05
 1.7859e-01  4.2588e-05
 1.7923e-01  3.9267e-05
 1.7987e-01  3.5544e-05
 1.8050e-01  3.3375e-05
 1.8114e-01  3.1987e-05
 1.8178e-01  3.1369e-05
 1.8243e-01  3.1050e-05
 1.8307e-01  2.9712e-05
 1.8371e-01  2.8429e-05
 1.8435e-01  2.7943e-05
 1.8500e-01  2.7389e-05
 1.8564e-01  2.6833e-05
 1.8628e-01  2.6130e-05
 1.8693e-01  2.5533e-05
 1.8758e-01  2.5119e-05
 1.8823e-01  2.5530e-05
 1.8887e-01  2.7445e-05
 1.8952e-01  3.0191e-05
 1.9017e-01  3.4593e-05
 1.9082e-01  3.6481e-05
 1.9147e-01  3.4799e-05
 1.9213e-01  3.1204e-05
 1.9278e-01  2.9205e-05
 1.9343e-01  2.9518e-05
 1.9409e-01  3.1262e-05
 1.9474e-01  3.3044e-05
 1.9540e-01  3.4318e-05
 1.9605e-01  3.4926e-05
 1.9671e-01  3.4892e-05
 1.9737e-01  3.5161e-05
 1.9803e-01  3.6465e-05
 1.9869e-01  3.8611e-05
 1.9935e-01  3.9423e-05
 2.0001e-01  4.0901e-05
