#      mass       lower       upper
 1.0300e-03  1.0163e-08  7.6373e-05
 1.0381e-03  9.9824e-09  8.2524e-05
 1.0449e-03  9.8283e-09  8.7323e-05
 1.0459e-03  9.8053e-09  8.7362e-05
 1.0573e-03  9.5580e-09  8.4597e-05
 1.0638e-03  9.4423e-09  8.0813e-05
 1.0924e-03  8.9161e-09  8.1149e-05
 1.1048e-03  8.6767e-09  7.3174e-05
 1.1276e-03  8.2191e-09  7.1406e-05
 1.1664e-03  7.5922e-09  6.5347e-05
 1.1680e-03  7.5683e-09  6.5017e-05
 1.1700e-03  7.5390e-09  6.3808e-05
 1.1826e-03  7.3510e-09  6.1941e-05
 1.2113e-03  7.2942e-09  6.1038e-05
 1.3114e-03  7.1159e-09  5.4938e-05
 1.3578e-03  7.0315e-09  5.2306e-05
 1.4255e-03  7.0007e-09  5.0267e-05
 1.5453e-03  6.9502e-09  4.5625e-05
 1.5590e-03  6.9445e-09  4.5111e-05
 1.5961e-03  6.9451e-09  4.4076e-05
 1.6445e-03  6.9454e-09  4.2820e-05
 1.7898e-03  6.9475e-09  3.8529e-05
 1.8693e-03  6.9623e-09  3.6946e-05
 1.8849e-03  6.9653e-09  3.6504e-05
 1.9606e-03  6.9789e-09  3.4242e-05
 2.0550e-03  6.9959e-09  3.3060e-05
 2.1541e-03  7.0201e-09  3.1731e-05
 2.3035e-03  7.0545e-09  2.9570e-05
 2.3595e-03  7.0675e-09  2.8740e-05
 2.4577e-03  7.0938e-09  2.7616e-05
 2.4638e-03  7.0953e-09  2.7544e-05
 2.7092e-03  7.1594e-09  2.4682e-05
 2.8003e-03  7.1851e-09  2.3925e-05
 2.8455e-03  7.1972e-09  2.3539e-05
 3.1105e-03  7.2670e-09  2.1215e-05
 3.1878e-03  7.2882e-09  2.0784e-05
 3.5391e-03  7.3794e-09  1.8695e-05
 3.5713e-03  7.3879e-09  1.8496e-05
 3.6260e-03  7.4027e-09  1.8219e-05
 3.6282e-03  7.4033e-09  1.8208e-05
 4.1004e-03  7.5215e-09  1.5797e-05
 4.3736e-03  7.5889e-09  1.4834e-05
 4.3875e-03  7.5922e-09  1.4785e-05
 4.6826e-03  7.6611e-09  1.3700e-05
 4.7079e-03  7.6669e-09  1.3603e-05
 4.7383e-03  7.6738e-09  1.3480e-05
 4.9258e-03  7.7162e-09  1.2692e-05
 5.4054e-03  7.8232e-09  1.1840e-05
 5.4412e-03  7.8310e-09  1.1764e-05
 6.0340e-03  7.9571e-09  1.0482e-05
 6.2063e-03  7.9918e-09  1.0080e-05
 6.7141e-03  8.0943e-09  9.3265e-06
