#      mass       lower       upper
 1.0300e-03  3.6484e-06  1.1987e-03
 1.0448e-03  3.5893e-06  1.3154e-03
 1.0567e-03  3.5424e-06  1.3896e-03
 1.0733e-03  3.4800e-06  1.2497e-03
 1.1073e-03  3.3442e-06  1.2247e-03
 1.1169e-03  3.3064e-06  1.1166e-03
 1.1821e-03  3.0282e-06  9.6676e-04
 1.1826e-03  3.0262e-06  9.6481e-04
 1.1830e-03  3.0262e-06  9.6461e-04
 1.1834e-03  3.0263e-06  9.6443e-04
 1.1926e-03  3.0283e-06  9.6080e-04
 1.3305e-03  3.0587e-06  8.2683e-04
 1.3496e-03  3.0630e-06  8.0894e-04
 1.3578e-03  3.0657e-06  8.0092e-04
 1.3683e-03  3.0725e-06  7.9127e-04
 1.4284e-03  3.1075e-06  7.2960e-04
 1.5590e-03  3.1793e-06  6.8180e-04
 1.5591e-03  3.1793e-06  6.8171e-04
 1.6647e-03  3.2518e-06  6.0746e-04
 1.7117e-03  3.2825e-06  5.9492e-04
 1.7898e-03  3.3353e-06  5.7256e-04
 1.8652e-03  3.3867e-06  5.4809e-04
 1.9150e-03  3.4206e-06  5.3188e-04
 2.0550e-03  3.5130e-06  4.8228e-04
 2.1589e-03  3.5622e-06  4.5827e-04
 2.2527e-03  3.6089e-06  4.3516e-04
 2.3595e-03  3.6634e-06  4.0851e-04
 2.4332e-03  3.6982e-06  3.9611e-04
 2.6412e-03  3.8031e-06  3.5861e-04
 2.7092e-03  3.8385e-06  3.4687e-04
 2.7360e-03  3.8515e-06  3.4316e-04
 2.7403e-03  3.8535e-06  3.4259e-04
 2.9334e-03  3.9528e-06  3.1629e-04
 3.0838e-03  4.0366e-06  2.9422e-04
 3.1105e-03  4.0526e-06  2.9014e-04
 3.3307e-03  4.1710e-06  2.6930e-04
 3.4676e-03  4.2498e-06  2.5595e-04
 3.5713e-03  4.3155e-06  2.4540e-04
 3.7300e-03  4.4271e-06  2.2757e-04
 3.8948e-03  4.5225e-06  2.1959e-04
 4.0797e-03  4.6393e-06  2.1034e-04
 4.1004e-03  4.6549e-06  2.0883e-04
 4.3629e-03  4.9107e-06  1.8556e-04
 4.3763e-03  4.9260e-06  1.8430e-04
 4.7079e-03  5.2178e-06  1.7117e-04
 4.8763e-03  5.3873e-06  1.6373e-04
 4.8839e-03  5.3958e-06  1.6338e-04
 5.4054e-03  6.0886e-06  1.3949e-04
 5.4442e-03  6.1542e-06  1.3761e-04
 5.5478e-03  6.3468e-06  1.3249e-04
 5.5811e-03  6.3912e-06  1.3172e-04
 5.8232e-03  6.7380e-06  1.2597e-04
 6.0573e-03  7.1547e-06  1.1831e-04
 6.2063e-03  7.4561e-06  1.1321e-04
 6.7008e-03  8.4105e-06  1.0195e-04
 6.9533e-03  8.9612e-06  9.5806e-05
 7.1258e-03  9.3444e-06  9.1611e-05
 7.3893e-03  9.8650e-06  8.6905e-05
 7.8591e-03  1.0896e-05  7.7996e-05
 8.0144e-03  1.1223e-05  7.5387e-05
 8.1281e-03  1.1475e-05  7.3431e-05
 8.1814e-03  1.1602e-05  7.2494e-05
 8.2082e-03  1.1670e-05  7.1950e-05
 8.2582e-03  1.1775e-05  7.1397e-05
 8.9099e-03  1.3232e-05  6.2190e-05
 9.3937e-03  1.4495e-05  5.4658e-05
 9.7001e-03  1.5354e-05  5.1141e-05
 1.0286e-02  1.7171e-05  4.4276e-05
 1.0584e-02  1.8438e-05  4.0284e-05
 1.0785e-02  1.9604e-05  3.7208e-05
 1.1291e-02  1.0000e+05  1.0000e+05
 1.1460e-02  1.0000e+05  1.0000e+05
 1.2383e-02  1.0000e+05  1.0000e+05
 1.2423e-02  1.0000e+05  1.0000e+05
 1.2468e-02  1.0000e+05  1.0000e+05
 1.2992e-02  1.0000e+05  1.0000e+05
 1.3314e-02  1.0000e+05  1.0000e+05
 1.4218e-02  1.0000e+05  1.0000e+05
 1.4371e-02  1.0000e+05  1.0000e+05
 1.4430e-02  1.0000e+05  1.0000e+05
 1.4567e-02  1.0000e+05  1.0000e+05
 1.4727e-02  1.0000e+05  1.0000e+05
 1.5476e-02  1.0000e+05  1.0000e+05
 1.6256e-02  1.0000e+05  1.0000e+05
 1.6300e-02  1.0000e+05  1.0000e+05
 1.6324e-02  1.0000e+05  1.0000e+05
 1.6411e-02  1.0000e+05  1.0000e+05
 1.6457e-02  1.0000e+05  1.0000e+05
 1.7340e-02  1.0000e+05  1.0000e+05
 1.7778e-02  1.0000e+05  1.0000e+05
 1.7936e-02  1.0000e+05  1.0000e+05
 1.7971e-02  1.0000e+05  1.0000e+05
 1.8175e-02  1.0000e+05  1.0000e+05
 1.8743e-02  1.0000e+05  1.0000e+05
 1.8818e-02  1.0000e+05  1.0000e+05
 1.8844e-02  1.0000e+05  1.0000e+05
 1.8881e-02  1.0000e+05  1.0000e+05
 1.8911e-02  1.0000e+05  1.0000e+05
 1.9132e-02  1.0000e+05  1.0000e+05
 1.9137e-02  1.0000e+05  1.0000e+05
