#      mass       lower       upper
 1.0300e-03  2.9637e-06  5.1830e-04
 1.0465e-03  2.9528e-06  5.5590e-04
 1.0485e-03  2.9515e-06  5.6154e-04
 1.0595e-03  2.9507e-06  5.8011e-04
 1.0753e-03  2.9499e-06  5.1598e-04
 1.1099e-03  2.9478e-06  4.9709e-04
 1.1187e-03  2.9474e-06  4.5328e-04
 1.1826e-03  2.9439e-06  3.8635e-04
 1.1830e-03  2.9443e-06  3.8621e-04
 1.1860e-03  2.9474e-06  3.8526e-04
 1.2011e-03  2.9636e-06  3.8155e-04
 1.2712e-03  3.0417e-06  3.5521e-04
 1.3245e-03  3.1004e-06  3.2688e-04
 1.3385e-03  3.1157e-06  3.2135e-04
 1.3578e-03  3.1374e-06  3.1329e-04
 1.4880e-03  3.2888e-06  2.8182e-04
 1.5357e-03  3.3434e-06  2.6782e-04
 1.5590e-03  3.3700e-06  2.6173e-04
 1.6524e-03  3.4787e-06  2.4417e-04
 1.6683e-03  3.4972e-06  2.4093e-04
 1.7898e-03  3.6358e-06  2.1890e-04
 1.8188e-03  3.6693e-06  2.1499e-04
 1.8332e-03  3.6856e-06  2.1316e-04
 1.9661e-03  3.8376e-06  1.9512e-04
 2.0319e-03  3.9124e-06  1.8538e-04
 2.0550e-03  3.9385e-06  1.8182e-04
 2.1700e-03  4.0709e-06  1.7062e-04
 2.2499e-03  4.1610e-06  1.6282e-04
 2.3595e-03  4.2846e-06  1.5142e-04
 2.4899e-03  4.4322e-06  1.4246e-04
 2.5997e-03  4.5567e-06  1.3444e-04
 2.7092e-03  4.6786e-06  1.2638e-04
 2.7538e-03  4.7294e-06  1.2421e-04
 2.8743e-03  4.8654e-06  1.1816e-04
 3.0432e-03  5.0566e-06  1.0916e-04
 3.0988e-03  5.1203e-06  1.0604e-04
 3.1105e-03  5.1337e-06  1.0546e-04
 3.1139e-03  5.1376e-06  1.0532e-04
 3.3605e-03  5.4211e-06  9.5164e-05
 3.5713e-03  5.6697e-06  8.5627e-05
 3.6125e-03  5.7211e-06  8.3761e-05
 3.6905e-03  5.8140e-06  8.1982e-05
 4.0646e-03  6.2688e-06  7.0218e-05
 4.0900e-03  6.3013e-06  6.9359e-05
 4.1004e-03  6.3149e-06  6.9002e-05
 4.3535e-03  6.6441e-06  6.3221e-05
 4.5055e-03  6.8455e-06  5.9739e-05
 4.7079e-03  7.1385e-06  5.4806e-05
 4.9586e-03  7.5059e-06  5.0514e-05
 5.0989e-03  7.7354e-06  4.7968e-05
 5.4054e-03  8.2785e-06  4.2336e-05
 5.4508e-03  8.3594e-06  4.1740e-05
 5.5461e-03  8.5422e-06  4.0462e-05
 5.9132e-03  9.3685e-06  3.5155e-05
 5.9806e-03  9.5419e-06  3.4168e-05
 6.2063e-03  1.0271e-05  3.0594e-05
 6.5471e-03  1.1622e-05  2.6232e-05
 6.7713e-03  1.3270e-05  2.2478e-05
 7.1258e-03  1.0000e+05  1.0000e+05
 7.1792e-03  1.0000e+05  1.0000e+05
 7.6361e-03  1.0000e+05  1.0000e+05
 7.7626e-03  1.0000e+05  1.0000e+05
 8.1814e-03  1.0000e+05  1.0000e+05
 8.3806e-03  1.0000e+05  1.0000e+05
 8.4597e-03  1.0000e+05  1.0000e+05
 8.5856e-03  1.0000e+05  1.0000e+05
 8.9197e-03  1.0000e+05  1.0000e+05
 8.9598e-03  1.0000e+05  1.0000e+05
 9.1563e-03  1.0000e+05  1.0000e+05
 9.1891e-03  1.0000e+05  1.0000e+05
 9.3937e-03  1.0000e+05  1.0000e+05
 9.4508e-03  1.0000e+05  1.0000e+05
 9.4739e-03  1.0000e+05  1.0000e+05
 9.6277e-03  1.0000e+05  1.0000e+05
 9.7002e-03  1.0000e+05  1.0000e+05
 9.7456e-03  1.0000e+05  1.0000e+05
 9.7692e-03  1.0000e+05  1.0000e+05
