#      mass       lower
 2.1410e-01  2.6263e-05
 2.1420e-01  2.3564e-05
 2.1430e-01  1.3839e-05
 2.1450e-01  1.1235e-05
 2.1460e-01  9.8424e-06
 2.1470e-01  1.3565e-05
 2.1490e-01  2.0506e-05
 2.1500e-01  2.8611e-05
 2.1520e-01  3.1827e-05
 2.1530e-01  2.5601e-05
 2.1550e-01  2.4707e-05
 2.1560e-01  1.7700e-05
 2.1580e-01  1.6070e-05
 2.1590e-01  1.6432e-05
 2.1610e-01  1.8083e-05
 2.1620e-01  1.8535e-05
 2.1640e-01  2.6661e-05
 2.1660e-01  2.1107e-05
 2.1670e-01  2.0015e-05
 2.1690e-01  2.1700e-05
 2.1710e-01  2.3684e-05
 2.1730e-01  2.5822e-05
 2.1750e-01  3.1518e-05
 2.1770e-01  1.9738e-05
 2.1780e-01  1.2402e-05
 2.1800e-01  1.7395e-05
 2.1820e-01  1.2392e-05
 2.1840e-01  1.0853e-05
 2.1860e-01  1.0467e-05
 2.1880e-01  1.5268e-05
 2.1910e-01  2.1690e-05
 2.1930e-01  2.6263e-05
 2.1950e-01  2.8237e-05
 2.1970e-01  2.8284e-05
 2.1990e-01  2.8113e-05
 2.2010e-01  2.7853e-05
 2.2040e-01  2.9234e-05
 2.2060e-01  2.9658e-05
 2.2080e-01  2.6048e-05
 2.2110e-01  2.5915e-05
 2.2130e-01  2.5332e-05
 2.2160e-01  2.2390e-05
 2.2180e-01  1.4576e-05
 2.2200e-01  2.1228e-05
 2.2230e-01  1.5395e-05
 2.2260e-01  2.3799e-05
 2.2280e-01  2.3862e-05
 2.2310e-01  2.0367e-05
 2.2330e-01  1.9602e-05
 2.2360e-01  1.6298e-05
 2.2390e-01  1.5117e-05
 2.2410e-01  1.4758e-05
 2.2440e-01  1.7168e-05
 2.2470e-01  1.7922e-05
 2.2500e-01  2.2435e-05
 2.2530e-01  2.6537e-05
 2.2560e-01  2.9365e-05
 2.2590e-01  2.5226e-05
 2.2620e-01  2.0389e-05
 2.2650e-01  2.1216e-05
 2.2680e-01  1.4400e-05
 2.2710e-01  1.4291e-05
 2.2740e-01  1.6433e-05
 2.2770e-01  2.2080e-05
 2.2800e-01  1.8080e-05
