#      mass       lower
 8.9907e-03  6.5853e-04
 9.0814e-03  5.5005e-04
 9.1546e-03  6.0559e-04
 9.2284e-03  6.5037e-04
 9.3215e-03  5.7919e-04
 9.3967e-03  5.9068e-04
 9.4724e-03  5.5597e-04
 9.5488e-03  5.4516e-04
 9.6258e-03  4.8553e-04
 9.7034e-03  4.1653e-04
 9.8013e-03  4.5617e-04
 9.8803e-03  4.0555e-04
 9.9599e-03  4.1802e-04
 1.0040e-02  4.2026e-04
 1.0121e-02  3.4055e-04
 1.0182e-02  3.9767e-04
 1.0264e-02  2.7538e-04
 1.0347e-02  3.3157e-04
 1.0431e-02  3.2746e-04
 1.0515e-02  4.4176e-04
 1.0599e-02  4.6354e-04
 1.0663e-02  4.7272e-04
 1.0749e-02  4.3473e-04
 1.0836e-02  4.4334e-04
 1.0923e-02  4.3629e-04
 1.1034e-02  4.6354e-04
 1.1123e-02  4.8379e-04
 1.1235e-02  4.4413e-04
 1.1325e-02  4.4492e-04
 1.1440e-02  4.2782e-04
 1.1532e-02  4.3011e-04
 1.1625e-02  3.8102e-04
 1.1742e-02  3.4668e-04
 1.1837e-02  3.8238e-04
 1.1932e-02  4.2858e-04
 1.2028e-02  4.6519e-04
 1.2125e-02  4.3165e-04
 1.2223e-02  4.3551e-04
 1.2322e-02  4.1802e-04
 1.2421e-02  3.2340e-04
 1.2521e-02  3.5165e-04
 1.2622e-02  3.2455e-04
 1.2724e-02  3.2571e-04
 1.2827e-02  3.4421e-04
 1.2930e-02  4.1727e-04
 1.3034e-02  3.9204e-04
 1.3139e-02  4.2327e-04
 1.3245e-02  3.6247e-04
 1.3325e-02  3.9838e-04
 1.3433e-02  3.5041e-04
 1.3541e-02  2.3801e-04
 1.3623e-02  2.9112e-04
 1.3733e-02  2.6630e-04
 1.3843e-02  3.5607e-04
 1.3927e-02  3.9485e-04
 1.4039e-02  4.6519e-04
 1.4124e-02  4.3473e-04
 1.4238e-02  4.4730e-04
 1.4324e-02  4.0844e-04
 1.4439e-02  4.4810e-04
 1.4527e-02  4.1136e-04
 1.4644e-02  3.4177e-04
 1.4762e-02  3.7831e-04
 1.4881e-02  4.7020e-04
 1.5001e-02  5.4032e-04
 1.5122e-02  5.0584e-04
 1.5244e-02  5.1585e-04
 1.5366e-02  4.8813e-04
 1.5459e-02  4.9425e-04
 1.5584e-02  4.1505e-04
 1.5710e-02  3.3753e-04
 1.5836e-02  3.3216e-04
 1.5964e-02  3.9414e-04
 1.6060e-02  4.2629e-04
 1.6190e-02  3.8995e-04
 1.6320e-02  3.8306e-04
 1.6419e-02  4.2176e-04
 1.6551e-02  4.1802e-04
 1.6685e-02  3.7429e-04
 1.6786e-02  4.0482e-04
 1.6921e-02  4.7272e-04
 1.7023e-02  4.4651e-04
 1.7160e-02  4.2782e-04
 1.7264e-02  6.0132e-04
 1.7403e-02  5.6900e-04
 1.7508e-02  5.1769e-04
 1.7649e-02  4.9779e-04
 1.7756e-02  5.1037e-04
 1.7863e-02  4.4730e-04
 1.8007e-02  3.6054e-04
 1.8116e-02  3.8034e-04
 1.8226e-02  3.8926e-04
 1.8336e-02  4.1136e-04
 1.8483e-02  3.5480e-04
 1.8595e-02  4.6189e-04
 1.8745e-02  4.8552e-04
 1.8896e-02  4.7272e-04
 1.9048e-02  5.5892e-04
 1.9164e-02  5.1954e-04
 1.9318e-02  5.1493e-04
 1.9435e-02  3.8034e-04
 1.9591e-02  4.7694e-04
 1.9749e-02  4.0990e-04
 1.9869e-02  3.5291e-04
 2.0029e-02  3.5990e-04
 2.0150e-02  3.1825e-04
 2.0312e-02  3.1939e-04
 2.0435e-02  2.6869e-04
 2.0558e-02  2.7843e-04
 2.0724e-02  3.1825e-04
 2.0849e-02  2.9373e-04
 2.0975e-02  2.4754e-04
 2.1144e-02  3.0711e-04
 2.1272e-02  2.7158e-04
 2.1401e-02  2.3465e-04
 2.1573e-02  2.4447e-04
 2.1704e-02  3.5670e-04
 2.1835e-02  4.7950e-04
 2.1967e-02  4.5292e-04
 2.2099e-02  4.7695e-04
 2.2233e-02  5.5399e-04
 2.2412e-02  5.5991e-04
 2.2593e-02  3.9838e-04
 2.2729e-02  2.9268e-04
 2.2912e-02  3.0061e-04
 2.3051e-02  3.1375e-04
 2.3237e-02  2.6488e-04
 2.3377e-02  2.5289e-04
 2.3518e-02  2.8294e-04
 2.3708e-02  2.8649e-04
 2.3851e-02  2.7695e-04
 2.3995e-02  2.5882e-04
 2.4189e-02  3.0168e-04
 2.4335e-02  3.1431e-04
 2.4482e-02  3.6965e-04
 2.4679e-02  4.6272e-04
 2.4828e-02  4.3629e-04
 2.4978e-02  4.5779e-04
 2.5129e-02  4.2705e-04
 2.5281e-02  4.5535e-04
 2.5433e-02  3.9344e-04
 2.5638e-02  4.1876e-04
 2.5793e-02  4.0266e-04
 2.5949e-02  4.2026e-04
