#      mass       lower       upper
 1.0300e-03  1.6628e-06  8.0558e-04
 1.0416e-03  1.6275e-06  9.7449e-04
 1.0513e-03  1.5977e-06  1.0386e-03
 1.0692e-03  1.5410e-06  9.5087e-04
 1.1016e-03  1.4325e-06  9.5056e-04
 1.1125e-03  1.3941e-06  8.6515e-04
 1.1180e-03  1.3745e-06  7.9587e-04
 1.1266e-03  1.3429e-06  7.9573e-04
 1.1807e-03  1.2017e-06  7.5944e-04
 1.1826e-03  1.1965e-06  7.5610e-04
 1.2905e-03  1.1610e-06  6.9905e-04
 1.3333e-03  1.1482e-06  6.5948e-04
 1.3578e-03  1.1408e-06  6.4269e-04
 1.4317e-03  1.1343e-06  5.8673e-04
 1.5079e-03  1.1276e-06  5.6803e-04
 1.5590e-03  1.1235e-06  5.5315e-04
 1.5728e-03  1.1233e-06  5.4858e-04
 1.7371e-03  1.1213e-06  4.9197e-04
 1.7898e-03  1.1207e-06  4.7093e-04
 1.8447e-03  1.1218e-06  4.5786e-04
 1.9001e-03  1.1228e-06  4.4395e-04
 2.0550e-03  1.1257e-06  4.0391e-04
 2.2756e-03  1.1332e-06  3.6609e-04
 2.3368e-03  1.1351e-06  3.5465e-04
 2.3482e-03  1.1355e-06  3.5181e-04
 2.3595e-03  1.1358e-06  3.5046e-04
 2.4043e-03  1.1376e-06  3.4378e-04
 2.5962e-03  1.1453e-06  3.1590e-04
 2.7092e-03  1.1496e-06  2.9815e-04
 2.7578e-03  1.1516e-06  2.9000e-04
 2.8688e-03  1.1563e-06  2.8149e-04
 2.9582e-03  1.1600e-06  2.7205e-04
 3.1105e-03  1.1661e-06  2.5513e-04
 3.2421e-03  1.1716e-06  2.3898e-04
 3.3674e-03  1.1768e-06  2.3252e-04
 3.5499e-03  1.1840e-06  2.2277e-04
 3.5713e-03  1.1849e-06  2.2111e-04
 3.6126e-03  1.1866e-06  2.1845e-04
 3.8301e-03  1.1954e-06  2.0515e-04
 4.1004e-03  1.2059e-06  1.8734e-04
 4.3584e-03  1.2159e-06  1.7599e-04
 4.4417e-03  1.2192e-06  1.7229e-04
 4.7079e-03  1.2288e-06  1.5994e-04
 4.9458e-03  1.2375e-06  1.5285e-04
 5.3852e-03  1.2531e-06  1.3887e-04
 5.4054e-03  1.2538e-06  1.3821e-04
 5.6153e-03  1.2611e-06  1.3035e-04
 5.7928e-03  1.2671e-06  1.2334e-04
 6.2063e-03  1.2809e-06  1.1658e-04
 6.3720e-03  1.2862e-06  1.1355e-04
 6.5899e-03  1.2931e-06  1.0945e-04
 7.1258e-03  1.3099e-06  9.9071e-05
 7.2272e-03  1.3130e-06  9.7804e-05
 8.1046e-03  1.3388e-06  8.6155e-05
 8.1427e-03  1.3399e-06  8.5446e-05
 8.1814e-03  1.3411e-06  8.5090e-05
 8.1940e-03  1.3414e-06  8.4949e-05
 8.3146e-03  1.3449e-06  8.3573e-05
 8.3488e-03  1.3458e-06  8.3178e-05
 9.2853e-03  1.3718e-06  7.2826e-05
 9.3937e-03  1.3748e-06  7.1540e-05
 9.5456e-03  1.3794e-06  6.9653e-05
 9.8769e-03  1.3892e-06  6.7717e-05
 1.0501e-02  1.4078e-06  6.2683e-05
 1.0785e-02  1.4162e-06  6.0260e-05
 1.1852e-02  1.4498e-06  5.4258e-05
 1.2045e-02  1.4558e-06  5.3109e-05
 1.2383e-02  1.4663e-06  5.1107e-05
 1.3234e-02  1.4927e-06  4.7203e-05
 1.3361e-02  1.4966e-06  4.6664e-05
 1.4218e-02  1.5231e-06  4.2864e-05
 1.4612e-02  1.5352e-06  4.1534e-05
 1.5046e-02  1.5485e-06  4.0094e-05
 1.6324e-02  1.5880e-06  3.5553e-05
 1.6922e-02  1.6065e-06  3.4122e-05
 1.7628e-02  1.6285e-06  3.2367e-05
 1.8743e-02  1.6635e-06  2.9523e-05
 2.0369e-02  1.7158e-06  2.6664e-05
 2.1205e-02  1.7428e-06  2.5090e-05
 2.1319e-02  1.7466e-06  2.4881e-05
 2.1520e-02  1.7533e-06  2.4513e-05
 2.1842e-02  1.7648e-06  2.4040e-05
 2.2566e-02  1.7898e-06  2.2947e-05
 2.4708e-02  1.8644e-06  1.9975e-05
 2.5349e-02  1.8882e-06  1.9294e-05
 2.6662e-02  1.9375e-06  1.7921e-05
 2.8369e-02  2.0075e-06  1.5996e-05
 2.9741e-02  2.0622e-06  1.4933e-05
 3.0092e-02  2.0775e-06  1.4651e-05
 3.2571e-02  2.1933e-06  1.2645e-05
 3.3112e-02  2.2179e-06  1.2340e-05
 3.4978e-02  2.3120e-06  1.1237e-05
 3.5565e-02  2.3454e-06  1.0871e-05
 3.7397e-02  2.4592e-06  9.7338e-06
 3.8985e-02  2.5914e-06  8.6231e-06
 4.0768e-02  2.7245e-06  7.9849e-06
 4.1667e-02  2.8059e-06  7.6399e-06
 4.2938e-02  2.9615e-06  6.9484e-06
 4.5006e-02  3.2752e-06  6.0239e-06
 4.8251e-02  1.0000e+05  1.0000e+05
 4.9299e-02  1.0000e+05  1.0000e+05
 4.9516e-02  1.0000e+05  1.0000e+05
 4.9978e-02  1.0000e+05  1.0000e+05
 5.4293e-02  1.0000e+05  1.0000e+05
 5.5221e-02  1.0000e+05  1.0000e+05
 5.6603e-02  1.0000e+05  1.0000e+05
 5.9260e-02  1.0000e+05  1.0000e+05
 6.2092e-02  1.0000e+05  1.0000e+05
 6.3467e-02  1.0000e+05  1.0000e+05
 6.4345e-02  1.0000e+05  1.0000e+05
 6.4990e-02  1.0000e+05  1.0000e+05
 6.6855e-02  1.0000e+05  1.0000e+05
 6.8927e-02  1.0000e+05  1.0000e+05
 6.9192e-02  1.0000e+05  1.0000e+05
 7.3153e-02  1.0000e+05  1.0000e+05
 7.3793e-02  1.0000e+05  1.0000e+05
 7.4618e-02  1.0000e+05  1.0000e+05
 7.4892e-02  1.0000e+05  1.0000e+05
 7.5159e-02  1.0000e+05  1.0000e+05
 7.7702e-02  1.0000e+05  1.0000e+05
 7.8907e-02  1.0000e+05  1.0000e+05
 7.8948e-02  1.0000e+05  1.0000e+05
 8.0314e-02  1.0000e+05  1.0000e+05
 8.0701e-02  1.0000e+05  1.0000e+05
