#      mass       lower       upper
 1.0300e-03  5.6414e-08  2.8659e-04
 1.0381e-03  5.5411e-08  3.1191e-04
 1.0449e-03  5.4555e-08  3.3152e-04
 1.0459e-03  5.4428e-08  3.3186e-04
 1.0573e-03  5.3055e-08  3.2308e-04
 1.0638e-03  5.2413e-08  3.0938e-04
 1.0924e-03  4.9492e-08  3.1335e-04
 1.1048e-03  4.8163e-08  2.8328e-04
 1.1276e-03  4.5623e-08  2.7763e-04
 1.1664e-03  4.2143e-08  2.5544e-04
 1.1680e-03  4.2011e-08  2.5419e-04
 1.1700e-03  4.1848e-08  2.4952e-04
 1.1826e-03  4.0805e-08  2.4254e-04
 1.2113e-03  4.0489e-08  2.3965e-04
 1.3114e-03  3.9499e-08  2.1704e-04
 1.3578e-03  3.9031e-08  2.0702e-04
 1.4255e-03  3.8860e-08  1.9937e-04
 1.5453e-03  3.8580e-08  1.8138e-04
 1.5590e-03  3.8548e-08  1.7937e-04
 1.5961e-03  3.8551e-08  1.7534e-04
 1.6445e-03  3.8553e-08  1.7043e-04
 1.7898e-03  3.8565e-08  1.5352e-04
 1.8693e-03  3.8647e-08  1.4726e-04
 1.8849e-03  3.8664e-08  1.4551e-04
 1.9606e-03  3.8739e-08  1.3652e-04
 2.0550e-03  3.8833e-08  1.3184e-04
 2.1541e-03  3.8967e-08  1.2656e-04
 2.3035e-03  3.9159e-08  1.1795e-04
 2.3595e-03  3.9231e-08  1.1464e-04
 2.4577e-03  3.9377e-08  1.1016e-04
 2.4638e-03  3.9385e-08  1.0987e-04
 2.7092e-03  3.9741e-08  9.8444e-05
 2.8003e-03  3.9883e-08  9.5420e-05
 2.8455e-03  3.9951e-08  9.3878e-05
 3.1105e-03  4.0338e-08  8.4590e-05
 3.1878e-03  4.0456e-08  8.2870e-05
 3.5391e-03  4.0962e-08  7.4518e-05
 3.5713e-03  4.1009e-08  7.3720e-05
 3.6260e-03  4.1092e-08  7.2612e-05
 3.6282e-03  4.1095e-08  7.2570e-05
 4.1004e-03  4.1751e-08  6.2926e-05
 4.3736e-03  4.2125e-08  5.9077e-05
 4.3875e-03  4.2144e-08  5.8881e-05
 4.6826e-03  4.2526e-08  5.4544e-05
 4.7079e-03  4.2558e-08  5.4156e-05
 4.7383e-03  4.2597e-08  5.3663e-05
 4.9258e-03  4.2831e-08  5.0517e-05
 5.4054e-03  4.3425e-08  4.7108e-05
 5.4412e-03  4.3469e-08  4.6806e-05
 6.0340e-03  4.4169e-08  4.1684e-05
 6.2063e-03  4.4362e-08  4.0077e-05
 6.7141e-03  4.4931e-08  3.7066e-05
 6.8441e-03  4.5075e-08  3.6279e-05
 7.1258e-03  4.5372e-08  3.4512e-05
 7.7594e-03  4.6035e-08  3.1749e-05
 7.9145e-03  4.6189e-08  3.1037e-05
 8.1814e-03  4.6453e-08  2.9847e-05
