#      mass       lower       upper
 1.0300e-03  2.0364e-05  4.3556e-03
 1.0448e-03  2.0011e-05  4.8458e-03
 1.0567e-03  1.9738e-05  5.1564e-03
 1.0733e-03  1.9401e-05  4.6616e-03
 1.1073e-03  1.8639e-05  4.6117e-03
 1.1169e-03  1.8439e-05  4.2082e-03
 1.1821e-03  1.6893e-05  3.6765e-03
 1.1826e-03  1.6882e-05  3.6693e-03
 1.1830e-03  1.6882e-05  3.6686e-03
 1.1834e-03  1.6882e-05  3.6681e-03
 1.1926e-03  1.6894e-05  3.6578e-03
 1.3305e-03  1.7087e-05  3.1711e-03
 1.3496e-03  1.7116e-05  3.1040e-03
 1.3578e-03  1.7133e-05  3.0738e-03
 1.3683e-03  1.7174e-05  3.0374e-03
 1.4284e-03  1.7389e-05  2.8022e-03
 1.5590e-03  1.7814e-05  2.6225e-03
 1.5591e-03  1.7814e-05  2.6222e-03
 1.6647e-03  1.8266e-05  2.3345e-03
 1.7117e-03  1.8450e-05  2.2861e-03
 1.7898e-03  1.8769e-05  2.1995e-03
 1.8652e-03  1.9087e-05  2.1042e-03
 1.9150e-03  1.9299e-05  2.0409e-03
 2.0550e-03  1.9899e-05  1.8468e-03
 2.1589e-03  2.0226e-05  1.7529e-03
 2.2527e-03  2.0547e-05  1.6624e-03
 2.3595e-03  2.0936e-05  1.5579e-03
 2.4332e-03  2.1180e-05  1.5093e-03
 2.6412e-03  2.1955e-05  1.3620e-03
 2.7092e-03  2.2228e-05  1.3159e-03
 2.7360e-03  2.2328e-05  1.3013e-03
 2.7403e-03  2.2343e-05  1.2991e-03
 2.9334e-03  2.3128e-05  1.1956e-03
 3.0838e-03  2.3849e-05  1.1089e-03
 3.1105e-03  2.3993e-05  1.0929e-03
 3.3307e-03  2.5027e-05  1.0108e-03
 3.4676e-03  2.5772e-05  9.5822e-04
 3.5713e-03  2.6429e-05  9.1670e-04
 3.7300e-03  2.7658e-05  8.4661e-04
 3.8948e-03  2.8617e-05  8.1496e-04
 4.0797e-03  2.9854e-05  7.7827e-04
 4.1004e-03  3.0035e-05  7.7230e-04
 4.3629e-03  3.3235e-05  6.8059e-04
 4.3763e-03  3.3435e-05  6.7562e-04
 4.7079e-03  3.6742e-05  6.2312e-04
 4.8763e-03  3.8671e-05  5.9348e-04
 4.8839e-03  3.8766e-05  5.9209e-04
 5.4054e-03  4.5936e-05  4.9681e-04
 5.4442e-03  4.6560e-05  4.8933e-04
 5.5478e-03  4.8351e-05  4.6884e-04
 5.5811e-03  4.8744e-05  4.6568e-04
 5.8232e-03  5.1781e-05  4.4205e-04
 6.0573e-03  5.5418e-05  4.1093e-04
 6.2063e-03  5.8055e-05  3.9010e-04
 6.7008e-03  6.6568e-05  3.4249e-04
 6.9533e-03  7.1822e-05  3.1613e-04
 7.1258e-03  7.5710e-05  2.9789e-04
 7.3893e-03  8.1280e-05  2.7656e-04
 7.8591e-03  9.4370e-05  2.3394e-04
 8.0144e-03  9.9489e-05  2.2029e-04
 8.1281e-03  1.0400e-04  2.0941e-04
 8.1814e-03  1.0652e-04  2.0386e-04
 8.2082e-03  1.0800e-04  2.0061e-04
 8.2582e-03  1.1015e-04  1.9678e-04
 8.9099e-03  1.0000e+05  1.0000e+05
 9.3937e-03  1.0000e+05  1.0000e+05
 9.7001e-03  1.0000e+05  1.0000e+05
 1.0286e-02  1.0000e+05  1.0000e+05
 1.0584e-02  1.0000e+05  1.0000e+05
 1.0785e-02  1.0000e+05  1.0000e+05
 1.1291e-02  1.0000e+05  1.0000e+05
 1.1460e-02  1.0000e+05  1.0000e+05
 1.2383e-02  1.0000e+05  1.0000e+05
 1.2423e-02  1.0000e+05  1.0000e+05
 1.2468e-02  1.0000e+05  1.0000e+05
 1.2992e-02  1.0000e+05  1.0000e+05
 1.3314e-02  1.0000e+05  1.0000e+05
 1.4218e-02  1.0000e+05  1.0000e+05
 1.4371e-02  1.0000e+05  1.0000e+05
 1.4430e-02  1.0000e+05  1.0000e+05
 1.4567e-02  1.0000e+05  1.0000e+05
 1.4727e-02  1.0000e+05  1.0000e+05
 1.5476e-02  1.0000e+05  1.0000e+05
 1.6256e-02  1.0000e+05  1.0000e+05
 1.6300e-02  1.0000e+05  1.0000e+05
 1.6324e-02  1.0000e+05  1.0000e+05
 1.6411e-02  1.0000e+05  1.0000e+05
 1.6457e-02  1.0000e+05  1.0000e+05
 1.7340e-02  1.0000e+05  1.0000e+05
 1.7778e-02  1.0000e+05  1.0000e+05
 1.7936e-02  1.0000e+05  1.0000e+05
 1.7971e-02  1.0000e+05  1.0000e+05
 1.8175e-02  1.0000e+05  1.0000e+05
 1.8743e-02  1.0000e+05  1.0000e+05
 1.8818e-02  1.0000e+05  1.0000e+05
 1.8844e-02  1.0000e+05  1.0000e+05
 1.8881e-02  1.0000e+05  1.0000e+05
 1.8911e-02  1.0000e+05  1.0000e+05
 1.9132e-02  1.0000e+05  1.0000e+05
 1.9137e-02  1.0000e+05  1.0000e+05
