#      mass       lower       upper
 1.0300e-03  1.6422e-04  1.4180e-02
 1.0465e-03  1.6357e-04  1.5679e-02
 1.0485e-03  1.6349e-04  1.5881e-02
 1.0595e-03  1.6343e-04  1.6608e-02
 1.0753e-03  1.6342e-04  1.4920e-02
 1.1099e-03  1.6331e-04  1.4640e-02
 1.1187e-03  1.6332e-04  1.3371e-02
 1.1826e-03  1.6318e-04  1.1579e-02
 1.1830e-03  1.6321e-04  1.1575e-02
 1.1860e-03  1.6338e-04  1.1554e-02
 1.2011e-03  1.6428e-04  1.1476e-02
 1.2712e-03  1.6866e-04  1.0780e-02
 1.3245e-03  1.7198e-04  9.9540e-03
 1.3385e-03  1.7284e-04  9.7928e-03
 1.3578e-03  1.7407e-04  9.5548e-03
 1.4880e-03  1.8261e-04  8.6271e-03
 1.5357e-03  1.8571e-04  8.1982e-03
 1.5590e-03  1.8723e-04  8.0109e-03
 1.6524e-03  1.9341e-04  7.4693e-03
 1.6683e-03  1.9446e-04  7.3684e-03
 1.7898e-03  2.0242e-04  6.6783e-03
 1.8188e-03  2.0435e-04  6.5554e-03
 1.8332e-03  2.0529e-04  6.4977e-03
 1.9661e-03  2.1410e-04  5.9261e-03
 2.0319e-03  2.1849e-04  5.6163e-03
 2.0550e-03  2.2004e-04  5.5028e-03
 2.1700e-03  2.2783e-04  5.1441e-03
 2.2499e-03  2.3319e-04  4.8939e-03
 2.3595e-03  2.4070e-04  4.5282e-03
 2.4899e-03  2.4965e-04  4.2381e-03
 2.5997e-03  2.5738e-04  3.9783e-03
 2.7092e-03  2.6514e-04  3.7174e-03
 2.7538e-03  2.6833e-04  3.6462e-03
 2.8743e-03  2.7704e-04  3.4480e-03
 3.0432e-03  2.8977e-04  3.1533e-03
 3.0988e-03  2.9418e-04  3.0512e-03
 3.1105e-03  2.9511e-04  3.0323e-03
 3.1139e-03  2.9537e-04  3.0277e-03
 3.3605e-03  3.1537e-04  2.6904e-03
 3.5713e-03  3.3488e-04  2.3734e-03
 3.6125e-03  3.3918e-04  2.3109e-03
 3.6905e-03  3.4635e-04  2.2486e-03
 4.0646e-03  3.8848e-04  1.8412e-03
 4.0900e-03  3.9202e-04  1.8110e-03
 4.1004e-03  3.9353e-04  1.7984e-03
 4.3535e-03  4.3021e-04  1.5832e-03
 4.5055e-03  4.5791e-04  1.4481e-03
 4.7079e-03  5.1177e-04  1.2426e-03
 4.9586e-03  1.0000e+05  1.0000e+05
 5.0989e-03  1.0000e+05  1.0000e+05
 5.4054e-03  1.0000e+05  1.0000e+05
 5.4508e-03  1.0000e+05  1.0000e+05
 5.5461e-03  1.0000e+05  1.0000e+05
 5.9132e-03  1.0000e+05  1.0000e+05
 5.9806e-03  1.0000e+05  1.0000e+05
 6.2063e-03  1.0000e+05  1.0000e+05
 6.5471e-03  1.0000e+05  1.0000e+05
 6.7713e-03  1.0000e+05  1.0000e+05
 7.1258e-03  1.0000e+05  1.0000e+05
 7.1792e-03  1.0000e+05  1.0000e+05
 7.6361e-03  1.0000e+05  1.0000e+05
 7.7626e-03  1.0000e+05  1.0000e+05
 8.1814e-03  1.0000e+05  1.0000e+05
 8.3806e-03  1.0000e+05  1.0000e+05
 8.4597e-03  1.0000e+05  1.0000e+05
 8.5856e-03  1.0000e+05  1.0000e+05
 8.9197e-03  1.0000e+05  1.0000e+05
 8.9598e-03  1.0000e+05  1.0000e+05
 9.1563e-03  1.0000e+05  1.0000e+05
 9.1891e-03  1.0000e+05  1.0000e+05
 9.3937e-03  1.0000e+05  1.0000e+05
 9.4508e-03  1.0000e+05  1.0000e+05
 9.4739e-03  1.0000e+05  1.0000e+05
 9.6277e-03  1.0000e+05  1.0000e+05
 9.7002e-03  1.0000e+05  1.0000e+05
 9.7456e-03  1.0000e+05  1.0000e+05
 9.7692e-03  1.0000e+05  1.0000e+05
