#      mass       lower
 2.1410e-01  1.2843e-04
 2.1420e-01  1.1518e-04
 2.1430e-01  6.7616e-05
 2.1450e-01  5.4854e-05
 2.1460e-01  4.8079e-05
 2.1470e-01  6.6174e-05
 2.1490e-01  9.9954e-05
 2.1500e-01  1.3941e-04
 2.1520e-01  1.5497e-04
 2.1530e-01  1.2462e-04
 2.1550e-01  1.2019e-04
 2.1560e-01  8.6077e-05
 2.1580e-01  7.8107e-05
 2.1590e-01  7.9843e-05
 2.1610e-01  8.7815e-05
 2.1620e-01  8.9985e-05
 2.1640e-01  1.2937e-04
 2.1660e-01  1.0236e-04
 2.1670e-01  9.7041e-05
 2.1690e-01  1.0516e-04
 2.1710e-01  1.1472e-04
 2.1730e-01  1.2502e-04
 2.1750e-01  1.5252e-04
 2.1770e-01  9.5474e-05
 2.1780e-01  6.0107e-05
 2.1800e-01  8.4086e-05
 2.1820e-01  6.0051e-05
 2.1840e-01  5.2947e-05
 2.1860e-01  5.1246e-05
 2.1880e-01  7.3709e-05
 2.1910e-01  1.0461e-04
 2.1930e-01  1.2660e-04
 2.1950e-01  1.3605e-04
 2.1970e-01  1.3621e-04
 2.1990e-01  1.3533e-04
 2.2010e-01  1.3402e-04
 2.2040e-01  1.4056e-04
 2.2060e-01  1.4254e-04
 2.2080e-01  1.2514e-04
 2.2110e-01  1.2442e-04
 2.2130e-01  1.2157e-04
 2.2160e-01  1.0738e-04
 2.2180e-01  7.0087e-05
 2.2200e-01  1.0173e-04
 2.2230e-01  7.3881e-05
 2.2260e-01  1.1391e-04
 2.2280e-01  1.1417e-04
 2.2310e-01  9.7394e-05
 2.2330e-01  9.3706e-05
 2.2360e-01  7.7997e-05
 2.2390e-01  7.2478e-05
 2.2410e-01  7.0820e-05
 2.2440e-01  8.2005e-05
 2.2470e-01  8.5535e-05
 2.2500e-01  1.0695e-04
 2.2530e-01  1.2646e-04
 2.2560e-01  1.3988e-04
 2.2590e-01  1.2012e-04
 2.2620e-01  9.7075e-05
 2.2650e-01  1.0097e-04
 2.2680e-01  6.9257e-05
 2.2710e-01  6.8788e-05
 2.2740e-01  7.8445e-05
 2.2770e-01  1.0495e-04
 2.2800e-01  8.6048e-05
 2.2830e-01  1.0326e-04
 2.2860e-01  1.3505e-04
 2.2900e-01  1.6078e-04
 2.2930e-01  1.3812e-04
 2.2960e-01  1.3098e-04
 2.3000e-01  1.1629e-04
 2.3030e-01  1.0708e-04
 2.3060e-01  1.0126e-04
 2.3100e-01  1.0142e-04
 2.3130e-01  1.1187e-04
 2.3170e-01  1.1753e-04
 2.3200e-01  1.0873e-04
 2.3240e-01  1.0140e-04
 2.3270e-01  6.9126e-05
 2.3310e-01  6.2800e-05
 2.3350e-01  6.3654e-05
 2.3380e-01  7.6830e-05
 2.3420e-01  9.4345e-05
 2.3460e-01  1.1240e-04
 2.3500e-01  1.3778e-04
 2.3530e-01  1.1906e-04
 2.3570e-01  1.2078e-04
 2.3610e-01  1.0734e-04
 2.3650e-01  1.4347e-04
 2.3690e-01  1.4748e-04
 2.3730e-01  1.3945e-04
 2.3770e-01  1.0244e-04
 2.3810e-01  9.9221e-05
 2.3850e-01  1.2063e-04
 2.3890e-01  1.3063e-04
 2.3930e-01  9.9163e-05
 2.3980e-01  8.8157e-05
 2.4020e-01  8.7848e-05
 2.4060e-01  9.2513e-05
 2.4100e-01  1.2214e-04
 2.4150e-01  1.1237e-04
 2.4190e-01  1.0056e-04
 2.4230e-01  6.7287e-05
 2.4280e-01  7.9884e-05
 2.4320e-01  7.1825e-05
 2.4370e-01  8.4800e-05
 2.4410e-01  1.1582e-04
 2.4460e-01  1.3054e-04
 2.4500e-01  1.6223e-04
 2.4550e-01  1.5117e-04
 2.4600e-01  1.5025e-04
 2.4640e-01  1.2028e-04
 2.4690e-01  1.4917e-04
 2.4740e-01  1.3133e-04
 2.4780e-01  9.2703e-05
 2.4830e-01  1.1922e-04
 2.4880e-01  1.2081e-04
 2.4930e-01  7.5161e-05
 2.4980e-01  6.9405e-05
 2.5030e-01  6.6823e-05
 2.5080e-01  7.0612e-05
 2.5130e-01  1.0084e-04
 2.5180e-01  1.0457e-04
 2.5230e-01  9.0147e-05
 2.5280e-01  8.0756e-05
 2.5330e-01  7.5576e-05
 2.5380e-01  8.7854e-05
 2.5430e-01  1.0618e-04
 2.5480e-01  1.4949e-04
 2.5540e-01  1.2882e-04
 2.5590e-01  1.1981e-04
 2.5640e-01  1.1548e-04
 2.5700e-01  1.2679e-04
