#      mass       lower
 8.9907e-03  3.3141e-04
 9.0814e-03  2.7900e-04
 9.1546e-03  3.0539e-04
 9.2284e-03  3.2721e-04
 9.3215e-03  2.9241e-04
 9.3967e-03  2.9786e-04
 9.4724e-03  2.8105e-04
 9.5488e-03  2.7576e-04
 9.6258e-03  2.4770e-04
 9.7034e-03  2.1661e-04
 9.8013e-03  2.3386e-04
 9.8803e-03  2.1120e-04
 9.9599e-03  2.1637e-04
 1.0040e-02  2.1710e-04
 1.0121e-02  1.8273e-04
 1.0182e-02  2.0674e-04
 1.0264e-02  1.5566e-04
 1.0347e-02  1.7810e-04
 1.0431e-02  1.7607e-04
 1.0515e-02  2.2551e-04
 1.0599e-02  2.3542e-04
 1.0663e-02  2.3962e-04
 1.0749e-02  2.2179e-04
 1.0836e-02  2.2559e-04
 1.0923e-02  2.2216e-04
 1.1034e-02  2.3473e-04
 1.1123e-02  2.4429e-04
 1.1235e-02  2.2529e-04
 1.1325e-02  2.2553e-04
 1.1440e-02  2.1734e-04
 1.1532e-02  2.1828e-04
 1.1625e-02  1.9555e-04
 1.1742e-02  1.8007e-04
 1.1837e-02  1.9575e-04
 1.1932e-02  2.1703e-04
 1.2028e-02  2.3451e-04
 1.2125e-02  2.1828e-04
 1.2223e-02  2.2002e-04
 1.2322e-02  2.1159e-04
 1.2421e-02  1.6835e-04
 1.2521e-02  1.8062e-04
 1.2622e-02  1.6841e-04
 1.2724e-02  1.6871e-04
 1.2827e-02  1.7673e-04
 1.2930e-02  2.1067e-04
 1.3034e-02  1.9854e-04
 1.3139e-02  2.1342e-04
 1.3245e-02  1.8445e-04
 1.3325e-02  2.0130e-04
 1.3433e-02  1.7864e-04
 1.3541e-02  1.2979e-04
 1.3623e-02  1.5187e-04
 1.3733e-02  1.4106e-04
 1.3843e-02  1.8079e-04
 1.3927e-02  1.9918e-04
 1.4039e-02  2.3375e-04
 1.4124e-02  2.1862e-04
 1.4238e-02  2.2483e-04
 1.4324e-02  2.0561e-04
 1.4439e-02  2.2519e-04
 1.4527e-02  2.0698e-04
 1.4644e-02  1.7333e-04
 1.4762e-02  1.9072e-04
 1.4881e-02  2.3617e-04
 1.5001e-02  2.7132e-04
 1.5122e-02  2.5401e-04
 1.5244e-02  2.5904e-04
 1.5366e-02  2.4513e-04
 1.5459e-02  2.4820e-04
 1.5584e-02  2.0858e-04
 1.5710e-02  1.7056e-04
 1.5836e-02  1.6792e-04
 1.5964e-02  1.9813e-04
 1.6060e-02  2.1414e-04
 1.6190e-02  1.9602e-04
 1.6320e-02  1.9258e-04
 1.6419e-02  2.1185e-04
 1.6551e-02  2.0997e-04
 1.6685e-02  1.8817e-04
 1.6786e-02  2.0336e-04
 1.6921e-02  2.3737e-04
 1.7023e-02  2.2422e-04
 1.7160e-02  2.1485e-04
 1.7264e-02  3.0194e-04
 1.7403e-02  2.8572e-04
 1.7508e-02  2.5995e-04
 1.7649e-02  2.4996e-04
 1.7756e-02  2.5627e-04
 1.7863e-02  2.2461e-04
 1.8007e-02  1.8118e-04
 1.8116e-02  1.9105e-04
 1.8226e-02  1.9550e-04
 1.8336e-02  2.0658e-04
 1.8483e-02  1.7828e-04
 1.8595e-02  2.3193e-04
 1.8745e-02  2.4380e-04
 1.8896e-02  2.3737e-04
 1.9048e-02  2.8065e-04
 1.9164e-02  2.6088e-04
 1.9318e-02  2.5857e-04
 1.9435e-02  1.9100e-04
 1.9591e-02  2.3949e-04
 1.9749e-02  2.0583e-04
 1.9869e-02  1.7725e-04
 2.0029e-02  1.8075e-04
 2.0150e-02  1.5995e-04
 2.0312e-02  1.6050e-04
 2.0435e-02  1.3555e-04
 2.0558e-02  1.4025e-04
 2.0724e-02  1.5990e-04
 2.0849e-02  1.4772e-04
 2.0975e-02  1.2523e-04
 2.1144e-02  1.5433e-04
 2.1272e-02  1.3676e-04
 2.1401e-02  1.1897e-04
 2.1573e-02  1.2357e-04
 2.1704e-02  1.7912e-04
 2.1835e-02  2.4077e-04
 2.1967e-02  2.2743e-04
 2.2099e-02  2.3949e-04
 2.2233e-02  2.7818e-04
 2.2412e-02  2.8115e-04
 2.2593e-02  2.0004e-04
 2.2729e-02  1.4705e-04
 2.2912e-02  1.5100e-04
 2.3051e-02  1.5757e-04
 2.3237e-02  1.3320e-04
 2.3377e-02  1.2727e-04
 2.3518e-02  1.4215e-04
 2.3708e-02  1.4391e-04
 2.3851e-02  1.3915e-04
 2.3995e-02  1.3013e-04
 2.4189e-02  1.5151e-04
 2.4335e-02  1.5783e-04
 2.4482e-02  1.8561e-04
 2.4679e-02  2.3235e-04
 2.4828e-02  2.1907e-04
 2.4978e-02  2.2987e-04
 2.5129e-02  2.1444e-04
 2.5281e-02  2.2865e-04
 2.5433e-02  1.9756e-04
 2.5638e-02  2.1028e-04
 2.5793e-02  2.0219e-04
 2.5949e-02  2.1103e-04
 2.6106e-02  1.9030e-04
 2.6264e-02  1.7880e-04
 2.6475e-02  1.5981e-04
 2.6635e-02  1.4515e-04
 2.6796e-02  1.3375e-04
 2.7012e-02  1.2681e-04
 2.7175e-02  1.6384e-04
 2.7340e-02  1.4032e-04
 2.7560e-02  1.6297e-04
 2.7726e-02  1.9442e-04
 2.7894e-02  2.0841e-04
 2.8062e-02  2.5627e-04
 2.8232e-02  2.0990e-04
 2.8460e-02  2.3737e-04
 2.8631e-02  1.9476e-04
 2.8804e-02  1.6798e-04
 2.8978e-02  1.9201e-04
 2.9153e-02  1.5122e-04
