#      mass       lower       upper
 1.0300e-03  1.6580e-06  8.2966e-04
 1.0416e-03  1.6228e-06  1.0030e-03
 1.0513e-03  1.5931e-06  1.0686e-03
 1.0692e-03  1.5366e-06  9.7801e-04
 1.1016e-03  1.4284e-06  9.7717e-04
 1.1125e-03  1.3900e-06  8.8929e-04
 1.1180e-03  1.3706e-06  8.1806e-04
 1.1266e-03  1.3391e-06  8.1783e-04
 1.1807e-03  1.1982e-06  7.8018e-04
 1.1826e-03  1.1931e-06  7.7674e-04
 1.2905e-03  1.1576e-06  7.1780e-04
 1.3333e-03  1.1449e-06  6.7710e-04
 1.3578e-03  1.1375e-06  6.5983e-04
 1.4317e-03  1.1311e-06  6.0232e-04
 1.5079e-03  1.1243e-06  5.8307e-04
 1.5590e-03  1.1202e-06  5.6778e-04
 1.5728e-03  1.1200e-06  5.6308e-04
 1.7371e-03  1.1180e-06  5.0495e-04
 1.7898e-03  1.1175e-06  4.8335e-04
 1.8447e-03  1.1186e-06  4.6993e-04
 1.9001e-03  1.1196e-06  4.5565e-04
 2.0550e-03  1.1225e-06  4.1456e-04
 2.2756e-03  1.1299e-06  3.7576e-04
 2.3368e-03  1.1318e-06  3.6402e-04
 2.3482e-03  1.1322e-06  3.6110e-04
 2.3595e-03  1.1326e-06  3.5972e-04
 2.4043e-03  1.1343e-06  3.5287e-04
 2.5962e-03  1.1420e-06  3.2426e-04
 2.7092e-03  1.1462e-06  3.0605e-04
 2.7578e-03  1.1483e-06  2.9769e-04
 2.8688e-03  1.1529e-06  2.8895e-04
 2.9582e-03  1.1566e-06  2.7927e-04
 3.1105e-03  1.1627e-06  2.6191e-04
 3.2421e-03  1.1682e-06  2.4535e-04
 3.3674e-03  1.1734e-06  2.3872e-04
 3.5499e-03  1.1806e-06  2.2871e-04
 3.5713e-03  1.1815e-06  2.2701e-04
 3.6126e-03  1.1831e-06  2.2428e-04
 3.8301e-03  1.1919e-06  2.1064e-04
 4.1004e-03  1.2024e-06  1.9237e-04
 4.3584e-03  1.2124e-06  1.8073e-04
 4.4417e-03  1.2156e-06  1.7693e-04
 4.7079e-03  1.2253e-06  1.6426e-04
 4.9458e-03  1.2339e-06  1.5698e-04
 5.3852e-03  1.2494e-06  1.4264e-04
 5.4054e-03  1.2501e-06  1.4196e-04
 5.6153e-03  1.2574e-06  1.3390e-04
 5.7928e-03  1.2634e-06  1.2671e-04
 6.2063e-03  1.2771e-06  1.1977e-04
 6.3720e-03  1.2824e-06  1.1666e-04
 6.5899e-03  1.2893e-06  1.1245e-04
 7.1258e-03  1.3061e-06  1.0180e-04
 7.2272e-03  1.3092e-06  1.0050e-04
 8.1046e-03  1.3349e-06  8.8545e-05
 8.1427e-03  1.3360e-06  8.7817e-05
 8.1814e-03  1.3371e-06  8.7452e-05
 8.1940e-03  1.3374e-06  8.7307e-05
 8.3146e-03  1.3409e-06  8.5895e-05
 8.3488e-03  1.3418e-06  8.5490e-05
 9.2853e-03  1.3677e-06  7.4865e-05
 9.3937e-03  1.3706e-06  7.3545e-05
 9.5456e-03  1.3752e-06  7.1608e-05
 9.8769e-03  1.3850e-06  6.9622e-05
 1.0501e-02  1.4035e-06  6.4455e-05
 1.0785e-02  1.4118e-06  6.1968e-05
 1.1852e-02  1.4453e-06  5.5808e-05
 1.2045e-02  1.4513e-06  5.4629e-05
 1.2383e-02  1.4617e-06  5.2573e-05
 1.3234e-02  1.4880e-06  4.8567e-05
 1.3361e-02  1.4918e-06  4.8013e-05
 1.4218e-02  1.5181e-06  4.4113e-05
 1.4612e-02  1.5302e-06  4.2747e-05
 1.5046e-02  1.5434e-06  4.1269e-05
 1.6324e-02  1.5826e-06  3.6608e-05
 1.6922e-02  1.6010e-06  3.5140e-05
 1.7628e-02  1.6229e-06  3.3338e-05
 1.8743e-02  1.6576e-06  3.0418e-05
 2.0369e-02  1.7093e-06  2.7485e-05
 2.1205e-02  1.7361e-06  2.5869e-05
 2.1319e-02  1.7397e-06  2.5654e-05
 2.1520e-02  1.7464e-06  2.5277e-05
 2.1842e-02  1.7578e-06  2.4791e-05
 2.2566e-02  1.7825e-06  2.3670e-05
 2.4708e-02  1.8560e-06  2.0621e-05
 2.5349e-02  1.8794e-06  1.9922e-05
 2.6662e-02  1.9280e-06  1.8515e-05
 2.8369e-02  1.9965e-06  1.6540e-05
 2.9741e-02  2.0501e-06  1.5451e-05
 3.0092e-02  2.0650e-06  1.5162e-05
 3.2571e-02  2.1775e-06  1.3108e-05
 3.3112e-02  2.2014e-06  1.2796e-05
 3.4978e-02  2.2923e-06  1.1670e-05
 3.5565e-02  2.3244e-06  1.1297e-05
 3.7397e-02  2.4327e-06  1.0137e-05
 3.8985e-02  2.5568e-06  9.0077e-06
 4.0768e-02  2.6814e-06  8.3651e-06
 4.1667e-02  2.7566e-06  8.0194e-06
 4.2938e-02  2.8961e-06  7.3298e-06
 4.5006e-02  3.1647e-06  6.4346e-06
 4.8251e-02  1.0000e+05  1.0000e+05
 4.9299e-02  1.0000e+05  1.0000e+05
 4.9516e-02  1.0000e+05  1.0000e+05
 4.9978e-02  1.0000e+05  1.0000e+05
 5.4293e-02  1.0000e+05  1.0000e+05
 5.5221e-02  1.0000e+05  1.0000e+05
 5.6603e-02  1.0000e+05  1.0000e+05
 5.9260e-02  1.0000e+05  1.0000e+05
 6.2092e-02  1.0000e+05  1.0000e+05
 6.3467e-02  1.0000e+05  1.0000e+05
 6.4345e-02  1.0000e+05  1.0000e+05
 6.4990e-02  1.0000e+05  1.0000e+05
 6.6855e-02  1.0000e+05  1.0000e+05
 6.8927e-02  1.0000e+05  1.0000e+05
